BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TX_HASH,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
13039770,2021-08-17 01:23:40,YFI,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,0.0,35.0
13583937,2021-11-09 19:10:53,YFI,0xdea23d13d04e4160dccc378a2564b7163eb55e7f433d593948dd2eca71843bb1,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,55.0
13635170,2021-11-17 20:36:01,YFI,0x6815b58ce462bf544a6fceb4fa237d18d4834836d8ae0c75e7e9d6d87a1f9812,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,55.0,60.0
14292829,2022-02-28 05:51:32,YFI,0x00e6174a179bb8e34d8835a8f4111d659e3b40ab73ee1c073c7917156b0eeff6,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,60.0,65.0
14563136,2022-04-11 07:46:47,YFI,0x11706bc7bbfdf9ca2f49d7570c6cb5ca777e46cc13a57d9015d54bb7f436371a,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
14879331,2022-05-31 14:58:05,YFI,0x0f0c6fba386a7f654e249d6d1531696708805ad335ef4d234d1aa7d5378466b9,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
14959593,2022-06-14 03:25:49,YFI,0x4b538b66c3b1ec6af0187f0813328f8236c9cef704cbc0e8e5e59477fe3d684e,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
