BLOCK_NUMBER_,BLOCK_TIMESTAMP_,ASSET,LB,LT,LTV,ADDRESS,SYMBOL
11362828,2020-11-30 22:22:30.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,105.0,85.0,80.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
13219713,2021-09-13 21:05:08.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,105.0,85.0,82.5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
13381378,2021-10-09 00:23:27.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,104.0,85.0,82.5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
14554832,2022-04-10 00:49:20.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,104.5,86.0,85.5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
14693506,2022-05-01 18:16:54.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,104.5,88.0,85.5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
15655918,2022-10-01 21:15:47.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,104.5,89.0,87.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
16261880,2022-12-25 12:53:11.000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,104.5,87.5,80.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
