BLOCK_NUMBER_,BLOCK_TIMESTAMP_,ASSET,LB,LT,LTV,ADDRESS,SYMBOL
13070049,2021-08-21 17:42:40.000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,110.0,70.0,60.0,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI
13219713,2021-09-13 21:05:08.000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,110.0,70.0,60.0,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI
13426219,2021-10-16 01:59:30.000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,110.0,70.0,55.0,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI
13518027,2021-10-30 10:50:08.000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,108.5,70.0,65.0,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI
14470645,2022-03-27 21:22:18.000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,107.5,70.0,65.0,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,DPI
