BLOCK_NUMBER_,BLOCK_TIMESTAMP_,ASSET,LB,LT,LTV,ADDRESS,SYMBOL
11362828,2020-11-30 22:22:30.000,0x514910771af9ca656af840dff83e8264ecf986ca,110.0,75.0,70.0,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
13219713,2021-09-13 21:05:08.000,0x514910771af9ca656af840dff83e8264ecf986ca,110.0,75.0,70.0,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
13426219,2021-10-16 01:59:30.000,0x514910771af9ca656af840dff83e8264ecf986ca,107.5,75.0,70.0,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
14246054,2022-02-20 23:51:45.000,0x514910771af9ca656af840dff83e8264ecf986ca,106.5,75.0,70.0,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
14554832,2022-04-10 00:49:20.000,0x514910771af9ca656af840dff83e8264ecf986ca,106.3,78.0,70.0,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
15338584,2022-08-14 08:10:54.000,0x514910771af9ca656af840dff83e8264ecf986ca,107.0,83.0,70.0,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
