BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
7710801,2019-05-07 01:34:41,ETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0.0,75.0
13699346,2021-11-28 00:56:55,ETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,75.0,80.0
14030172,2022-01-18 14:58:32,ETH,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,80.0,82.5
