BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TX_HASH,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
13039770,2021-08-17 01:23:40,LINK,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0xface851a4921ce59e912d19329929ce6da6eb0c7,0.0,50.0
13583937,2021-11-09 19:10:53,LINK,0xdea23d13d04e4160dccc378a2564b7163eb55e7f433d593948dd2eca71843bb1,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,60.0
13635170,2021-11-17 20:36:01,LINK,0x6815b58ce462bf544a6fceb4fa237d18d4834836d8ae0c75e7e9d6d87a1f9812,0xface851a4921ce59e912d19329929ce6da6eb0c7,60.0,65.0
13841132,2021-12-20 09:08:19,LINK,0xcb6b4c7481b594a3cd326dedf723b4736e0338af0673f912b8186d622adf1bc7,0xface851a4921ce59e912d19329929ce6da6eb0c7,65.0,70.0
14292829,2022-02-28 05:51:32,LINK,0x00e6174a179bb8e34d8835a8f4111d659e3b40ab73ee1c073c7917156b0eeff6,0xface851a4921ce59e912d19329929ce6da6eb0c7,70.0,75.0
14879331,2022-05-31 14:58:05,LINK,0x0f0c6fba386a7f654e249d6d1531696708805ad335ef4d234d1aa7d5378466b9,0xface851a4921ce59e912d19329929ce6da6eb0c7,75.0,77.0
14959593,2022-06-14 03:25:49,LINK,0x4b538b66c3b1ec6af0187f0813328f8236c9cef704cbc0e8e5e59477fe3d684e,0xface851a4921ce59e912d19329929ce6da6eb0c7,77.0,79.0
