BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
13039770,2021-08-17 01:23:40,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,0.0,35.0
13583937,2021-11-09 19:10:53,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,55.0
13635170,2021-11-17 20:36:01,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,55.0,60.0
14292829,2022-02-28 05:51:32,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,60.0,65.0
14563136,2022-04-11 07:46:47,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
14879331,2022-05-31 14:58:05,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
14959593,2022-06-14 03:25:49,YFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
