BLOCK_NUMBER_,BLOCK_TIMESTAMP_,ASSET,LB,LT,LTV,ADDRESS,SYMBOL
11362828,2020-11-30 22:22:30.000,0x6b175474e89094c44da98b954eedeac495271d0f,105.0,80.0,75.0,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
13219713,2021-09-13 21:05:08.000,0x6b175474e89094c44da98b954eedeac495271d0f,105.0,80.0,75.0,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
14554832,2022-04-10 00:49:20.000,0x6b175474e89094c44da98b954eedeac495271d0f,105.0,80.0,77.0,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
15338584,2022-08-14 08:10:54.000,0x6b175474e89094c44da98b954eedeac495271d0f,104.0,85.0,77.0,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
15429050,2022-08-28 17:08:02.000,0x6b175474e89094c44da98b954eedeac495271d0f,104.0,90.0,77.0,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
16261880,2022-12-25 12:53:11.000,0x6b175474e89094c44da98b954eedeac495271d0f,104.0,87.0,75.0,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
