BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TX_HASH,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
10984837,2020-10-03 19:34:28,UNI,0x7cb66b64f7fa208e439366ba03eb7a2f8f5cb67499bae59b069fca6792c88a60,0x35a18000230da775cac24873d00ff85bccded550,0.0,60.0
13765755,2021-12-08 16:09:50,UNI,0x96640aa3878f36bb876d36bb25e29d083461750ed36f0e9f885b9c1c120f3cf7,0x35a18000230da775cac24873d00ff85bccded550,60.0,70.0
14292829,2022-02-28 05:51:32,UNI,0x00e6174a179bb8e34d8835a8f4111d659e3b40ab73ee1c073c7917156b0eeff6,0x35a18000230da775cac24873d00ff85bccded550,70.0,75.0
