BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
11072572,2020-10-17 09:17:06,COMP,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,0.0,60.0
13765755,2021-12-08 16:09:50,COMP,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,60.0,65.0
16319290,2023-01-02 13:08:59,COMP,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,65.0,62.0
16569936,2023-02-06 13:06:35,COMP,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,62.0,60.0
