BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TX_HASH,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
10456497,2020-07-14 08:14:56,WBTC,0xe7a96c23479c1d5e6d2e30a3b0161c0cad4494ad30459fc6984ece269c31c8bc,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,0.0,40.0
10972683,2020-10-01 21:42:05,WBTC,0x8d61002c2a0ca96d48a390f0d1175f41dcac1e4c62b6c2f3379eb5394023bc11,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,40.0,60.0
11804197,2021-02-06 17:50:01,WBTC,0x537239539dca8ca298b3b0812d181c05ebb546c04cb2cf35a98c402ca904cec9,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,60.0,75.0
11994144,2021-03-07 22:44:43,WBTC,0x7e544d0457f7fa0d5619ab51c13cd9143285282ee64c2eb23b047732e1b190d2,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,75.0,65.0
12069867,2021-03-19 14:54:14,WBTC,0xa9d9a710ec465fb742346bff8169acf3defae1722b6ca61589006dd6b7e9c374,0xccf4429db6322d5c611ee964527d42e5d685dd6a,0.0,65.0
13765755,2021-12-08 16:09:50,WBTC,0x96640aa3878f36bb876d36bb25e29d083461750ed36f0e9f885b9c1c120f3cf7,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,65.0,70.0
13841132,2021-12-20 09:08:19,WBTC,0xcb6b4c7481b594a3cd326dedf723b4736e0338af0673f912b8186d622adf1bc7,0xccf4429db6322d5c611ee964527d42e5d685dd6a,65.0,70.0
16826903,2023-03-14 14:52:23,WBTC,0x6547179307e966c81eca2f6430453a9cc2da4fadd9fdfa14568c949192aec7e9,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,70.0,60.0
