BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TX_HASH,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
7710800,2019-05-07 01:34:37,REP,0xa24e037a406be41aa470f8d1ab86b143e12ff3c0d0a53aeee9a03fca2e5596f0,0x158079ee67fce2f58472a96584a73c7ab9ac95c1,0.0,60.0
7716043,2019-05-07 21:20:45,REP,0x7610c2a8655cd83a3426b7da60ba1f854672adec3ad2bc33841948e77a313889,0x158079ee67fce2f58472a96584a73c7ab9ac95c1,60.0,50.0
9323007,2020-01-21 05:37:25,REP,0x3bd61fe83c45d823e5fb1373f0b0020ffadf8eb7b0be5aea7c73b15e822afe9d,0x158079ee67fce2f58472a96584a73c7ab9ac95c1,50.0,40.0
12370865,2021-05-05 00:00:50,REP,0xf1c2c3626aa85b04706b7120b3789a113daa9df923bf318df94126739fb81a03,0x158079ee67fce2f58472a96584a73c7ab9ac95c1,40.0,0.0
