,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
362,14778000,2022-05-15,10612.85,0.9853052954335286,576597.9659072265,1320780.4112604856,4.392269363636049,0.2662300595108022,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
363,14784000,2022-05-16,9754.01,0.9914936910353935,508357.42856998346,1302543.8522701736,4.4096652132483944,0.2656086243215819,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
364,14790000,2022-05-17,10000.65,1.0003768691817592,512970.142020564,1279274.3520562828,4.391040751025943,0.2547636756882168,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
365,14796000,2022-05-18,9083.99,1.020010349350578,422644.7142805179,1229722.9847954,4.074388587547236,0.2575825605127063,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
366,14802000,2022-05-19,9512.37,1.0397207536665625,456475.1599880484,1174535.366041709,4.068176743278411,0.2600186051694326,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
367,14808000,2022-05-20,9142.61,1.0331860240028794,4672423.95163357,1266959.3136550977,27.118331269218437,0.38574770043338136,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
368,14820000,2022-05-21,9277.18,1.0326010181933696,17141067.368162494,1796594.0128651962,27.89847517516089,1.3172083339078822,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
369,14826000,2022-05-22,9487.47,1.0400406876913524,15537617.963978965,2241293.8461043993,27.911350809830992,1.5003688624252103,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
370,14832000,2022-05-23,8938.61,1.044675369159125,12223131.216457902,2575525.8516843934,27.942404203073693,1.555757872769739,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
371,14838000,2022-05-24,9087.62,1.0506286783629317,11760382.285362504,2902999.9613998714,27.931446207735473,1.5883482270571154,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
372,14844000,2022-05-25,8462.69,1.0585532850406638,2099755.0694306367,2899392.8864443335,28.135724532931608,1.5879865284654797,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
373,14850000,2022-05-26,7751.02,1.0630194398416462,399324.1827853534,2841761.1700911545,28.31168868275743,1.5901743985130556,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
374,14856000,2022-05-27,7388.26,1.0586809610711196,343128.2486016973,2788176.133941979,28.318965365133604,1.5926639361670252,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
375,14862000,2022-05-28,7639.65,1.0668344319752958,318941.2606718796,2766191.713153229,28.24106544938119,1.590160633317593,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
376,14868000,2022-05-29,7447.22,1.061970805939317,291350.1680379889,2739107.02375711,28.26026518888985,1.588349339956146,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
377,14874000,2022-05-30,8388.1,1.146816697828863,323868.4780463411,2715897.2080513733,28.243356813145763,1.5788444311816072,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,65.0,70.0
378,14880000,2022-05-31,8064.31,1.1479165243066765,315955.1470605589,2695212.297709838,28.236829748717536,1.556887638263996,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
379,14892000,2022-06-02,7586.06,1.14294334157009,290429.55433283414,2669761.9536150913,28.255252498356942,1.5528537573759733,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
380,14898000,2022-06-03,7427.77,1.1355837420417785,285265.2820641102,2626863.500597535,28.265251979825727,1.55430352159166,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
381,14910000,2022-06-05,7436.11,1.1163573947670713,421966.25482729543,2605427.532569257,28.209150604819452,1.5509256886668998,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
382,14916000,2022-06-06,7467.87,1.1079924179561675,421451.78502914915,2577232.8231167,28.222188859606902,1.5511198537615603,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
383,14922000,2022-06-07,7601.52,1.1137613302024851,438328.88269818295,2555436.999443871,28.20217076222109,1.5421453885725007,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
384,14928000,2022-06-08,7439.63,1.1137628176113568,439350.09778757393,2521043.191088292,28.21684450985849,1.5435658171752606,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
385,14940000,2022-06-10,7061.79,1.1141550518308723,407246.81094766705,2482883.8609593287,28.22922439971039,1.5456786275370396,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
386,14946000,2022-06-11,6369.81,1.0121849247249635,373512.6155238611,2467956.069260516,28.15913953559763,1.5402397009208613,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
387,14952000,2022-06-12,6012.88,0.9545933026644993,351225.5861550603,2452166.809058455,28.165900834730255,1.5392446615002469,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
388,14958000,2022-06-13,4948.13,0.9648789112666945,275882.47949712933,2439986.7001946876,28.164574087176714,1.5379098851912383,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,70.0,73.0
389,14964000,2022-06-14,4893.01,0.9164348904446663,283110.58649750275,2431446.7928770026,28.14265430607991,1.535858084118296,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
390,14970000,2022-06-15,5356.22,0.9750682482891618,248466.29008559318,2422764.8366330354,28.15097907042909,1.5337469039799754,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
391,14976000,2022-06-16,4595.75,1.0275091711322906,220800.6646178808,2412034.2547020023,28.16948549888998,1.532318721485913,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
392,14982000,2022-06-18,4374.95,1.0121296357247245,225236.84774908252,2400322.2174300645,28.173011417598826,1.531072684043287,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
393,14988000,2022-06-19,4748.4,1.049319930306234,285503.086998764,2392893.7393776905,28.144145004964855,1.5290951916090965,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
394,14994000,2022-06-20,4927.24,1.0547187105888842,299283.92311570345,2385770.8654141948,28.140569865530463,1.5261395804697646,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
395,15000000,2022-06-21,5124.04,1.0471819846424653,329486.5818603949,2382665.594333524,28.109166431473284,1.516439014734582,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
396,15006000,2022-06-22,4980.15,1.0298491800738832,324035.3029159809,2378250.9324311223,28.118140969633586,1.5040467871098788,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
397,15012000,2022-06-23,5422.81,1.0742999978286707,341996.5512079804,2233903.3524169354,8.81899115517546,1.5169476316553074,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
398,15018000,2022-06-24,7099.63,1.42642598722195,525023.075167808,1680035.2093171126,4.240416775383233,1.20488626445183,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,73.0,75.0
