,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
0,12420000,2021-05-12,1.1644,,8490.967610681357,,,,,,
1,12426000,2021-05-13,1.1933,,40634.32589247379,,,,,,
2,12432000,2021-05-14,1.2186,,44950.0754389177,,,,,,
3,12438000,2021-05-15,1.1358,,48960.793211371514,,,,,,
4,12444000,2021-05-16,1.1424,,42889.29755939038,,,,,,
5,12450000,2021-05-17,1.0591,,67924.0739088373,,,,,,
6,12456000,2021-05-18,1.1057,,101195.12861336149,,,,,,
7,12462000,2021-05-19,0.7447,,52104.509831927535,,,,,,
8,12468000,2021-05-20,0.8761,,169941.7614035554,,,,,,
9,12480000,2021-05-21,0.7547,,76344.9303329304,,,,,,
10,12486000,2021-05-22,0.6804,,78930.89928775259,,,,,,
11,12492000,2021-05-23,0.5576,,50493.034218026936,,,,,,
12,12498000,2021-05-24,0.7258,,47282.057654174154,,,,,,
13,12504000,2021-05-25,0.7376,,75597.63280687788,,,,,,
14,12510000,2021-05-26,0.8887,,96877.34140941694,,,,,,
15,12516000,2021-05-27,0.8445,,91893.90259839242,,,,,,
16,12522000,2021-05-28,0.7482,,922174.6279873219,,,,,,
17,12528000,2021-05-29,0.6811,,245269.30035432172,,,,,,
18,12534000,2021-05-30,0.7036,,220510.4409965872,,,,,,
19,12540000,2021-05-31,0.7679,,278547.9917285155,,,,,,
20,12546000,2021-06-01,0.747,,251044.68292044668,,,,,,
21,12552000,2021-06-02,0.7969,,220540.58987305622,,,,,,
22,12564000,2021-06-03,0.83,,492545.42547869816,,,,,,
23,12570000,2021-06-04,0.7609,,316291.8511728977,,,,,,
24,12576000,2021-06-05,0.7506,,384070.3618451999,,,,,,
25,12582000,2021-06-06,0.7628,,197078.43024377996,,,,,,
26,12588000,2021-06-07,0.6948,,210283.1993623018,,,,,,
27,12594000,2021-06-08,0.6696,,199233.61205349833,,,,,,
28,12600000,2021-06-09,0.7029,,180010.81396225397,,,,,,
29,12606000,2021-06-10,0.6643,,173208.90489004535,179510.69882156706,,,,,
30,12612000,2021-06-11,0.6466,1.8723151625670618,260071.33536534503,187896.71108005586,29.078849186701316,,,,
31,12618000,2021-06-12,0.6168,1.8713063346471421,254863.67420559627,195037.68935715995,27.417926645385737,,,,
32,12624000,2021-06-13,0.6486,1.87844671442668,246131.36948264448,201743.73249195085,27.434049952037707,,,,
33,12630000,2021-06-14,0.6716,1.8764853936603563,258487.913271697,208727.96982729502,27.438073347049897,,,,
34,12636000,2021-06-15,0.6906,1.879304128896971,378189.9605756948,219904.65859450513,27.39437411744291,,,,
35,12648000,2021-06-16,0.656,1.8737873927421058,179557.1319882597,223625.76053048592,27.522969902909555,,,,
36,12654000,2021-06-17,0.6576,1.8674503543626035,359368.1590147009,232231.52821053055,27.58103881927174,,,,
37,12660000,2021-06-18,0.6104,1.6225437091216777,307042.2364755275,240729.45243198387,27.5044248116424,,,,
38,12666000,2021-06-19,0.5958,1.5326971559331977,292072.6650112913,244800.48255224174,26.95937402494563,,,,
39,12672000,2021-06-20,0.6005,1.4826442740879426,227820.28462218324,249849.66102855015,26.882560732662753,,,,
40,12678000,2021-06-21,0.5105,1.5182938001394417,268541.04852390033,256169.9993364218,26.871521430132777,,,,
41,12684000,2021-06-22,0.4836,1.432958049958594,347073.72944939055,266056.02251080057,26.78924040655053,,,,
42,12690000,2021-06-23,0.5508,1.1915562107653515,284222.0698166784,273954.0229162174,26.807777984523902,,,,
43,12696000,2021-06-24,0.5735,1.1978727635980262,310473.2010422441,281783.20852406294,26.809124224325426,,,,
44,12702000,2021-06-25,0.5179,1.046851328729988,410142.9582910826,292225.39575345174,26.808550399001245,,,,
45,12708000,2021-06-26,0.5111,1.0418765176980094,498344.873759672,305773.76145882776,26.785275923982507,,,,
46,12714000,2021-06-27,0.541,1.0183691242451383,423696.3620761964,289157.81926179025,6.370942843590863,,,,
47,12720000,2021-06-28,0.5575,0.9946539654055003,505784.3887837343,297841.65554277063,5.931874594738592,,,,
48,12726000,2021-06-29,0.5866,1.0024961609144782,487461.04509125394,306740.00901259284,5.917636917583945,,,,
49,12738000,2021-06-30,0.6158,0.9749340659799489,507711.07716183044,314378.7785270367,5.893640842154881,,,,
50,12744000,2021-07-01,0.5813,0.9840478008039611,459031.7232266114,321311.67987057555,5.89291406006011,,,,
51,12750000,2021-07-02,0.5812,0.9595722050662381,339688.6247818992,325283.2810342036,5.94650542212605,,,,
52,12756000,2021-07-03,0.589,0.9502028253182819,520872.3647614358,326227.5123436282,5.033029778294855,,,,
53,12762000,2021-07-04,0.606,0.9300430167194406,396159.8355109309,328889.77848822926,4.961403698172297,,,,
