,block,block_timestamp,Asset Price,Asset Volatility (30 Days),Asset Liquidity,Asset Liquidity (30 Days),liquidity_volatility,Asset Liquidity Volatility (30 Days),TOKEN_ADDRESS,NEW_COLLATERAL,Asset Volatility (60 Days),Asset Liquidity (60 Days),Asset Liquidity Volatility (60 Days),Formula C,Formula A,Formula C (60 Days),Formula A (60 Days)
200,13704000,2021-11-28,1.6578,2.1664694858375544,784960.5157137637,3984693.7561062025,9.73687533173452,0.409110276821779,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,9029.026961679867,117790.48329304383,,
201,13710000,2021-11-29,1.6143,1.7554768118040427,787464.8640424544,3846378.609933574,4.347857029923462,0.4326654017198367,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,7961.471590725862,80119.48768701442,,
202,13716000,2021-11-30,1.4573,1.670485541668279,691784.1482446757,3713874.927512423,4.35866128087318,0.4602030975472247,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,7562.1371418072995,75137.7469459337,,
203,13722000,2021-12-01,1.492,1.6703906854988109,593277.8210948526,3591605.761936342,4.37032093811004,0.4863084318829585,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,7399.605567957903,77686.84057063391,,
204,13728000,2021-12-02,1.4262,1.6799052978908593,429904.6517613519,3438301.2509733457,4.397383180166044,0.5109151888207591,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,7378.187042841838,82077.79376757274,,
205,13734000,2021-12-03,1.2822,1.6987765449883765,866746.4521815057,3223698.525160927,5.165751405822175,0.4971506488972571,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8132.530427965244,89519.59146547626,,
206,13740000,2021-12-04,1.1247,1.7447167938902326,863077.1262610446,3146255.8999066665,4.888243980292385,0.5148396688431812,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8154.482883542532,96751.08407338746,,
207,13746000,2021-12-05,1.1662,1.7456899112145543,1139266.6087846337,3060635.5780321355,4.950934265152007,0.5315681985390015,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8121.06408474868,99568.64149359638,,
208,13752000,2021-12-06,1.3609,1.8012997737733425,658572.5905931283,2951287.359173738,5.109172513557157,0.5494837348489365,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8276.11769322262,109941.20463770417,,
209,13758000,2021-12-07,1.3251,1.8035915804235283,634862.7149286902,2850509.657715693,5.1058394465187655,0.5670070254517059,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8309.179536059275,114117.92905769154,,
210,13764000,2021-12-08,1.3013,1.6228850355243891,898545.4037877831,2712005.35804822,5.128580924854842,0.5802049251828144,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8096.026546756652,97114.69893350295,,
211,13770000,2021-12-09,1.1394,1.6464036041623489,613033.3132067018,2594921.6229707496,5.185531239409491,0.5944179029213675,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8318.634212853194,104459.60308795529,,
212,13776000,2021-12-10,1.0654,1.6422236577672331,718254.91836503,2493030.715843169,5.20268028426224,0.6050588073874876,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,60.0,,,,8495.538957875253,108177.50960674671,,
