,block,block_timestamp,Asset Price,Asset Volatility (30 Days),Asset Liquidity,Asset Liquidity (30 Days),liquidity_volatility,Asset Liquidity Volatility (30 Days),TX_HASH,TOKEN_ADDRESS,NEW_COLLATERAL,Asset Volatility (60 Days),Asset Liquidity (60 Days),Asset Liquidity Volatility (60 Days),Formula C,Formula A,Formula C (60 Days),Formula A (60 Days)
114,13146000,2021-09-02,462.0,0.8691671556761725,4246551.639944142,20114635.82473153,12.159761237780891,1.4578242123013525,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,317.93205731126693,3755.73065845596,,
115,13152000,2021-09-03,466.9,0.7165501030021159,1449752.1446530838,19864167.92281154,12.387393385408917,1.4294951383391423,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,298.10565927621303,2584.775018553462,,
116,13158000,2021-09-04,471.3,0.7137019147668097,3634180.656130894,19670203.136014592,13.004295701652012,1.4323509278665845,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,299.8473067209301,2589.5534459895503,,
117,13164000,2021-09-05,510.9,0.7505559264634635,13632461.219117971,19824366.35687805,14.95451049921658,1.4337279395632152,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,304.8073714604054,2841.6252434417893,,
118,13170000,2021-09-06,509.2,0.7068722754949335,13499667.117354129,19971331.5038855,14.957568570170674,1.435472492290414,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,293.27063464244145,2501.928395541242,,
119,13176000,2021-09-07,413.1,0.8669887890373354,5204015.130311838,19819668.03756856,15.170197047786695,1.440891475395537,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,326.0461622657596,3792.5436434738526,,
120,13182000,2021-09-08,409.7,0.8671111269353987,1720283.9063323548,19527520.326296907,15.398209498749466,1.4484598477329016,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,329.2181880300017,3850.3696009095893,,
121,13194000,2021-09-09,411.4,0.8662467298586901,1591661.1811891545,19228113.738165133,15.410463628755968,1.4558858847848035,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,332.47330929843713,3902.532547961102,,
122,13200000,2021-09-10,392.0,0.8754465943099304,3085983.512286383,18946114.16947436,15.541199169362551,1.4631364101604476,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,337.52804262111874,4045.192236430607,,
123,13206000,2021-09-11,397.3,0.8736323524667358,4050565.6217225785,18738300.43903788,15.503434654308643,1.46884585188342,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,339.59237886243926,4073.1201303961534,,
124,13212000,2021-09-12,403.7,0.8515693039555641,6106774.143988205,18650673.45418598,15.466079704754508,1.472065674857567,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,336.1153098387897,3888.172087837427,,
125,13218000,2021-09-13,385.0,0.8598170810451156,5198768.048204763,18490449.81329809,15.51348134338804,1.4764449726199285,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,339.65521935184614,3998.2013435133326,,
126,13224000,2021-09-14,447.0,0.983418245354896,12896303.85834852,18570939.418766223,15.87800147055189,1.4784245553081834,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,361.19030978543054,5207.660331494169,,
127,13230000,2021-09-15,442.5,0.9768935183793426,13081875.797165409,18731203.819380697,15.82490901919055,1.4787806713047902,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,356.82408357768276,5094.819080790523,,
128,13236000,2021-09-16,422.2,0.9764732200864996,10052530.467215614,18757600.215553805,15.899164024717937,1.480395569120709,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,355.8566750627412,5083.272585986,,
129,13242000,2021-09-17,400.2,0.9852984568347964,6095585.8312630495,18616738.801387846,16.02515647843976,1.4842740233486216,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,359.22471506630393,5214.73207202466,,
130,13248000,2021-09-18,401.5,0.9728406521442416,6448392.718640362,18465721.918366514,16.02593456584527,1.4881557559997558,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,358.92703843255157,5125.274487769141,,
131,13254000,2021-09-19,393.1,0.9622127525584931,9632470.366091952,18407841.10271124,16.013452872668143,1.491047881212764,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,357.388939226115,5029.668476711403,,
132,13260000,2021-09-20,338.0,1.0359708844854918,7149973.628725609,18284776.57071162,16.067386845719547,1.494004577938215,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,372.5908529532536,5869.558587993636,,
133,13266000,2021-09-21,312.5,1.0540194006449817,2859843.394916983,18021611.73157907,16.261390961619142,1.4987586200924716,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,380.10097153263416,6164.581245468124,,
134,13278000,2021-09-22,347.4,1.110674581823761,3092431.277942505,17758312.48784776,16.25362038969317,1.5033385045188803,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,394.7616373087563,6946.594883683648,,
135,13284000,2021-09-23,374.1,1.1072209865291127,9002873.06114738,17764468.061340854,16.833990916867354,1.504438470734777,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,393.72275604124985,6901.069645189074,,
136,13290000,2021-09-24,340.8,1.1312297290759867,7928348.931116821,17701190.868864845,16.87816064422626,1.5063758484851548,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,398.8775337089341,7229.34806717552,,
137,13296000,2021-09-25,331.2,1.116946488043937,6580184.842269463,17629697.767738115,16.893076539354244,1.5079324495144473,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,397.5478685987359,7076.522091244832,,
138,13302000,2021-09-26,355.0,1.1316317345004354,10012216.278439889,17627096.22471274,16.88831750389413,1.5092118851201004,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,399.8725268373252,7264.8969870210885,,
139,13308000,2021-09-27,338.2,1.13816288398414,4812743.314899597,17470473.807252903,17.042370831807546,1.5115784572986473,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,403.9864811213432,7414.880470736293,,
140,13314000,2021-09-28,319.9,1.146161524121112,4388457.584457982,16438273.022626637,15.536720128646063,1.5123864990429852,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,430.6296526759434,7991.631709531732,,
141,13320000,2021-09-29,307.5,1.1495783478981183,1832424.0808824068,15022254.815535303,15.728207063233686,1.5131215878938231,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,471.6939823778645,8797.150588801776,,
142,13326000,2021-09-30,317.9,1.1419233122911283,417688.67006718885,9140695.266231207,13.637660721066874,1.267774420771557,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,922.1408344322742,14265.751271364594,,
143,13332000,2021-10-01,326.4,1.115563681802828,630912.4570395111,6011197.362728858,13.574033906136684,1.469462825914432,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1195.7147659977034,20702.73612830661,,
144,13338000,2021-10-02,337.4,1.1203665292417175,704577.1580491002,5893131.54666569,13.171615876985635,1.467868795883898,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1223.6203443262316,21299.730880016272,,
145,13344000,2021-10-03,326.7,1.120984479812326,727025.3454781352,5869040.653359858,12.941212693365932,1.4691660804163769,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1227.8965783378908,21410.75992139772,,
146,13350000,2021-10-04,312.9,1.123453458464085,853765.1275489088,5776360.135740459,12.333557099155811,1.4683935946054387,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1249.6281482443767,21850.22477261317,,
147,13356000,2021-10-05,309.6,1.0867089092796678,699262.1920988493,5345253.501506488,9.593896065331707,1.4671632634722271,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1329.259776056724,22093.175808686607,,
148,13368000,2021-10-06,305.9,1.0862430377691576,883903.2438906605,4924728.039057706,9.610058101358046,1.465583220122324,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1444.0118816842435,23959.169475838375,,
149,13374000,2021-10-07,316.9,0.9611434197355546,747163.1161679265,4776166.305252909,9.41738911538537,1.46268179509341,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1403.3461320597899,19341.802907594512,,
150,13380000,2021-10-08,313.4,0.961208104789651,711860.8658459301,4742552.203903361,9.155087041221972,1.4640492053780865,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1412.0202294061623,19481.51503641602,,
151,13386000,2021-10-09,330.6,0.9774948984546707,1157658.3304615975,4728085.442212443,9.261919161556406,1.4663263376178757,0x508fb41d92720531093f0ac8183aab74b509233c6f5680e83c10a17c15c21327,0x95b4ef2869ebd94beb4eee400a99824bf5dc325b,35.0,,,,1426.0714924147248,20208.946902148105,,
