,block,block_timestamp,Asset Price,Asset Volatility (30 Days),Asset Liquidity,Asset Liquidity (30 Days),liquidity_volatility,Asset Liquidity Volatility (30 Days),TOKEN_ADDRESS,NEW_COLLATERAL,Asset Volatility (60 Days),Asset Liquidity (60 Days),Asset Liquidity Volatility (60 Days),Formula C,Formula A,Formula C (60 Days),Formula A (60 Days)
199,13704000,2021-11-28,1.1736,0.8968978351738047,230559.7972714262,594468.4054810612,7.695205772253245,0.4556306403938246,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,34964.69852799911,135318.4995741687,,
200,13710000,2021-11-29,1.1999,0.8577703492806472,354687.9693490411,528089.6579141932,7.829663251312462,0.4730929917726451,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,37070.74704169865,139326.71490124037,,
201,13716000,2021-11-30,1.1795,0.8553713604127107,233909.89699947045,517673.3773685336,7.531924949769445,0.4722307567860884,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,37832.69263091056,141336.25490526622,,
202,13722000,2021-12-01,1.1535,0.8475253100799259,295006.22547085787,510197.74273728713,7.542805794540229,0.4716711965381457,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,38255.9022789082,140788.3828282525,,
203,13728000,2021-12-02,1.1155,0.8337154013366569,339225.9846699841,503527.8459492114,7.544318547646723,0.4715206680737515,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,38457.822050072464,138042.2902164685,,
204,13734000,2021-12-03,1.0429,0.8385286592626611,363901.85999791545,502630.4881088433,7.467182358723519,0.4718954993822809,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,38606.84320643152,139890.10397088664,,
205,13740000,2021-12-04,0.8949,0.9252515605161924,285947.20874968375,508429.6318697154,7.129480782958834,0.4745020612640525,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,39871.351404933244,168379.33837361817,,
206,13746000,2021-12-05,0.8338,0.9413916680935416,233414.7163872573,507382.9972752012,6.104674393937597,0.474636378524384,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,40289.16287836176,174664.55863030464,,
207,13752000,2021-12-06,0.8626,0.9387035109328,234325.30903934568,500250.33517586807,5.804064236263151,0.4748520418367196,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,40786.69572729241,176144.66587569268,,
208,13758000,2021-12-07,0.9,0.9510969547686788,252651.80398284143,489292.6419118604,5.753694358157829,0.4758402734217362,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,41887.31419470176,184876.15383621556,,
209,13764000,2021-12-08,0.9152,0.9446265717211508,213505.62258671352,480565.70872700034,5.745388784199242,0.4765354325882179,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,42440.65744718866,185681.0304599913,,
210,13770000,2021-12-09,0.8638,0.943489373366375,203398.1666516256,471622.1343761322,5.748898220295157,0.4770758169538425,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,43170.48466888793,188746.90833431855,,
211,13776000,2021-12-10,0.7999,0.9402060066692942,150856.86370127928,463885.7181031691,5.775595102359094,0.4774736453643278,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,43777.51480570038,190561.44659759072,,
212,13782000,2021-12-11,0.848,0.9168123714056048,272892.8344468436,451907.3953514815,5.93950010179221,0.4756808013737512,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,44542.55864664436,185999.37354612557,,
213,13788000,2021-12-12,0.8394,0.9150190009672076,181476.48359005115,427053.2942751328,5.8854961172803,0.4885665458014249,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,45846.82384989161,196055.10210433236,,
214,13794000,2021-12-13,0.7513,0.952719837971392,289828.80777185824,406622.9431371515,6.127643884915206,0.4966470037327145,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,48332.90569731623,223222.79275768317,,
215,13800000,2021-12-14,0.7672,0.9588742077839956,186856.6819460613,391190.1998043027,6.164160085933894,0.4976927430472208,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,50295.77957461311,235036.498054743,,
216,13812000,2021-12-15,0.7901,0.964752361531906,155661.1290790539,371825.75670567126,6.17958688020928,0.5000281797393836,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,52829.192737633035,250318.08644126492,,
217,13818000,2021-12-16,0.7795,0.9376805320389192,152425.1859082846,346172.1701009134,6.139104351931296,0.5070590176515845,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,55166.6723786975,253990.60239547276,,
218,13824000,2021-12-17,0.7721,0.9293547771529728,254615.5459421753,323945.27091934177,6.434128292401443,0.5038120346150364,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,59067.77150231825,266619.20372102055,,
219,13830000,2021-12-18,0.7859,0.9085241376143846,259486.1442782437,301382.02041616634,6.434087716237312,0.492890091300817,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,64165.385461786,273877.0240799956,,
220,13836000,2021-12-19,0.7714,0.8702000551986546,222944.67090611576,291098.0930562318,6.306959413384243,0.484821951417875,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,66097.93893509959,260135.03837054095,,
221,13842000,2021-12-20,0.7546,0.8681067635744075,246506.5811067165,273286.5070426246,6.177550593442447,0.4788061065860835,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,71204.70630426366,275757.98055997386,,
222,13848000,2021-12-21,0.7832,0.8781931495795617,203829.33599202975,263488.4195877869,6.097989769279329,0.469098465530268,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,75817.50308738368,292697.1929829048,,
223,13854000,2021-12-22,0.8235,0.892384406508241,225589.95252139348,261204.59099106456,5.95528876241809,0.4690639360343583,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,77101.55498134404,304875.93114560057,,
224,13860000,2021-12-23,0.8859,0.9129723877734278,243212.6846559172,264076.47205480974,5.751548687555597,0.4845565675544342,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,74671.45740073576,315635.3060728998,,
225,13866000,2021-12-24,0.8497,0.9094958538865304,194312.539755244,259748.71871725924,4.961232449242563,0.4862445760172686,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,75507.86278956805,318454.9715285376,,
226,13872000,2021-12-25,0.8625,0.9114906337958728,238512.3075865602,253317.45842001188,4.914613368474868,0.4772311521860458,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,78973.64766027125,327973.9109493482,,
227,13878000,2021-12-26,0.8787,0.898079416478448,160054.1705508479,243220.5081578296,5.015226568822408,0.467521915288842,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,83340.32820200505,331611.2791684856,,
228,13884000,2021-12-27,0.876,0.7938145626622634,84154.81820554893,232125.04330334623,5.1994908661522725,0.4681222787554173,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,81993.27296637448,271466.4264256904,,
229,13896000,2021-12-28,0.7992,0.8165643466962824,248635.84957569808,232727.5783801553,7.549515893155796,0.4354960898277085,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,89158.57040960145,286505.50868808536,,
230,13902000,2021-12-29,0.7601,0.8170702709934102,176896.9654235736,226801.2115826397,7.489505993345266,0.3610103234158627,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,60.0,,,,110398.89160618042,294356.3762656487,,
