,block,block_timestamp,Asset Price,Asset Volatility (30 Days),Asset Liquidity,Asset Liquidity (30 Days),liquidity_volatility,Asset Liquidity Volatility (30 Days),TOKEN_ADDRESS,NEW_COLLATERAL,Asset Volatility (60 Days),Asset Liquidity (60 Days),Asset Liquidity Volatility (60 Days),Formula C,Formula A,Formula C (60 Days),Formula A (60 Days)
97,13044000,2021-08-17,37860.09,0.6125533437392764,34249582.213693514,31239769.09690113,0.794139931527873,0.0866544393484553,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2891.167980771148,1201.1023441379682,,
98,13050000,2021-08-18,37127.94,0.6008322584034738,33388541.984159905,31247004.308368366,0.785882852461289,0.0897627396153221,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2763.5805947322306,1155.3088391309825,,
99,13056000,2021-08-19,39146.87,0.5928845141587267,34918575.511432424,31348785.35777463,0.7862790498461997,0.0954452201350218,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2573.4169149660565,1121.2939931085812,,
100,13062000,2021-08-20,39756.82,0.5391206122730161,35258471.932213284,31354483.20860936,0.7310808452827089,0.0956837447089697,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2447.4011377577285,926.9839743294648,,
101,13068000,2021-08-21,38800.0,0.549040468950339,33947311.39343326,31401085.93090266,0.7070670895745651,0.0981854783334366,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2403.3125305793087,959.9841139524016,,
102,13074000,2021-08-22,39476.06,0.5455427010280208,34942092.741841935,31476658.409392785,0.7113726239606728,0.1020217959135072,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2300.026233586211,945.5159908465324,,
103,13080000,2021-08-23,40008.65,0.545029902152482,35019283.63563635,31640774.198430903,0.6674891555365741,0.1082448614258512,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2155.5384527402207,938.8442658747445,,
104,13086000,2021-08-24,37110.0,0.5956628773447646,32093025.194028936,31710168.93312605,0.7159183543869487,0.1114336865913291,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2184.1638416135725,1118.928959965228,,
105,13092000,2021-08-25,38291.69,0.5995509073180629,32566888.53082822,31792960.92593471,0.7166936490234895,0.1146207463290602,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2124.803749369942,1130.6316870055548,,
106,13098000,2021-08-26,36132.58,0.6256358214606152,30664482.75206656,31840199.12692503,0.7336552541280489,0.1164283040329541,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2133.6660991047374,1229.3270514244434,,
107,13110000,2021-08-27,37815.56,0.6358717321175174,32899764.52234234,31967268.121039927,0.760820283723227,0.1185953562239124,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2103.3500288648347,1264.8339488228323,,
108,13116000,2021-08-28,38044.51,0.6315335324815358,33253294.365705688,32084282.577189777,0.7592554839342421,0.1193752266924738,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2074.873698972132,1243.0840605180222,,
109,13122000,2021-08-29,37472.05,0.6346061526281561,32634089.741447102,32181823.833030146,0.7621301914472649,0.119899912961708,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2064.536751085561,1251.4050510094758,,
110,13128000,2021-08-30,36268.95,0.6265281205610601,36164779.75061644,32329366.012216747,0.7991008881293451,0.1222003079554604,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2003.5528172840538,1214.1824423820767,,
111,13134000,2021-08-31,38312.42,0.629128504770471,40212428.391321406,32678085.389503896,0.8292330280006642,0.1280606744121674,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,1895.3843635601802,1211.217459030997,,
112,13140000,2021-09-01,39981.21,0.6379460058649055,34392858.79121306,32839303.03709706,0.9439587779983228,0.1290264584710524,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,1885.0342831552027,1239.292764341694,,
113,13146000,2021-09-02,38663.39,0.648390849368118,31824619.484033223,32910498.71058448,0.973060256665054,0.1283186337160708,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,1906.752165666935,1277.4364109198364,,
114,13152000,2021-09-03,40417.48,0.6526784900896196,33319666.80483656,33012014.127832823,0.9800350514307388,0.1279936386159592,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,1912.0059629693885,1290.4066070494896,,
115,13158000,2021-09-04,41460.0,0.6540234004972991,34926706.25989063,33218065.869675703,0.9731555243038462,0.1221807216040708,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,1992.5976599907765,1287.6926973299016,,
116,13164000,2021-09-05,42911.21,0.6585081567608072,36163556.22045919,33466322.00695158,0.9758361568650976,0.1163382843600355,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,35.0,,,,2084.250618257767,1295.7294573046963,,
