,block,block_timestamp,Asset Price,Asset Volatility (30 Days),Asset Liquidity,Asset Liquidity (30 Days),liquidity_volatility,Asset Liquidity Volatility (30 Days),TOKEN_ADDRESS,NEW_COLLATERAL,Asset Volatility (60 Days),Asset Liquidity (60 Days),Asset Liquidity Volatility (60 Days),Formula C,Formula A,Formula C (60 Days),Formula A (60 Days)
98,13044000,2021-08-17,26.146,0.8557466892414648,42871458.55668474,38438762.37101988,2.2832774171677177,0.2451519622587647,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,981.6752550579963,1905.1143974911965,,
99,13050000,2021-08-18,25.341,0.8355311823744388,43902086.74022012,38965225.76911787,2.1923472504173978,0.2511333982094448,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,934.1135266232764,1791.6291845877638,,
100,13056000,2021-08-19,27.096,0.8167275321078962,49854759.7821128,39864352.04472583,2.121331865594615,0.2623137806181749,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,864.2368531890547,1673.2840934042133,,
101,13062000,2021-08-20,28.678,0.7794188436246227,51387870.7871194,40743564.22316502,2.114170731619663,0.2754616944142329,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,786.6204232278861,1491.0176499770962,,
102,13068000,2021-08-21,27.844,0.7884385207023035,88975396.93591225,42574875.53497541,2.78132469210849,0.3127221250963988,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,666.9172052015224,1460.0989271631836,,
103,13074000,2021-08-22,27.982,0.7892551098666595,306450696.35366285,51752652.39116087,7.466021997811072,0.7031707019745841,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,244.1267227310731,1203.655464346839,,
104,13080000,2021-08-23,28.552,0.7889029667629711,415323796.70119953,64528863.03337536,7.487748555334063,0.9909335512179313,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,138.9035190264427,964.4798648405116,,
105,13086000,2021-08-24,25.728,0.8593659485492728,373593486.5479572,75977753.5094297,7.498159417947572,1.0941013182733796,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,111.51802797872284,972.0079884098363,,
106,13092000,2021-08-25,26.612,0.8419708070276003,44654000.33434906,76383362.95208119,8.059591554069897,1.0839917480135617,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,110.82143400521689,928.1011106193944,,
107,13098000,2021-08-26,24.39,0.8635711404085481,33719366.08390571,76406197.82079557,8.120536863416037,1.0728569579380842,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,113.36491048807156,976.0400802767695,,
108,13110000,2021-08-27,26.04,0.8755117896035749,27038583.49160184,76168294.62410136,8.164319344458248,1.058786360707318,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,116.02415902352539,1006.3516552624902,,
109,13116000,2021-08-28,25.73,0.8781756881169295,32533261.40269815,75942842.6674461,8.169145740226824,1.0473012837443616,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,117.82358138709102,1015.490745555439,,
110,13122000,2021-08-29,25.76,0.7736115520146548,30350337.64493693,75351492.1454344,8.172003364601656,1.047927730902813,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,111.38796847074916,794.2441700496372,,
111,13128000,2021-08-30,25.04,0.7785575019209399,24971678.27191937,74647801.47162269,8.199319627584856,1.0492348445614434,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,112.65633557441124,812.0155876630907,,
112,13134000,2021-08-31,26.7,0.7920211427641833,28122219.56970197,74036108.79247122,8.197715698111304,1.0513014600729864,0xface851a4921ce59e912d19329929ce6da6eb0c7,50.0,,,,114.33982812550668,847.2858728216592,,
