,block,block_timestamp,Asset Price,Asset Volatility (30 Days),Asset Liquidity,Asset Liquidity (30 Days),liquidity_volatility,Asset Liquidity Volatility (30 Days),TOKEN_ADDRESS,NEW_COLLATERAL,Asset Volatility (60 Days),Asset Liquidity (60 Days),Asset Liquidity Volatility (60 Days),Formula C,Formula A,Formula C (60 Days),Formula A (60 Days)
213,13770000,2021-12-09,16.17,0.972054511862033,4509549.980327914,12584331.47629106,3.274929377131569,0.1597326604528725,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,4904.801498138527,7508.4638052606315,,
214,13776000,2021-12-10,15.15,0.9792365191698584,3785730.23981501,12028958.694088966,3.2962245312262106,0.1547490282409784,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5316.035061625739,7971.630669470221,,
215,13782000,2021-12-11,15.9,0.9955321159862508,3941562.480352961,11538001.434434611,3.298838276727141,0.1552338243170526,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5570.71181500562,8589.738869352354,,
216,13788000,2021-12-12,16.0,0.9954803566269692,3931387.423734519,11100700.54089935,3.2949333481297693,0.1563389383633536,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5749.085954455164,8927.194610637349,,
217,13794000,2021-12-13,14.16,1.0375546942384457,3381297.007570717,10505045.743074704,3.2068318831091727,0.1684707830900157,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5755.498663620798,10247.644511647313,,
218,13800000,2021-12-14,15.0,1.0599317144442937,3908681.7043886464,9860551.27080314,3.23408685116479,0.1820896233855995,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5733.9321582807725,11393.43235921651,,
219,13812000,2021-12-15,15.19,1.062345616289847,3948307.404952478,9333461.939537011,3.218559298066915,0.1932603038947604,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5714.095521480989,12091.742761274261,,
220,13818000,2021-12-16,14.42,1.0389379640246414,3489570.8614305216,8831661.690828286,3.2269251751968677,0.1980496019640294,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5827.448038533075,12221.846022619051,,
221,13824000,2021-12-17,14.97,1.047262209073858,4341848.157585882,8314458.626185374,3.313356242564129,0.2057442152743225,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,5982.271319702167,13190.974708806065,,
222,13830000,2021-12-18,15.56,1.034278442741748,4596535.845280543,7957276.805590963,3.265689711732632,0.2046769621432008,0x35a18000230da775cac24873d00ff85bccded550,70.0,,,,6244.32225750004,13443.442062599572,,
