,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12444748.0,0.9545693035033135,1.0475928739065397,1850.0581766898108,5076.144789952698,682020.0360759153,1355335.307192131,2695920.009675447,4028486.3937507453,4691777.579666377,5354501.702743846,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5354820.617017354,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576,5505.936919112576
1,1,12445799.0,0.9472477102468655,1.0556900683765038,2261.394211040836,5497.174895677555,8713.599913356655,684051.690434172,2028665.104778934,3365234.2433876125,4030518.048109002,5355113.792091836,5356693.053484911,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925
2,2,12445799.0,0.9472477102468655,1.0556900683765038,2261.394211040836,5497.174895677555,8713.599913356655,684051.690434172,2028665.104778934,3365234.2433876125,4030518.048109002,5355113.792091836,5356693.053484911,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,5356852.2713756105,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925
3,3,12446628.0,0.9472477102468655,1.0556900683765038,2112.2294234466035,5051.019422049217,7972.230281020579,683163.3764897918,2027484.2213854,3363762.540869067,4028901.5889531937,5353209.119057574,5354788.380450649,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,5354947.5983413495,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925,3432.1448780843925
4,4,12448035.0,0.9790267664329239,1.0214225333628946,1303216.616878332,2643509.6265049763,3975786.062399786,4638932.9252446955,5301513.157514433,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,5301832.071787941,707786.428768724,710602.6691644603,712004.4663937924,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776,714638.2523769776
5,5,12448584.0,0.9786352536094503,1.0218311636656776,1348047.606756467,2688340.616383111,4020617.052277921,4683763.91512283,5346344.147392567,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,5346663.061666076,663904.3927575072,666720.6331532435,668122.4303825756,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609,670756.2163657609
6,6,12449289.0,0.9512343173177015,1.0512656890047958,2538.218377882907,5468.2040591427485,8380.666299854063,9830.358234101732,12716.725013135372,15585.827826800956,17013.93724823942,19857.334339904708,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,20176.248613412972,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877,4424.720284365877
7,7,12449818.0,0.96002561142781,1.041638877230304,2137873.7535985745,5688819.358731063,9218526.800142035,10975454.205626737,14473534.712229887,14476395.221311726,14477819.053393126,14479398.3147862,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,14479557.5326769,4788294.903078502,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819,4789531.090241819
8,8,12450405.0,0.9750211740421174,1.0256187523131715,2831769.9236161904,6350903.979436724,9848984.486039873,9850416.885700276,9853268.827203114,9854848.088596188,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,9855007.306486888,5848268.292142758,9261360.02579045,9262757.624610318,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634,9263993.811773634
9,9,12451043.0,0.9778526975978502,1.0226489147665654,1995694.3066380676,5514828.362458602,9012908.869061751,9014341.268722152,9017193.21022499,9018772.471618066,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,9018931.689508764,6664692.565450083,10077784.299097775,10079181.897917643,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959,10080418.085080959
