,index,blocknum,p0vs1,p1vs0,TUSD-slippagemap_01,TUSD-slippagemap_2,TUSD-slippagemap_3,TUSD-slippagemap_4,TUSD-slippagemap_5,TUSD-slippagemap_6,TUSD-slippagemap_7,TUSD-slippagemap_8,TUSD-slippagemap_9,TUSD-slippagemap_10,TUSD-slippagemap_11,TUSD-slippagemap_12,TUSD-slippagemap_13,TUSD-slippagemap_14,TUSD-slippagemap_15,TUSD-slippagemap_16,TUSD-slippagemap_17,TUSD-slippagemap_18,TUSD-slippagemap_19,TUSD-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,14252490.0,1.000102644098377,0.9998973664363527,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,4155031.154742513,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235,6845297.787402235
1,1,14254441.0,1.000102644098377,0.9998973664363527,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,4344821.174895072,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084,6655478.791133084
2,2,14255674.0,1.000102644098377,0.9998973664363527,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,4347215.7788604675,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124,6653083.867587124
3,3,14256646.0,1.000102644098377,0.9998973664363527,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,4343972.432739819,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538,6656327.646835538
4,4,14258191.0,1.000102644098377,0.9998973664363527,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,4346972.132680859,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017,6653327.546231017
5,5,14259821.0,1.000102644098377,0.9998973664363527,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,4349509.778453075,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878,6650789.562915878
6,6,14260874.0,1.000102644098377,0.9998973664363527,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,4348110.1044934,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812,6652189.422892812
7,7,14262976.0,1.000102644098377,0.9998973664363527,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,4368108.1045507705,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345,6632188.8022801345
8,8,14263720.0,1.000102644098377,0.9998973664363527,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,4363083.110318867,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887,6637214.44746887
9,9,14264265.0,1.000102644098377,0.9998973664363527,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,4337654.732084797,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858,6662646.197217858
