,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12579279.0,26.115774525369176,0.038291033606090756,5.775052485553005,11.186118008101438,16.570197007982145,21.927424235526928,27.257933581272432,32.56185804140671,37.839330437979505,43.09048278010926,48.31544604494456,53.5143510558475,58.68732786801986,63.834505381401,68.9560127049108,74.05197752549336,79.12252745180838,84.16778927095115,89.18788891617079,94.18295191562838,99.15310317404074,104.09846692744705,161.6601972608172,302.93197701700234,443.4992000877968,583.3653723437104,722.5339948761922,861.0085461196174,998.7924917010048,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878,1067.4265559558878
1,1,12580582.0,26.016727842302412,0.03843680904306614,5.695681592210395,11.117579521481373,16.512436943610854,21.88038881722831,27.221569263271885,32.53611172052352,37.824149087577126,43.0858136657839,48.3212369233042,53.530549641057846,58.71388204599016,63.87136393231559,69.00312390792394,74.1092904083791,79.18999111360162,84.24535291017337,89.27550218243513,94.28056491768798,99.26066601216873,104.2159298819149,163.7028852484471,304.6924186757344,444.9788006913228,584.5655365257307,723.4561150396053,861.6540074261803,999.1626715487372,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753,1012.8757587417753
2,2,12581403.0,25.698697884666576,0.038912477374842463,5.900469455463276,11.354994991906846,16.782317331937474,22.182572010352793,27.55589438944568,32.90241820607888,38.222277709618915,43.5156056318359,48.78253413452874,54.02319512330925,59.237719445743345,64.42623758743666,69.58887925207665,74.7257733242116,79.83704817685849,84.92283195195317,89.98325132481327,95.0184331505014,100.02850307311337,105.01358647265704,158.34085055284172,298.4870247586787,437.93424856890965,576.686012977543,714.7457855198658,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343,838.410773301343
3,3,12581914.0,25.82492419500635,0.038722282104253596,5.939624070768912,11.38053099438064,16.794302633598424,22.181074142761567,27.54098067481116,32.874155732345855,38.18073271872115,43.460844472518055,48.71462284148787,53.94219920675664,59.14370406189745,64.31926786881931,69.46901956904308,74.59308797639373,79.69160135432148,84.76468719593062,89.81247202311894,94.8350821753054,99.83264325263359,104.80528007858379,157.34543978934698,297.842393511058,437.6386581956388,576.7377194583479,715.1430510985966,852.8581252307254,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971,907.751645536971
4,4,12582902.0,25.601233006413075,0.03906061867213588,5.793706745294117,11.259151534601678,16.69733894309389,22.108404465642323,27.49248346552303,32.84971069306781,38.18022003881332,43.48414449894759,48.76161689552039,54.01276923765014,59.23773250248544,64.43663751338838,69.60961432556074,74.7567918389419,79.87829916245168,84.97426398303423,90.04481390934926,95.09007572849202,100.11017537371168,105.10523837316927,161.0600041265565,300.9261763824701,440.0947989149518,578.5693501583771,716.3532957397645,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475,784.9873599946475
5,5,12583876.0,25.69612827183939,0.038916368622579946,5.941942044668418,11.396467581111988,16.82378992114262,22.224044599557935,27.597366978650822,32.94389079528402,38.26375029882406,43.557078221041046,48.82400672373388,54.06466771251439,59.27919203494849,64.4677101766418,69.6303518412818,74.76724591341674,79.87852076606363,84.96430454115831,90.02472391401841,95.05990573970654,100.06997566231851,105.05505906186218,157.27505824897477,297.42123245481173,436.86845626504277,575.620220673676,713.6799932159988,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761,837.3449809974761
6,6,12584437.0,25.912873969750272,0.03859085646645613,5.721923534848909,11.154675615757922,16.56033304552885,21.939030984680087,27.29090397465151,32.61608569225388,37.91470910580976,43.18690699230252,48.4328111169142,53.65255221096864,58.84626120595357,64.01406771294356,69.15610106709573,74.27248956933953,79.3633613117589,84.42884360159732,89.46906276231289,94.4841450809229,99.47421576629468,104.43939971890629,162.99126620255402,303.6991205380678,443.70522079301196,583.013076883874,721.6261652105018,859.5479551590348,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955,955.6837240150955
7,7,12585021.0,26.701998419537485,0.03745038046546785,5.615399578673418,10.967272568644841,16.292454286247214,21.59107769980309,26.863275586295853,32.10917971090753,37.328920804961975,42.5226297999469,47.690436306936896,52.83246966108906,57.94885816333285,63.039729905752225,68.10521219559065,73.14543135630622,78.16051367491623,83.15058436028801,88.11576831289962,93.05618944030968,97.97197124686173,102.86323692313663,166.0242782808168,308.8585534266142,450.98046787805765,592.3935851569641,733.101439492478,873.1075397474222,1012.4153958382842,1151.0284841649118,1288.950274113445,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058,1385.0860429695058
8,8,12586194.0,26.41254151521275,0.037860801824922186,5.584063524211575,10.965451404773928,16.320000853811944,21.64784575506684,26.949119089951683,32.22395365714181,37.472481065691454,42.694832636278704,47.891138968408725,53.06153007473809,58.20613480738182,63.32508204909585,68.41849977328384,73.48651518358139,78.52925500546834,83.54684542922422,88.53941158018208,93.50707860228762,98.44997048561132,103.36821066851779,166.75934174182305,308.8102178311067,450.15265340137915,590.7901730467923,730.7262923943135,869.9645113942099,1008.5083130372226,1146.3611620433667,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357,1228.74264403357
9,9,12586840.0,26.312369313698927,0.03800493935296709,5.517172536878075,10.909333451733145,16.27460200282106,21.61311270365209,26.924998779161324,32.21039291757678,37.469427399352924,42.70223366465435,47.908942459513895,53.089684147003545,58.24458794025649,63.37378275481111,68.47739696703981,73.55555802545713,78.60839292041962,83.63602812542142,88.63858890293405,93.61620072036119,98.56898774676665,103.4970737749734,168.48026808887624,310.24734305411454,451.3073834709392,591.6639248315316,731.3204656251764,870.2805047444629,1008.5475124491993,1146.1249400840172,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622,1173.5579785361622
