,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20
0,0,14416119.0,1.0006001500200015,0.9994002099440127,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,24528.916546786175,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905,96651.84802299905
1,1,14416883.0,1.00020001,0.9998000299960006,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,44758.04110399031,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414,76413.1951739414
2,2,14417566.0,0.9996000999800035,1.000400060004,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,77303.81952650024,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944,43867.67977112944
3,3,14418269.0,0.9999000099990001,1.0001,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60756.87642555435,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095,60412.08665471095
4,4,14419054.0,1.0,1.0,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,58874.43873006357,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686,62294.550619084686
5,5,14420380.0,1.0003000300009999,0.9997000599900017,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,42744.03875609202,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097,78427.81301401097
6,6,14421191.0,1.0003000300009999,0.9997000599900017,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,38568.48281296714,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807,82604.87970193807
7,7,14424040.0,1.0003000300009999,0.9997000599900017,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,42680.04003095183,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792,78491.83250505792
8,8,14425329.0,1.0001,0.9999000099990001,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,51943.01807044662,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087,69226.62248814087
9,9,14426732.0,1.0,1.0,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,57940.839198478025,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142,63228.18703907142
