,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
10,10,12507557.0,1.000302674628223,0.9996974169559872,445313.9772720589,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,521899.2305124773,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544,544735.2153386544
11,11,12508526.0,1.000302674628223,0.9996974169559872,103691.27674951873,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858
12,12,12509073.0,1.000302674628223,0.9996974169559872,103691.27674951873,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,180276.52998993712,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858,126822.72419153858
13,13,12509976.0,1.000302674628223,0.9996974169559872,103801.76452527026,180549.97646657302,180711.96032430584,180792.58857889439,180953.12125246227,180953.3322712801,180953.4373068399,180953.646435105,180953.8543123907,180953.95778429174,180954.16379914212,180954.36858176094,180954.4705131281,180954.6734611013,180954.8751949405,180954.97560884609,180955.1755354118,180955.3742659833,180955.47318518892,180955.6701352106,127120.74710349197,127282.63424246974,127363.21425060471,127523.65103410622,127603.61450459699,127603.71947750296,127603.92848075408,127604.13623390385,127604.23964397518,127604.44553594636,127604.65019620468,127604.75206685097,127604.954893541,127605.15650692939,127605.25686092368,127605.45666796225,127605.6552800872,127605.75414006575,127605.9509725788,127606.1466276884
14,14,12514249.0,1.000302674628223,0.9996974169559872,303.1840384309584,737.0661675384274,1148.5319397661642,1353.3410331041669,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,1761.120557693244,760.1185592175642,1171.338649821243,1376.0251891927626,1783.5611371640416,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616,1863.313714752616
15,15,12525893.0,1.000302674628223,0.9996974169559872,10179.567004138778,17907.723975758934,18319.189747986667,18523.998841324672,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,18931.77836591375,20131.97827941527,20543.19837001895,20747.88490939047,21155.420857361747,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032,21235.17343495032
16,16,12529410.0,1.000302674628223,0.9996974169559872,132.86849252271455,315.5517906931275,477.32144069892155,557.8430723474344,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,718.1634572366866,300.7199099348651,462.3929690866459,542.8664180827902,703.0910397108664,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441,782.843617299441
17,17,12532965.0,1.000302674628223,0.9996974169559872,322.56208088193057,645.3449655263499,807.114615532144,887.6362471806568,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,1047.956632069909,532.7750981427253,694.448157294506,774.9216062906503,935.1462279187265,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012,1014.8988055073012
18,18,12534097.0,1.000302674628223,0.9996974169559872,181383.47511636652,181706.25800101095,181868.02765101675,181948.54928266525,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,182108.8696675545,222027.47407537923,222189.147134531,222269.62058352714,222429.84520515523,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438,222509.5977827438
19,19,12539993.0,1.000302674628223,0.9996974169559872,214733.80068542695,531292.2635839466,688861.8559691863,688942.3776008347,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,689102.697985724,578872.4262479253,736347.8586229136,736428.3320719098,736588.5566935379,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264,736668.3092711264
20,20,12542702.0,1.000302674628223,0.9996974169559872,214789.66701302666,531389.3903962165,688958.9827814562,689039.5044131047,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,689199.824797994,578940.7684163547,736416.2007913431,736496.6742403392,736656.8988619674,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559,736736.6514395559
21,21,12546636.0,1.000302674628223,0.9996974169559872,561979.6643758084,878579.3877589983,1036148.980144238,1036229.5017758865,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1036389.8221607758,1003663.822467815,1161139.2548428033,1161219.7282917995,1161379.9529134277,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162,1161459.7054910162
22,22,12547505.0,1.000302674628223,0.9996974169559872,556027.5735102032,872627.296893393,1030196.8892786327,1030277.4109102812,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1030437.7312951705,1009617.9971808804,1167093.4295558687,1167173.903004865,1167334.127626493,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815,1167413.8802040815
23,23,12548566.0,1.000302674628223,0.9996974169559872,555918.4005461031,872355.3807252698,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1029763.2034605037,1009319.1992633321,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687,1166632.9585791687
24,24,12549405.0,1.000302674628223,0.9996974169559872,212405.72478296922,528842.704962136,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,686250.5276973698,580917.5361692986,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352,738231.2954851352
