,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10
0,0,12458879.0,64.10932125028907,0.015598355753852112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12733901.0,64.10932125028907,0.015598355753852112,0.00019468728678944354,0.0005132382237372888,0.0008286196843654543,0.0011408632001574368,0.0014499999989683425,0.0017560609858156709,0.0017560609858156709,0.0017560609858156709,0.0017560609858156709,0.0017560609858156709,0.0017560609858156709,0.04884512514458914,0.0689069303329671,0.08876912711607668,0.10843370170004762,0.1279026202640031,0.147177829385778,0.16626125654441312,0.185154809818616,0.185154809818616,0.185154809818616
2,2,12771673.0,67.3961079594651,0.01483765205850526,3.427388769246945e-05,0.0003465174034844519,0.0006556542022953576,0.0009617151891426858,0.0009617151891426858,0.0009617151891426858,0.0009617151891426858,0.0009617151891426858,0.0009617151891426858,0.0009617151891426858,0.0009617151891426858,0.060331103446008665,0.08079816360598426,0.10106158329542284,0.1211233884838008,0.14098558526691038,0.16065015985088132,0.1801190784148368,0.1993942875366117,0.21847771469524682,0.2373712679694497
3,3,12772281.0,67.3961079594651,0.01483765205850526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
