,index,blocknum,p0vs1,p1vs0,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12428041.0,0.13750420278778536,7.272504983308271,0.0045810367773056375,0.00907561513477476,0.013547778118770927,0.017997637217812484,0.022425303634340296,0.02683088792416311,0.031214500556416135,0.035576250671342874,0.039916247824295446,0.044234600175351066,0.04853141562924673,0.052806801500903576,0.057060865293495626,0.061293712737894884,0.06550544968578785,0.06969618176540159,0.07386601330017463,0.07801504883650755,0.08214339206117698,0.08625114603252186,0.0007363303574187118,0.0013538596296858005,0.02827260656713576,0.09441503988561267,0.19844741837277705,0.8805345150239504,2.1967381809216895,2.9525981764795635,3.0171076271479986,3.0818225288307772,3.1276152897845764,3.129073456898023,3.1305243516817116,3.131968010388057,3.1334044693369623,3.1348337641769275,3.136255930716616,3.137671004550464,3.1390790210442523,3.140480015444725
1,1,12473643.0,0.13772437459431652,7.26087886001021,0.0047554898070711095,0.0092455762850823,0.013713269515120231,0.01815868094196222,0.022581922016356414,0.02698310321349229,0.03136233461495875,0.03571972556639562,0.040055384938692346,0.04436942136628707,0.04866194235032595,0.052933055360241545,0.05718286721790287,0.061411484067156075,0.06561901187056719,0.06980555531260764,0.07397121934350762,0.07811610833196675,0.08224032529077431,0.08634397384690136,0.0007124035695987173,0.001330550641072494,0.015104338939110735,0.08131294328965775,0.147191353115549,0.6166030755959485,1.9341235211991206,2.9397574884612547,3.004331475815156,3.0689350487525946,3.1274227304963427,3.128882356371824,3.1303347027233164,3.131779805789573,3.1332177017571454,3.1346484266281203,3.13607201596156,3.1374885055913038,3.138897930634898,3.140300326584727
2,2,12474618.0,0.13772437459431652,7.26087886001021,0.0047554898070711095,0.0092455762850823,0.013713269515120231,0.01815868094196222,0.022581922016356414,0.02698310321349229,0.03136233461495875,0.03571972556639562,0.040055384938692346,0.04436942136628707,0.04866194235032595,0.052933055360241545,0.05718286721790287,0.061411484067156075,0.06561901187056719,0.06980555531260764,0.07397121934350762,0.07811610833196675,0.08224032529077431,0.08634397384690136,0.0007124035695987173,0.001330550641072494,0.015104338939110735,0.08131294328965775,0.147191353115549,0.403458680556456,0.6584479526770813,0.817873580599225,0.8824475679531258,0.947051140890565,1.0055388226343127,1.0069984485097945,1.0084507948612864,1.0098958979275434,1.0113337938951157,1.0127645187660905,1.01418810809953,1.0156045977292738,1.0170140227728683,1.0184164187226974
3,3,12477206.0,0.1380276865739256,7.244923281854867,0.004655303910039978,0.009140902696431146,0.013604130798455268,0.018045099286571796,0.022463919546554825,0.026860701979151073,0.031235556580953627,0.035588592603712915,0.03991991852938554,0.04422964317475395,0.04851787420020978,0.052784718389025355,0.05703028298080681,0.06125467343769649,0.06545799584986293,0.06964035526793481,0.07380185595589095,0.07794260212258444,0.08206269735789527,0.08616224436001957,0.0007262883145261141,0.0013450537950428344,0.0019607333247226807,0.06823557934506956,0.13417989301891112,0.3524455640070065,0.6076899263819094,0.8050578806415578,0.8696964716912748,0.9341885992017032,0.9990609290231112,1.0068449923095908,1.008298791616556,1.0097453404806127,1.0111846749556226,1.0126168311536368,1.0140418447481596,1.0154597514455377,1.0168705867297612,1.0182743855996246
4,4,12492186.0,0.12936754409372758,7.729914075477029,2.000888165111526,2.7944823135572103,3.2932844413771885,3.4948578772840952,3.499422660906871,3.50396467879603,3.508484044518927,3.512980870839055,3.5174552703234947,3.5219073546544215,3.526337235224497,3.530745022775782,3.535130827663639,3.5394947592197328,3.5438369266118404,3.5481574384928787,3.5524564029594528,3.5567339272383722,3.5609901182150767,3.5652250823811555,0.3016418176164301,0.40422503033459156,0.46870223474025907,0.5334727631143191,0.5729228178659962,0.5743802560429504,0.5758304256856108,0.577273362814589,0.5787091036337831,0.5801376841599689,0.5815591398412258,0.5829735063958817,0.5843808190674833,0.585781113101558,0.5871744234866453,0.5878158844157042,0.5883715861716874,0.5889245164672493,0.5894746891294491,0.5900221179570326
5,5,12493589.0,0.1324302858245944,7.551142805238015,0.5328562370189007,0.5374347350068134,0.5419903987296201,0.5465233421598499,0.5510336788081547,0.55552152072005,0.5599869806954942,0.5644301702997345,0.5688512004802393,0.5732501818309493,0.5776272242426848,0.5819824371654022,0.5863159292745257,0.5906278092951134,0.5949181848073823,0.599187162799614,0.6034348504432017,0.6076613536727735,0.6118667782464091,0.6160512291661221,0.07448935739458735,0.311760616125747,0.566877390596378,0.7452694396544426,0.8098757275291759,0.8744235878585647,0.9392634953280096,0.9407238511462647,0.9421769238027432,0.9436227496491376,0.9450613646248108,0.9464928049675703,0.9479171062334241,0.9493343042538536,0.9507444342688135,0.9521475315237232,0.9535436311358835,0.954518520647116,0.9550753348663715,0.9556293720567783
6,6,12497569.0,0.17116765813504195,5.842225166223017,0.004089907571983129,0.008118340177421798,0.01212668184619952,0.016115032976715515,0.020083493095466885,0.02403216149843897,0.02796113676898115,0.03187051717881386,0.03576040043232431,0.0396308836370061,0.04348206387970254,0.047314037167316275,0.05112689921619886,0.05492074578846865,0.05869567110431974,0.062451770124265074,0.06618913622149498,0.06990786322074291,0.0736080438709481,0.07728977073448592,0.0008242758053353513,0.001513261815419823,0.002198811640687906,0.0028809424515848143,0.003559671316181527,0.004235015151395564,0.004906990883192039,0.005575615273375423,0.006240905081192048,0.006902876888170369,0.007561547261134372,0.008216932661352976,0.008869049481060067,0.009517913993981697,0.010163542479600348,0.010805950999110154,0.011445155695467796,0.012081172480182078,0.012714017291502282,0.01334370591144852
7,7,12504791.0,0.14475633962242648,6.908160309996359,0.004744200497672136,0.009123431899138596,0.013480822850575464,0.01781648222287219,0.022130518650466915,0.026423039634505794,0.030694152644421394,0.03494396450208271,0.039172581351335924,0.04338010915474704,0.04756665259678748,0.05173231662768746,0.05587720561614659,0.06000142257495415,0.0641050711310812,0.06818825372855966,0.07225107234820632,0.07629362846754853,0.08031602348209606,0.08431835750934129,0.000715073722975702,0.0013488684673633588,0.0019795023035964012,0.0026069909537005157,0.003231350197379077,0.0038525955508856903,0.004470742622359467,0.018244530920397708,0.08445313527094472,0.150331545096836,0.406598872537743,0.6615881446583682,0.8210137725805119,0.8855877599344129,0.950191332871852,1.0086790146155997,1.0101386404910815,1.0115909868425734,1.0130360899088302,1.0144739858764025
8,8,12508454.0,0.13366757007407412,7.481246194913496,0.07709084416979331,0.08164878619095343,0.08618399671598737,0.090696588778786,0.09518667525679719,0.09965436848683512,0.10409977991367711,0.1085230209880713,0.11292420218520718,0.11730343358667364,0.12166082453811052,0.12599648391040724,0.13031052033800197,0.13460304132204085,0.13887415433195643,0.14312396618961776,0.14735258303887097,0.1515601108422821,0.15574665428432252,0.1599123183152225,0.07637474183058379,0.14225315165647506,0.3985204790973821,0.6535097512180074,0.812935379140151,0.8775093664940519,0.942112939431491,1.0006006211752387,1.0020602470507205,1.0035125934022124,1.0049576964684694,1.0063955924360417,1.0078263173070166,1.009249906640456,1.0106663962701998,1.0120758213137944,1.0134782172636234,1.0148736191133805,1.0157650889567282,1.016321624836867
9,9,12522089.0,0.13031533500491446,7.673693966732986,1.249272144460768,1.7485733263254855,2.0487920896333836,2.053361440135948,2.0579080020432086,2.062431889278171,2.066933214311234,2.071412090082049,2.0758686286374184,2.0803029411147342,2.084715138634675,2.0891053310305567,2.093473628622851,2.097820140080489,2.102144974455303,2.1064482396727318,2.110730043364342,2.1149904925390572,2.1192296938189927,2.123447752861955,0.2857079557121347,0.5400605920510241,0.6047962100877078,0.6692089766160062,0.7340906676978971,0.760864827361728,0.7623208089201523,0.763769529094653,0.7652110241598362,0.7666453300911589,0.7680724826703339,0.76949251771676,0.7709054707094769,0.7723113767695694,0.7737102713895154,0.7750192568501619,0.7755771857159541,0.7761323320621273,0.7766847097357296,0.7772343325587965
