,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20
0,0,12378755.0,0.9990005497800716,1.001000450120021,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,63.087724958987614,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984,21.01873161050984
1,1,12608277.0,0.9990005497800716,1.001000450120021,63.30987483296549,63.510771797784614,63.71066682150818,63.90956493644466,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,64.10747106708908,21.240659462253063,21.441355638232306,21.64105088501816,21.839750198001646,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085,22.037458545324085
2,2,12648243.0,0.9990005497800716,1.001000450120021,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,20058.086949644454,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884,19996.037739796884
3,3,12654895.0,0.9998000299960005,1.00020001,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,11294.146323701669,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952,28755.048209447952
4,4,12657897.0,0.9998000299960005,1.00020001,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,11274.088906393707,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298,28775.103130442298
5,5,12662470.0,0.9999000099990001,1.0001,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,10056.681060342436,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917,29992.43463233917
6,6,12667680.0,0.9999000099990001,1.0001,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,10074.681111784585,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382,29974.4346323382
7,7,12689109.0,0.9999000099990001,1.0001,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,12487.398755695613,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014,32378.101936385014
8,8,12690840.0,1.0005001000100004,0.999500149965007,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,5749.604994296865,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954,39117.893379433954
9,9,12695641.0,1.0005001000100004,0.999500149965007,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,6749.288267771462,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021,38117.65802862021
10,10,12704089.0,0.9991004498350494,1.0009003600840127,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22387.71036248229,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008,22482.192012232008
11,11,12705590.0,0.9994002099440127,1.0006001500200015,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,18375.16835230141,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021,26491.89834219021
12,12,12706357.0,1.0009003600840125,0.9991004498350495,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,1260.854519582802,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991,43610.22142934991
13,13,12708303.0,1.0009003600840125,0.9991004498350495,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,1665.3215294672968,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586,43205.358369742586
14,14,12719805.0,0.9996000999800035,1.000400060004,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,16279.61972395216,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836,28586.535745553836
15,15,12720409.0,0.9997000599900016,1.0003000300009999,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,15704.674684357104,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243,29161.299136060243
16,16,12721651.0,1.00020001,0.9998000299960006,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,9709.70993845283,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202,35156.12407509202
17,17,12724173.0,0.9999000099990001,1.0001,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,13148.470504903087,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782,31717.05213783782
18,18,12726555.0,0.9999000099990001,1.0001,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,13148.706868928872,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328,31716.81578862328
19,19,12732842.0,0.9999000099990001,1.0001,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,17207.112835408392,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675,32289.300707449675
20,20,12734333.0,0.9997000599900016,1.0003000300009999,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,19353.220484201574,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335,30143.423255349335
21,21,12740258.0,1.0016012005601818,0.9984013591843878,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,2428.3636938654417,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316,38621.368021879316
22,22,12741071.0,0.9999000099990001,1.0001,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,17531.933744419504,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168,31964.488288508168
23,23,12741844.0,0.9999000099990001,1.0001,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,17138.061292903516,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515,32358.351656671515
24,24,12745187.0,1.0007002100350033,0.9993002799160212,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,7588.53714428433,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991,43455.81101253991
25,25,12751734.0,0.9996000999800035,1.000400060004,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,20579.65634343259,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658,28917.303158771658
26,26,12755969.0,1.001100550165033,0.9989006597141001,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,3994.2472846834544,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834,37053.295004834
27,27,12760798.0,1.0009003600840125,0.9991004498350495,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,5315.103507712464,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537,45731.1374742537
