,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,13630748.0,0.00023956499103309703,4174.232619247131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.123113e-14,-4.565527e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14,-5.886734e-14
1,1,13695803.0,0.00023956499103309703,4174.232619247131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026127135419970384,0.0052655843553323515,0.00790522452618561,0.010531700157910417,0.01314507682602312,0.01574541989319893,0.01833279425621601,0.020907264666157936,0.023468895591591436,0.02601775096054128,0.028553894366374014,0.03107738951716908,0.033588299150766,0.03608668631080821,0.03857261325601408,0.04104614227071206,0.043507335042291595,0.04595625324095452,0.048392958012840805,0.05081751032125223
2,2,13696913.0,0.00024076575536039862,4153.414585488352,1.8329568166245336,3.6474937429949468,5.452981054577968,7.249463920162505,9.036987224439267,10.815595694924063,12.585333744217705,14.346245662774717,16.098375396637163,17.84176673673636,19.576463362858426,21.302508629712367,23.019945559109015,24.7288172023998,26.429166243283937,28.12103517277099,29.804466272427366,31.47950165694452,33.14618319862459,34.80455257089416,0.0017269226045215711,0.004823311841115231,0.007904258578763415,0.010969839879419529,0.01402013220372698,0.017055211910603205,0.02007515483270909,0.02308003651369631,0.026069931910646663,0.029044916041436306,0.032005063008905855,0.03495044692209258,0.03788114146277681,0.04079721985602103,0.04369875497976375,0.04658581933758043,0.049458485030854774,0.05231682401394131,0.055160907644707186,0.05799080722425876
3,3,13707872.0,0.00023060969425522953,4336.331147003908,13.270038399523457,26.41076626093781,39.4859571610088,50.04236979661012,51.868830279659456,53.68618180362022,55.49446969240912,57.293739086532014,59.08403506535948,60.86540240967988,62.63788552220211,64.40152882892214,66.15637634527802,67.90247193674976,69.6398592980086,71.3685818061918,73.08868276366108,74.8002050628249,76.50319155040734,78.19768475967933,0.003092002753376802,0.006122381989367272,0.009137647930142852,0.012137875865596656,0.015123140758654952,0.018093517354507066,0.021049080019045038,0.023989902296938207,0.026916058118823652,0.029827620261146583,0.03272466155762989,0.035607254741684254,0.0384754714362978,0.04132938366998443,0.044169062726986945,0.04699457939728166,0.04980600452280088,0.05260340825638774,0.05538686060904348,0.058156431135932
4,4,13714071.0,0.00022290113806662585,4486.293828168328,13.54849457360782,26.914512748566356,40.21387112871601,53.446902527289986,66.61393641479724,79.71530278934891,92.75132972328879,96.59092050702172,98.41191018105461,100.22381803741864,102.02668944021475,103.82056940728957,105.60550288335132,107.38153436717441,109.14870825216707,110.90706880192057,112.65665992932692,114.39752532039367,116.12970861145207,117.85325298217363,0.003028528690729423,0.006007829420332548,0.008972271532390238,0.011921929203924441,0.014856876053998767,0.017777185666111677,0.020682930731787147,0.02357418413104794,0.02645101807342721,0.029313504487492904,0.03216171485322763,0.03499572045860921,0.03781559208924315,0.040621400286631956,0.04341321503378885,0.04619110630699992,0.04895514347140228,0.05170539569006508,0.05444193160515107,0.05716481975390793
5,5,13721381.0,0.00022290113806662585,4486.293828168328,736.559976030994,1463.1996755998962,2186.2154347671612,2905.6253468276373,3038.491709738205,3051.5930761127565,3064.6291030466964,3068.4686938304294,3070.2896835044626,3072.101591360826,3073.9044627636226,3075.6983427306973,3077.483276206759,3079.2593076905823,3081.026481575575,3082.7848421253284,3084.5344332527347,3086.2752986438013,3088.0074819348597,3089.7310263055815,0.1646450834618905,0.3266139031032149,0.48777493831306223,0.64813222170336,0.8076897555532137,0.9664515402086864,1.124421527523386,1.2816036795986017,1.4380019220846498,1.5936201653572553,1.7484622954049298,1.9025321877779022,2.0393175129857704,2.0421233211831593,2.044915135930316,2.047693027203527,2.0504570643679294,2.053207316586592,2.055943852501678,2.0586667406504353
6,6,13722588.0,0.00021158587637204435,4726.213380337537,13.903352851796015,27.622112883671505,41.27245324143792,54.85471619437007,68.36924055102978,81.81636465023165,95.19642379762993,108.5097531406522,121.75668572460891,134.93755184138135,148.05268120646932,161.1024022165081,167.2905888508939,169.11349143848693,170.92730278764867,172.73206809771716,174.5278325230345,176.31464100280644,178.09253817480038,179.86156856975592,0.002951229237538629,0.005853925157358094,0.008742144495609493,0.011615959431572346,0.014475442000580837,0.01732066335989262,0.020151695036932794,0.022968607481735803,0.02577147117866841,0.02856035633880103,0.031335332583104274,0.034096469203466456,0.03684383528434857,0.03957749938351886,0.04229753009739518,0.04500399529589036,0.047696962538356105,0.05037649935113884,0.05304267244956631,0.05569554861720498
7,7,13727174.0,0.00021158587637204435,4726.213380337537,15.339507161808944,30.475353889093267,45.53571349524078,60.520963604415044,75.43147802257432,90.2676300374313,105.02978959022077,119.71832644760408,134.33360805698618,148.8759988279258,163.34586253406266,177.74356149393913,185.27300329131654,188.43047186884868,191.57219341750883,194.69824622754166,197.8087085112539,200.90365810831236,203.9831723362594,207.04732832725324,0.0032560780487935173,0.006458609504712978,0.009645169012785832,0.012815836208089097,0.015970690566885538,0.019109810596660008,0.02223327521330145,0.025341162144018502,0.0284335491538985,0.03151051370650214,0.03457213261433562,0.037618482326830134,0.040649639064563245,0.0436656784670147,0.046666676216306255,0.04965270719300986,0.05262384593505682,0.05558016694396382,0.05852174382645423,0.06144865026453898
8,8,13727889.0,0.00021910021021502376,4564.121590840125,15.006206704336337,29.880237265436193,44.680086350409375,59.40612499080624,74.05872067598484,88.63824046987473,103.14504769653225,117.57950558916825,130.82638128082354,133.9919112580666,137.14165400683433,140.2756879451932,143.39409168379882,146.4969430951803,149.58431979483396,152.65629886529985,155.71295707392238,158.75437095585718,161.78061654751434,164.79176936765109,0.003328283184654683,0.00658718631424856,0.009829836527467455,0.013056314670151769,0.016266701526387962,0.019461077178695742,0.02263952174610218,0.025802114428793176,0.02894893456227198,0.0320800604977373,0.03519557082418506,0.0382955430813351,0.041380054993025106,0.044449183648450484,0.04750300562814155,0.05054159745879788,0.05356503510301896,0.05657339376180043,0.05956674915476902,0.06254517585769738
9,9,13729346.0,0.00021947297869771547,4556.369562821307,15.051276029545292,29.912669513796434,44.69994500737021,59.413472676274324,74.05361979086851,88.62075191751133,103.11523462080757,117.53742896215111,128.87687361176634,132.03971418558362,135.18678081805052,138.31815210148392,141.4339064272874,144.53412169868994,147.6188753097145,150.68824448282334,153.7423057569612,156.78113567407092,159.80481015509363,162.81340471394995,0.003318423030589535,0.006580097335969871,0.009825504801555052,0.013054726396533146,0.01626784318790498,0.01946493508790335,0.02264608235542249,0.025811364337547958,0.028960860209628545,0.03209464863602269,0.035212808053695324,0.03831541632857802,0.041402551041028156,0.044474289458962785,0.04753070818755569,0.05057188378197838,0.053597892237636315,0.05660880912062047,0.059604709702390984,0.06258566893326614
