,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
12,12,14128554.0,1.7240395675357933,0.5800330913688492,4071.93101401671,32830.8972281634,61303.72166551253,89493.25040189372,117402.30285328254,145033.6690743637,172390.11236706655,199474.36802126927,226289.144204201,252837.12266494927,252837.12266494927,140666.76171004146,188922.80559452268,236698.7167368623,236698.7167368623,236698.7167368623,236698.7167368623,236698.7167368623,236698.7167368623,236698.7167368623,236698.7167368623
13,13,14132021.0,1.7007525046906042,0.5879750270789206,23871.931012951005,52630.89722709769,81103.72166444683,109293.25040082802,137202.30285221685,164833.669073298,192190.11236600086,219274.36802020358,246089.1442031353,272637.12266388355,272637.12266388355,106759.8406858752,155015.8845703564,202791.795712696,202791.795712696,202791.795712696,202791.795712696,202791.795712696,202791.795712696,202791.795712696,202791.795712696
14,14,14133138.0,1.6843357760658841,0.5937058478539876,9046.417179536289,38094.40163341818,66853.36784756486,95326.192284914,123515.72102129519,151424.77347268403,179056.13969376514,206412.582986468,233496.83864067076,260311.61482360246,286859.59328435076,130943.27176461689,178719.1829069565,178719.1829069565,178719.1829069565,178719.1829069565,178719.1829069565,178719.1829069565,178719.1829069565,178719.1829069565,178719.1829069565
15,15,14133939.0,1.6850096114431943,0.5934684248735589,8409.460693816805,37457.445147698694,66216.41136184538,94689.23579919452,122878.76453557571,150787.81698696452,178419.18320804567,205775.62650074853,232859.88215495128,259674.65833788298,286222.6367986313,132016.36665156425,179792.27779390386,179792.27779390386,179792.27779390386,179792.27779390386,179792.27779390386,179792.27779390386,179792.27779390386,179792.27779390386,179792.27779390386
16,16,14134495.0,1.691762809627241,0.5910994108094488,2627.5900107342195,31675.57446461611,60434.540678762794,88907.36511611193,117096.89385249313,145005.94630388194,172637.31252496308,199993.75581766595,227078.0114718687,253892.7876548004,280440.7661155487,141778.61103324784,189554.52217558745,189554.52217558745,189554.52217558745,189554.52217558745,189554.52217558745,189554.52217558745,189554.52217558745,189554.52217558745,189554.52217558745
17,17,14136279.0,1.646698571636856,0.60727568313002,12887.683969818883,42227.59000860281,71275.5744624847,100034.54067663138,128507.36511398052,156696.89385036172,184605.94630175055,212237.31252283166,239593.75581553453,266678.0114697373,293492.787652669,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698,123456.4176863698
18,18,14138364.0,1.6404533028483326,0.6095876050014296,18506.639321516453,47846.54536030038,76894.52981418227,105653.49602832895,134126.3204656781,162315.8492020593,190224.9016534481,217856.26787452924,245212.7111672321,272296.96682143485,299111.7430043666,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986,114220.49501644986
19,19,14138935.0,1.6394693752699727,0.6099534490147638,19496.56774846317,48836.473787247094,77884.45824112899,106643.42445527567,135116.2488926248,163305.777629006,191214.83008039484,218846.19630147595,246202.63959417882,273286.89524838154,300101.67143131327,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733,112596.96440220733
20,20,14139926.0,1.661917336551453,0.6017146448902454,28739.365134445827,57787.349588327714,86546.3158024744,115019.14023982354,143208.66897620473,171117.72142759355,198749.0876486747,226105.53094137757,253189.78659558028,280004.562778512,306552.5412392603,97994.89764794016,145770.80879027976,145770.80879027976,145770.80879027976,145770.80879027976,145770.80879027976,145770.80879027976,145770.80879027976,145770.80879027976,145770.80879027976
21,21,14140595.0,1.6304774936329698,0.6133172668160153,27687.203734139355,57027.10977292328,86075.09422680517,114834.06044095186,143306.884878301,171496.41361468218,199405.466066071,227036.83228715215,254393.27557985502,281477.53123405774,308292.30741698947,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041,99205.35620258041
22,22,14141954.0,1.5964365157308487,0.6263950931629749,29592.400331740282,59227.163209441766,88567.06924822569,117615.05370210759,146374.01991625427,174846.8443536034,203036.37308998458,230945.4255413734,258576.79176245455,285933.23505515745,313017.49070936017,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986,48318.943244421986
23,23,14163919.0,1.5961172763144134,0.6265203784455583,29914.882960171824,59549.64583787331,88889.55187665723,117937.53633053912,146696.50254468582,175169.32698203495,203358.85571841613,231267.90816980496,258899.2743908861,286255.71768358897,313339.9733377917,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026,47804.161911478026
24,24,14187093.0,1.5980336708346177,0.6257690424493509,28062.47552677303,57697.23840447451,87037.14444325844,116085.12889714033,144844.09511128702,173316.91954863616,201506.44828501734,229415.50073640616,257046.8669574873,284403.31025019014,311487.5659043929,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726,50762.67791163726
25,25,14187630.0,1.6197523104601255,0.6173783445420297,7870.757036170267,37505.51991387175,66845.42595265567,95893.41040653757,124652.37662068426,153125.2010580334,181314.72979441457,209223.7822458034,236855.14846688454,264211.5917595874,291295.8474137901,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034,83249.31298319034
26,26,14189704.0,1.6417661249094129,0.6091001542958359,17301.257806730508,46641.163845514435,75689.14829939633,104448.11451354301,132920.93895089216,161110.46768727334,189019.52013866216,216650.8863597433,244007.32965244618,271091.5853066489,297906.3614895806,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478,116198.84228227478
27,27,14192408.0,1.6208864772821294,0.61694635251494,6857.045253195732,36491.80813089722,65831.71416968114,94879.69862356303,123638.66483770972,152111.48927505885,180301.01801144006,208210.07046282888,235841.43668391,263197.87997661286,290282.1356308156,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746,84891.86801595746
28,28,14193758.0,1.611835332417137,0.6204107701872884,15183.774086747559,44818.53696444904,74158.44300323297,103206.42745711486,131965.39367126155,160438.2181086107,188627.74684499187,216536.7992963807,244168.16551746184,271524.6088101647,298608.86446436745,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633,71432.71764326633
29,29,14196950.0,1.6121577156019737,0.6202867066430927,14876.711371680512,44511.474249381994,73851.38028816592,102899.36474204781,131658.3309561945,160131.15539354362,188320.68412992483,216229.73658131366,243861.10280239477,271217.54609509767,298301.8017493004,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455,71927.71764490455
30,30,14197737.0,1.611996515950379,0.6203487353137569,15000.769530486696,44635.53240818818,73975.4384469721,103023.422900854,131782.38911500067,160255.21355234983,188444.742288731,216353.79474011983,243985.16096120098,271341.60425390385,298425.85990810656,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378,71727.71764489378
31,31,14198919.0,1.613609238058235,0.6197287276338153,13466.273197886314,43101.0360755878,72440.94211437172,101488.92656825362,130247.8927824003,158720.71721974944,186910.24595613062,214819.29840751944,242450.66462860059,269807.1079213035,296891.3635755062,74202.717645027,74202.717645027,74202.717645027,74202.717645027,74202.717645027,74202.717645027,74202.717645027,74202.717645027,74202.717645027,74202.717645027
32,32,14199457.0,1.6468632414940196,0.6072149616338567,12843.56945275504,42183.475491538964,71231.45994542085,99990.42615956755,128463.25059691668,156652.77933329786,184561.83178468668,212193.19800576783,239549.6412984707,266633.89695267344,293448.6731356051,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333,123529.06772758333
33,33,14200140.0,1.6471926306109506,0.6070935368555503,12547.649227084135,41887.55526586806,70935.53971974996,99694.50593389664,128167.33037124577,156356.85910762698,184265.91155901577,211897.27778009692,239253.7210727998,266337.97672700253,293152.75290993426,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233,124016.46023598233
34,34,14201284.0,1.658265319700282,0.6030398079969145,2534.330020623087,31874.236059407012,60922.22051328891,89681.18672743559,118154.01116478472,146343.53990116593,174252.59235255473,201883.95857363587,229240.40186633874,256324.65752054148,283139.4337034732,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988,140566.40792771988
35,35,14203656.0,1.7092771348061924,0.5850426356480722,16543.256923083198,45302.223137229885,73775.04757457902,101964.57631096021,129873.62876234904,157504.99498343017,184861.43827613303,211945.69393033578,238760.47011326748,265308.44857401575,265308.44857401575,119256.1391493608,167512.183033842,215288.09417618162,215288.09417618162,215288.09417618162,215288.09417618162,215288.09417618162,215288.09417618162,215288.09417618162,215288.09417618162
36,36,14204558.0,1.697694056531104,0.5890342822094216,26443.256922550347,55202.22313669703,83675.04757404617,111864.57631042736,139773.6287618162,167404.99498289733,194761.4382756002,221845.69392980292,248660.47011273465,275208.4485734829,275208.4485734829,102390.2919127705,150646.3357972517,198422.2469395913,198422.2469395913,198422.2469395913,198422.2469395913,198422.2469395913,198422.2469395913,198422.2469395913,198422.2469395913
37,37,14205636.0,1.6873701588714731,0.592638191888381,6324.983384187828,35372.967838069715,64131.934052216406,92604.75848956555,120794.28722594674,148703.33967733555,176334.7058984167,203691.14919111956,230775.40484532228,257590.181028254,284138.1594890023,135531.39880899212,183307.30995133173,183307.30995133173,183307.30995133173,183307.30995133173,183307.30995133173,183307.30995133173,183307.30995133173,183307.30995133173,183307.30995133173
38,38,14207763.0,1.687707649776949,0.5925196820267788,6004.738919260757,35052.723373142646,63811.68958728934,92284.51402463847,120474.04276101966,148383.0952124085,176014.46143348963,203370.9047261925,230455.16038039522,257269.93656332695,283817.9150240752,136071.86757477885,183847.77871711846,183847.77871711846,183847.77871711846,183847.77871711846,183847.77871711846,183847.77871711846,183847.77871711846,183847.77871711846,183847.77871711846
39,39,14209477.0,1.64768683781756,0.6069114452140358,12083.448314570478,41423.35435335441,70471.3388072363,99230.30502138298,127703.12945873212,155892.6581951133,183801.71064650212,211433.07686758327,238789.52016028613,265873.7758144889,292688.5519974206,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098,124781.21407683098
40,40,14210183.0,1.6137705989820406,0.6196667609577196,13349.37726520581,42984.140142907294,72324.04618169121,101372.03063557312,130130.9968497198,158603.82128706895,186793.35002345013,214702.40247483895,242333.7686959201,269690.21198862296,296774.4676428257,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876,74391.36399220876
41,41,14211380.0,1.602033552790216,0.6242066517635217,24263.160315618392,53897.923193319875,83237.8292321038,112285.81368598569,141044.7799001324,169517.60433748152,197707.1330738627,225616.18552525152,253247.55174633267,280603.9950390355,307688.2506932383,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642,56842.05933726642
42,42,14216320.0,1.5961172763144134,0.6265203784455583,29898.66616631507,59533.42904401656,88873.33508280048,117921.31953668238,146680.28575082906,175153.1101881782,203342.63892455937,231251.6913759482,258883.05759702934,286239.5008897322,313323.7565439349,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747,47830.04626041747
