,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12389173.0,0.0002659536805971202,3760.053245944167,7.445758411164433,14.450700905518685,21.42070810846798,28.355953961402808,35.25661169731887,42.122854251848715,48.95485272644117,58.63808933422347,68.59282230523006,129.36276962360856,138.07453519007532,141.2188720967791,144.34752727708286,144.66053753940602,144.6616480663376,144.66275305480946,144.66385253237777,144.66494652656,144.6660350647164,144.66711817400852,0.0021390869443639565,0.004001332258017003,0.0058542899875954485,0.007698006531532203,0.00953252796964186,0.01117580411622409,0.011175861450953527,0.011175890797557982,0.011175919997803228,0.011175949052419112,0.011175977962132166,0.011176006727664119,0.01117603534973404,0.01117606382905809,0.011176092166349265,0.011176120362313411,0.011176148417656356,0.01117617633308122,0.011176204109283123,0.011176231746957681
1,1,12470947.0,0.00029201859619415796,3424.4394467779643,64.38959265180392,67.5449534631806,70.6845776361185,73.18522282407845,73.18633724451308,73.18744610701152,73.18854943928744,73.18964726898562,73.19073962349644,73.19182653012247,73.19290801606508,73.19398410834692,73.19505483383737,73.19558668458264,73.1958877960868,73.19618740587043,73.19648552141751,73.1967821501727,73.19707729956387,73.1973709769651,0.003436628711483957,0.006307773821939717,0.008340698059480593,0.010272167447108599,0.01219400412119701,0.014106256053196736,0.016008971093683017,0.01790219674660435,0.019785980360118596,0.02166036903976598,0.02352540963040414,0.025381148769362868,0.027227632869385947,0.02906490802886734,0.03089302015761179,0.031257626333255135,0.03125765572391074,0.03125768496798683,0.031257714066215164,0.03125774301932305
2,2,12475607.0,0.00029201859619415796,3424.4394467779643,92.75471978358415,98.71188450718276,101.85150868012066,104.35215386808062,104.35326828851524,104.3543771510137,104.3554804832896,104.35657831298778,104.3576706674986,104.35875757412462,104.35983906006724,104.36091515234908,104.36198587783953,104.36251772858479,104.36281884008895,104.36311844987259,104.36341656541967,104.36371319417485,104.36400834356603,104.36430202096726,0.012381211884651739,0.015252356995107498,0.017285281232648376,0.01921675062027638,0.02113858729436479,0.023050839226364517,0.024953554266850798,0.02684677991977213,0.028730563533286377,0.030604952212933762,0.03246999280357192,0.03432573194253065,0.03617221604255373,0.03800949120203512,0.03983760333077957,0.04020220950642291,0.04020223889707852,0.040202268141154615,0.04020229723938295,0.040202326192490825
3,3,12476684.0,0.0002941580243892998,3399.5333021293422,28.505112865420063,31.647878029282328,34.77496939433553,34.77608492965536,34.7771949015276,34.77829933766198,34.779398265668696,34.78049171301147,34.78157970706569,34.78266227497215,34.783739443798,34.7848112405225,34.78549640514923,34.78579781790337,34.7860977274244,34.78639614121981,34.78669306674045,34.786988511421015,34.78728248262646,34.78757498772473,0.03856708575477396,0.05294491902120934,0.05572146674256053,0.05766067713929736,0.05959021614465948,0.061510132034222134,0.06342047277028807,0.06532128612164294,0.06721261957630205,0.06909452046361382,0.07096703579632438,0.07283021239331361,0.07468409679115415,0.07652873536926968,0.07836417426181423,0.08019045926701998,0.08019054447145409,0.08019057383273452,0.08019060304758285,0.08019063211672876
4,4,12488882.0,0.0002941580243892998,3399.5333021293422,51.49033100364154,56.767117975873894,59.8942093409271,59.89532487624693,59.89643484811917,59.89753928425355,59.89863821226026,59.89973165960304,59.90081965365726,59.90190222156372,59.90297939038957,59.90405118711407,59.9047363517408,59.90503776449494,59.90533767401597,59.90563608781138,59.90593301333201,59.90622845801258,59.90652242921802,59.9068149343163,0.04502825676020283,0.05940609002663821,0.0621826377479894,0.06412184814472623,0.06605138715008835,0.067971303039651,0.06988164377571694,0.0717824571270718,0.07367379058173092,0.07555569146904267,0.07742820680175325,0.07929138339874248,0.08114526779658301,0.08298990637469855,0.0848253452672431,0.08665163027244885,0.08665171547688295,0.08665174483816339,0.08665177405301172,0.08665180312215763
5,5,12493375.0,0.0002948943026012818,3391.0455074205743,30.15025707707627,33.28988125001416,35.790526437974115,35.79164085840875,35.792749720907196,35.793853053183106,35.79495088288129,35.796043237392105,35.797130144018126,35.79821162996074,35.79928772224258,35.80035844773304,35.80089029847829,35.80119140998245,35.8014910197661,35.80178913531317,35.80208576406836,35.80238091345953,35.80267459086077,35.80296680361515,0.04599498017389117,0.06429567302944789,0.06716681813990363,0.06919974237744451,0.07113121176507252,0.07305304843916094,0.07496530037116066,0.07686801541164694,0.07876124106456828,0.08064502467808252,0.0825194133577299,0.08438445394836806,0.08624019308732679,0.08808667718734987,0.08992395234683126,0.09175206447557571,0.09211667065121906,0.09211670004187467,0.09211672928595076,0.09211675838417908
6,6,12496716.0,0.00029699539715654554,3367.0555489211924,7.797440204500667,10.926095384804421,11.239105647127571,11.240216174059148,11.241321162531008,11.242420640099336,11.243514634281551,11.244603172437957,11.245686281730071,11.246763989279163,11.247836321988215,11.248598201065365,11.248899764557065,11.249199824067473,11.249498387093885,11.24979546111202,11.250091053538654,11.250385171763536,11.250677823137876,11.250969014987835,0.022900421469238163,0.05802996001483109,0.07076171927683933,0.07344515134468675,0.07538339243694461,0.077311966964951,0.07923092316670875,0.08114030903441803,0.08304017229610647,0.08493056039686091,0.08681152062095748,0.0886830999338123,0.09054534524746535,0.09239830297704381,0.09424201952098056,0.09607654095909021,0.09771981710567244,0.09771987444040188,0.09771990378700633,0.09771993298725158
7,7,12504761.0,0.00029938076983653336,3340.22789956087,3.1675936006208887,4.104861405353396,4.105973043336333,4.107079137270126,4.10817971481752,4.109274803497087,4.1103644306737515,4.111448623550141,4.112527409290085,4.113600814839939,4.114516237921066,4.114818103105682,4.115118462811671,4.115417324533042,4.115714695760502,4.116010583909053,4.11630499638433,4.116597940553462,4.116889423718429,4.11717945318672,0.004283664796563965,0.03536281282229079,0.06338264840776003,0.0728247285355934,0.07532206884420317,0.07725837271409772,0.07918501972436828,0.08110205803815718,0.0830095355686116,0.08490749996042747,0.08679599871173166,0.08867507901690602,0.09054478781802852,0.09240517185803672,0.09425627766385516,0.09609815152915026,0.09793083942419614,0.09920834444001554,0.09920837390423609,0.09920840322151073
8,8,12520985.0,0.00029938076983653336,3340.22789956087,3.1675936006208887,4.104861405353396,4.105973043336333,4.107079137270126,4.10817971481752,4.109274803497087,4.1103644306737515,4.111448623550141,4.112527409290085,4.113600814839939,4.114516237921066,4.114818103105682,4.115118462811671,4.115417324533042,4.115714695760502,4.116010583909053,4.11630499638433,4.116597940553462,4.116889423718429,4.11717945318672,0.004283664796563965,0.03536281282229079,0.06338264840776003,0.0728247285355934,0.07532206884420317,0.07725837271409772,0.07918501972436828,0.08110205803815718,0.0830095355686116,0.08490749996042747,0.08679599871173166,0.08867507901690602,0.09054478781802852,0.09240517185803672,0.09425627766385516,0.09609815152915026,0.09793083942419614,0.09920834444001554,0.09920837390423609,0.09920840322151073
9,9,12521584.0,0.0003899049657246743,2564.72753082641,115651.6055952457,221165.647288884,284221.3143272514,284221.31460244785,284221.3148762718,284221.3151487301,284221.3154198296,284221.3156895771,284221.3159579792,284221.31622504274,284221.3164907744,284221.3167551808,284221.31701826846,284221.317280044,284221.3175405141,284221.3177996851,284221.31805756356,284221.3183141559,284221.31856946857,284221.3188235079,45.89228756120731,66.48822395793049,66.48822406576876,66.48822417306924,66.48822427983457,66.48822438606742,66.48822449177045,66.48822459694632,66.48822470159764,66.48822480572706,66.48822490933713,66.48822501243049,66.48822511500968,66.48822521707729,66.48822531863586,66.48822552141705,66.48822587539965,66.48822622761682,66.4882265780774,66.48822692679016
10,10,12570636.0,0.0003964310787403931,2522.5065682977397,0.00028739232739866566,0.0005631396772650969,0.0008375117944932724,0.0011105155463438897,0.0013821577597809235,0.0016524452130448645,0.0019213846721384366,0.0021889828557419663,0.002455246452147916,0.002720182122656242,0.0029837964868246114,0.0032460961382619695,0.0035070876244408587,0.003766777473708224,0.004025172180756886,0.004282278204360919,0.004538101970734551,0.004792649876591578,0.005045928276116464,0.005297943510599792,1.2775280164552e-07,2.3700206776949e-07,3.457064804352e-07,4.5386874160072e-07,5.6149157210481e-07,6.685776684154e-07,71.53850017519406,309.2266959305118,545.7294822083165,663.5381883799482,663.5381884843904,663.5381885883118,663.5381886917148,663.5381887946022,663.5381888969765,663.5381889988402,663.5381891001958,663.538189404301,663.5381897575763,663.5381901090899
11,11,12571181.0,0.0003693356095345408,2707.5645407174816,200451.81780550396,200451.8180912157,200451.8183755025,200451.81865837149,200451.81893982974,200451.8192198843,200451.81949854214,200451.81977581023,200451.82005169548,200451.82032620482,200451.8205993451,200451.82087112317,200451.82114154578,200451.82141061974,200451.82167835176,200451.82194474852,200451.82220981666,200451.82247356288,200451.8227359937,200451.8229971157,282.64430494643074,519.0288686114217,613.252271626968,613.252271731358,613.2522718352274,613.2522719385788,613.2522720414147,613.2522721437379,613.2522722455506,613.2522723468555,613.2522726762601,613.2522730293589,613.2522733806967,613.2522737302822,613.2522740781243,613.2522744242317,613.2522747686128,613.2522751112765,613.2522754522312,613.2526535929902
12,12,12571850.0,0.00036184167944151456,2763.6396159321735,694115.2661120325,1341091.113062206,1534553.9473239987,1534553.9476097103,1534553.9478939972,1534553.9481768662,1534553.9484583244,1534553.948738379,1534553.9490170367,1534553.949294305,1534553.9495701902,1534553.9498446994,1534553.9501178397,1534553.9503896178,1534553.9506600404,1534553.9509291144,1534553.9511968463,1534553.9514632432,1534553.9517283114,1534553.9519920575,125.51642828590701,125.51642839029705,125.51642849416648,125.51642859751786,125.51642870035381,125.5164288026769,125.51642890448967,125.51642900579466,125.51642933519919,125.51642968829798,125.51643003963576,125.51643038922134,125.51643073706343,125.51643108317074,125.51643142755192,125.51643177021558,125.51643211117027,125.51681025192936,125.51775179416809,125.52185824880449
