,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10,USDT-slippagemap_11,USDT-slippagemap_12,USDT-slippagemap_13,USDT-slippagemap_14,USDT-slippagemap_15,USDT-slippagemap_16,USDT-slippagemap_17,USDT-slippagemap_18,USDT-slippagemap_19,USDT-slippagemap_20
10,10,12457751.0,0.9985011993203059,1.0015010504551365,196274.64373679584,216189.92591342048,217295.64859979745,217442.4709161292,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,217443.13497257928,276457.58793543174,276751.35008970875,276765.12562258117,276792.55302443216,276819.8163627271,276833.38681489736,276860.4058959974,276887.26335629984,276887.4297666225,276887.76109338645,276888.09043823974,276888.25437115686,276888.5807653524,276888.90520714544,276889.0666995407,276889.38823460124,276889.7078463252,276889.86693453224,276890.183682795,276890.4985363541
11,11,12459310.0,0.9985011993203059,1.0015010504551365,196106.01620978172,215752.80610911828,216591.64257808065,216605.62103142554,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,216606.2850878756,275954.3517595775,275982.0271096543,275995.8026425267,276023.2300443777,276050.49338267266,276064.0638348429,276091.08291594294,276117.94037624536,276118.106786568,276118.43811333197,276118.76745818526,276118.9313911024,276119.25778529793,276119.58222709096,276119.7437194863,276120.06525454676,276120.3848662707,276120.54395447776,276120.8607027405,276121.1755562996
12,12,12470700.0,0.9985011993203059,1.0015010504551365,188230.86560509738,201598.7614100955,202437.59787905787,202451.57633240276,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,202452.24038885286,264953.91170006973,264981.5870501465,264995.3625830189,265022.7899848699,265050.0533231648,265063.6237753351,265090.64285643515,265117.50031673757,265117.6667270602,265117.9980538242,265118.3273986775,265118.4913315946,265118.81772579014,265119.14216758317,265119.3036599785,265119.62519503897,265119.9448067629,265120.10389497,265120.4206432327,265120.73549679184
13,13,12473519.0,0.9985011993203059,1.0015010504551365,188973.8276121747,203524.6830724016,205539.40300038547,206138.6829452499,207304.69546101685,208463.07321188092,209039.66106278004,210187.6607428077,211328.7932704426,211896.79731987184,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,212463.09988484508,267171.13783074304,268371.1744767834,268968.4982403407,270157.78355147527,271339.95486842666,271928.386084742,273099.96611435094,274264.5380707342,274831.0071107869,275958.85994443274,275959.18928928603,275959.35322220315,275959.6796163987,275960.0040581917,275960.165550587,275960.48708564753,275960.8066973715,275960.96578557853,275961.28253384127,275961.5973874004
14,14,12479470.0,0.9985011993203059,1.0015010504551365,352407.5735125603,496484.61485086824,497721.3743813907,498320.65432625514,499486.6668420221,500645.0445928862,501221.6324437853,502369.6321238129,503510.7646514478,504078.7687008771,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,493906.05360303575,495106.0902490761,495703.4140126334,496892.69932376797,498074.8706407193,498663.3018570347,499834.88188664365,500999.4538430269,501565.9228830796,502693.77571672545,502694.1050615787,502694.2689944958,502694.5953886914,502694.9198304844,502695.0813228797,502695.4028579402,502695.7224696641,502695.8815578712,502696.1983061339,502696.5131596931
15,15,12481412.0,0.9985011993203059,1.0015010504551365,357623.7671882281,512086.3702287749,513323.1297592974,513922.40970416187,515088.42221992876,516246.7999707929,516823.387821692,517971.38750171964,519112.52002935455,519680.52407878375,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,520246.82664375706,493906.05360303575,495106.0902490761,495703.4140126334,496892.69932376797,498074.8706407193,498663.3018570347,499834.88188664365,500999.4538430269,501565.9228830796,502693.77571672545,502694.1050615787,502694.2689944958,502694.5953886914,502694.9198304844,502695.0813228797,502695.4028579402,502695.7224696641,502695.8815578712,502696.1983061339,502696.5131596931
16,16,12481991.0,0.9985011993203059,1.0015010504551365,362482.5428763827,506559.58421469067,507796.3437452131,508395.62369007757,509561.6362058445,510720.0139567086,511296.6018076077,512444.60148763534,513585.73401527025,514153.7380646995,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,514720.04062967276,507979.3205348684,509179.3571809087,509776.68094446603,510965.96625560056,512148.13757255196,512736.5687888673,513908.1488184763,515072.72077485954,515639.1898149123,516767.04264855804,516767.37199341133,516767.53592632845,516767.862320524,516768.186762317,516768.34825471236,516768.66978977283,516768.9894014968,516769.14848970383,516769.46523796656,516769.78009152575
17,17,12485629.0,0.9985011993203059,1.0015010504551365,352407.5735125603,496484.61485086824,497721.37438139075,498320.65432625514,499486.6668420221,500645.0445928862,501221.6324437853,502369.632123813,503510.7646514479,504078.7687008771,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,493906.05360303575,495106.0902490761,495703.4140126334,496892.69932376797,498074.8706407193,498663.3018570347,499834.88188664365,500999.4538430269,501565.9228830796,502693.77571672545,502694.1050615787,502694.2689944958,502694.5953886914,502694.9198304844,502695.0813228797,502695.4028579402,502695.7224696641,502695.8815578712,502696.1983061339,502696.5131596931
18,18,12494546.0,0.9985011993203059,1.0015010504551365,2020325.1886077025,3494240.6786271785,3495477.438157701,3496076.7181025655,3497242.7306183325,3498401.1083691963,3498977.6962200957,3500125.695900123,3501266.828427758,3501834.8324771873,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,3502401.1350421607,2823744.3856011075,2824944.4222471477,2825541.746010705,2826731.0313218394,2827913.202638791,2828501.6338551063,2829673.213884715,2830837.7858410985,2831404.254881151,2832532.107714797,2832532.43705965,2832532.6009925674,2832532.927386763,2832533.251828556,2832533.413320951,2832533.734856012,2832534.054467736,2832534.2135559428,2832534.5303042056,2832534.845157765
19,19,12495990.0,0.9985011993203059,1.0015010504551365,352407.57351256016,496484.6148508682,497721.3743813907,498320.65432625514,499486.66684202204,500645.0445928862,501221.63244378526,502369.6321238129,503510.7646514478,504078.76870087703,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,504645.07126585033,493906.0536030356,495106.0902490759,495703.4140126332,496892.6993237678,498074.8706407192,498663.3018570345,499834.8818866435,500999.4538430267,501565.92288307945,502693.7757167253,502694.10506157856,502694.2689944957,502694.59538869123,502694.91983048426,502695.08132287953,502695.40285794006,502695.722469664,502695.88155787106,502696.1983061338,502696.5131596929
20,20,12497947.0,0.9985011993203059,1.0015010504551365,351664.6115054828,494558.6931885621,494619.5692600631,494633.547713408,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,494634.2117698581,491688.82747236226,491716.502822439,491730.2783553114,491757.7057571624,491784.96909545735,491798.5395476276,491825.5586287277,491852.4160890301,491852.58249935275,491852.9138261167,491853.24317097,491853.4071038871,491853.73349808267,491854.0579398757,491854.219432271,491854.5409673315,491854.86057905544,491855.0196672625,491855.33641552523,491855.65126908437
21,21,12507550.0,0.9985011993203059,1.0015010504551365,401664.6090082421,584423.9205512139,584484.7966227148,584498.7750760597,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,584499.4391325099,561531.552153396,561559.2275034727,561573.0030363451,561600.430438196,561627.693776491,561641.2642286613,561668.2833097613,561695.1407700637,561695.3071803864,561695.6385071503,561695.9678520036,561696.1317849208,561696.4581791164,561696.7826209094,561696.9441133047,561697.2656483651,561697.5852600891,561697.7443482962,561698.0610965589,561698.3759501181
22,22,12509143.0,0.9985011993203059,1.0015010504551365,401768.99047254433,584694.5003673121,584920.5806297841,585016.7902418709,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,585181.1783884456,561843.0584054039,562035.4431048124,562131.2034743651,562240.3701411507,562267.6334794457,562281.2039316159,562308.2230127159,562335.0804730185,562335.246883341,562335.578210105,562335.9075549582,562336.0714878754,562336.397882071,562336.722323864,562336.8838162593,562337.2053513197,562337.5249630437,562337.6840512508,562338.0007995135,562338.3156530727
23,23,12512106.0,0.9985011993203059,1.0015010504551365,402433.36899756966,586416.7162829695,586642.7965454415,586739.0061575283,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,586903.3943041029,563825.767362675,565066.5120874813,565684.0984845973,566832.2327388312,567892.2488317633,568419.8767228598,569470.3959392674,570514.6312353215,571021.2021485314,571021.5334752954,571021.8628201487,571022.0267530658,571022.3531472613,571022.6775890543,571022.8390814497,571023.1606165102,571023.4802282341,571023.6393164411,571023.9560647039,571024.270918263
24,24,12514255.0,0.9985011993203059,1.0015010504551365,352433.37149481045,496551.48892031773,496777.5691827898,496873.77879487653,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,497038.1669414512,493983.0426816414,495223.7874064477,495841.37380356365,496989.5080577976,498049.5241507296,498577.1520418261,499627.6712582337,500671.90655428794,501178.4774674978,501178.8087942618,501179.138139115,501179.3020720321,501179.62846622773,501179.95290802076,501180.11440041603,501180.4359354765,501180.75554720045,501180.9146354075,501181.23138367024,501181.5462372294
25,25,12515573.0,0.9985011993203059,1.0015010504551365,179416.3008385797,323534.41826408694,323760.49852655904,323856.70813864574,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,324021.0962852204,252303.35799175268,253544.10271655893,254161.68911367492,255309.82336790886,256369.83946084086,256897.46735193738,257947.98656834496,258992.2218643992,259498.79277760905,259499.124104373,259499.45344922628,259499.6173821434,259499.94377633897,259500.268218132,259500.4297105273,259500.75124558777,259501.07085731172,259501.22994551877,259501.5466937815,259501.86154734067
