,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
0,0,12425495.0,51264.591463195175,1.950664135727949e-05,0.0015529408392244558,0.0034705203426303307,0.005376629414421495,0.006325403976987661,0.008214435883677644,0.010092168097667522,0.01102681796417576,0.012887727225727641,0.014737505034304984,0.0156922949238054,0.017593303486471836,0.019482940697985035,0.02042351633424069,0.022229430129148648,0.024024541430184145,0.024918066350269562,0.026788051646266183,0.028646851176640543,0.02957207721257504,0.03141422343063875,167.04370561462449,264.8280300706778,305.75501197287423,387.2415696674737,468.2406969033454,508.55838479375035,588.8318261896586,668.6250932073447,708.342559047581,787.42094445053,866.0263035968967,905.1524819776926,983.0536013254555,1060.4887374625519,1099.0324323729785,1175.7738137378662,1252.0561477136964,1290.0260302523434,1365.624937138586,1440.7716310637406
1,1,12426196.0,51259.46551664351,1.9508592021415215e-05,0.00156048083922405,0.003478060342629925,0.00538416941442109,0.006332943976987256,0.008221975883677238,0.010099708097667116,0.011034357964175354,0.012895267225727236,0.014745045034304578,0.015699834923804994,0.01760084348647143,0.01949048069798463,0.020431056334240284,0.022236970129148242,0.02403208143018374,0.024925606350269157,0.026795591646265778,0.028654391176640138,0.029579617212574634,0.03142176343063834,166.65716636342177,264.4414908194751,305.36847272167154,386.855030416271,467.8541576521427,508.1718455425476,588.4452869384559,668.238553956142,707.9560197963783,787.0344051993272,865.639764345694,904.7659427264898,982.6670620742527,1060.102198211349,1098.6458931217758,1175.3872744866635,1251.6696084624937,1289.6394910011406,1365.2383978873834,1440.385091812538
2,2,12426829.0,50078.98499400632,1.996845583271475e-05,0.0014792938848236475,0.0034200218320677277,0.005349140839020131,0.006309368695200036,0.008221204394070838,0.010121603976783336,0.011067536633485007,0.012950910231038512,0.014823017963971435,0.01575486819855191,0.01761020341062831,0.019488494923601073,0.02044042490312201,0.022335739261634915,0.024219716334036367,0.025124027612595516,0.0269245320511753,0.028714266350065236,0.029650661421900072,0.03151504545979036,154.2088981699843,235.45137487071148,275.8901921345818,356.40480252452807,436.4377962408916,476.27458843858113,555.5905532875515,634.4320694342534,673.6757988281331,751.810959883659,829.4787384989567,868.1382326937883,945.1101716934346,1021.6216848013573,1059.7056429449328,1135.5316757588141,1210.9041365785467,1248.421126294977,1323.1183133081843,1397.3686801853912
3,3,12427561.0,49829.22747081428,2.0068543117304296e-05,0.0012615275733951355,0.0032080861577988506,0.005143000900832181,0.0061061136597647505,0.008023693163170625,0.00992980223496179,0.010878576797527956,0.012767608704217937,0.014645340918207817,0.015579990784716054,0.017440900046267936,0.019290677854845277,0.020245467744345692,0.02214647630701213,0.024036113518525328,0.024976689154780986,0.026782602949688945,0.02857771425072444,0.029471239170809856,0.031341224466806476,149.30386851706376,230.30299575293546,270.6206836433404,350.8941250392487,430.68739205693475,470.40485789717104,549.4832433001201,628.0886024464868,667.2147808272825,745.1159001750456,822.5510363121418,861.0947312225685,937.8361125874563,1014.1184465632865,1052.0883291019334,1127.687235988176,1202.8339299133308,1240.238542635264,1314.7119848043644,1388.7399463289253
4,4,12428103.0,48745.008809375526,2.0514920900120175e-05,0.0008324536724416527,0.002489001351230166,0.004291223177873916,0.005265962310047048,0.0072066902572911285,0.009135809264243532,0.010096037120423437,0.01200787281929424,0.013908272402006736,0.014854205058708408,0.016737578656261912,0.018609686389194836,0.01954153662377531,0.02139687183585171,0.023275163348824474,0.02422709332834541,0.026122407686858317,0.028006384759259765,0.028910696037818918,0.030711200476398703,161.49202746851577,241.52502118487934,281.36181338256887,360.6777782315392,439.5192943782411,478.76302377212085,556.8981848276468,634.5659634429444,673.225457637776,750.1973966374223,826.7089097453451,864.7928678889206,940.618900702802,1015.9913615225345,1053.508351238965,1128.205538252172,1202.4559051293788,1239.4143676545593,1312.9995127436541,1386.144490294951
5,5,12432064.0,51356.946204501444,1.947156273696721e-05,0.001260732328676422,0.0031783118320822972,0.005084420903873462,0.006033195466439628,0.00792222737312961,0.009799959587119489,0.010734609453627727,0.012595518715179608,0.014445296523756949,0.015400086413257364,0.0173010949759238,0.019190732187437002,0.020131307823692657,0.021937221618600615,0.023732332919636112,0.02462585783972153,0.02649584313571815,0.02835464266609251,0.029279868702027007,0.031122014920090715,182.03777168492755,279.8220961409809,320.7490780431773,402.23563573777676,483.23476297364846,523.5524508640534,603.8258922599617,683.6191592776478,723.3366251178841,802.4150105208331,881.0203696671997,920.1465480479956,998.0476673957585,1075.4828035328549,1114.0264984432815,1190.7678798081693,1267.0502137839994,1305.0200963226464,1380.6190032088891,1455.7656971340436
6,6,12434838.0,50845.961472911324,1.9667245362893956e-05,0.001910489569657043,0.0038338301847695173,0.005745665883640319,0.006697290903786651,0.008591998123054488,0.010475371720607992,0.011412829587032679,0.01327932968812139,0.01513466490019779,0.01605816652367014,0.01796488639269149,0.0198602007512044,0.02080360218735019,0.022648489102165,0.02444899354074478,0.025345202919549302,0.027175122911469552,0.029039506949359833,0.0299675126660057,0.031815193348149855,148.5801522170738,238.3259625354036,279.1303535012772,360.3728302020044,441.1293353562797,481.326257855821,561.3592515721846,640.9135096101104,680.5120086188444,759.3535247655464,837.7234325402219,876.732415214952,954.4001938302496,1031.6033829355079,1070.0316270247276,1146.5431401326503,1222.5969808148727,1260.453131090107,1335.8255919098397,1410.747194348203
7,7,12436042.0,50189.27452060675,1.992457570968513e-05,0.0011185553742793022,0.0030592833215233825,0.004988402328475785,0.005948630184655691,0.007860465883526494,0.00976086546623899,0.010706798122940663,0.012590171720494167,0.014462279453427089,0.015394129688007564,0.017249464900083965,0.019127756413056727,0.020079686392577664,0.02197500075109057,0.02385897782349202,0.02476328910205117,0.026563793540630955,0.028353527839520894,0.029289922911355726,0.031154306949246008,172.29435707219204,253.5368337729192,293.97565103678954,374.4902614267358,454.52325514309933,494.36004734078887,573.6760121897593,652.5175283364612,691.7612577303408,769.8964187858667,847.5641974011644,886.223691595996,963.1956305956423,1039.707143703565,1077.7911018471405,1153.617134661022,1228.9895954807544,1266.506585197185,1341.203772210392,1415.4541390875988
8,8,12437031.0,50164.18740998135,1.99345399901968e-05,0.0011995853742749409,0.003140313321519021,0.005069432328471424,0.00602966018465133,0.007941495883522132,0.009841895466234629,0.010787828122936301,0.012671201720489805,0.014543309453422727,0.015475159688003202,0.017330494900079603,0.019208786413052365,0.020160716392573302,0.022056030751086208,0.02394000782348766,0.02484431910204681,0.026644823540626594,0.028434557839516532,0.029370952911351365,0.031235336949241646,168.22846600090762,249.47094270163478,289.90975996550515,370.42437035545134,450.4573640718149,490.2941562695044,569.6101211184748,648.4516372651767,687.6953666590564,765.8305277145823,843.4983063298799,882.1578005247115,959.1297395243579,1035.6412526322806,1073.725210775856,1149.5512435897374,1224.92370440947,1262.4406941259003,1337.1378811391075,1411.3882480163145
9,9,12438348.0,48940.36953772821,2.0433029203612743e-05,0.0011126542539485955,0.0027642399950564113,0.004716646705434764,0.005688466157665348,0.007623380900698679,0.009546721515811154,0.010504073163037123,0.012410182234828288,0.014304889454096125,0.015247988704084435,0.017125720918074315,0.018992221019163025,0.019921280046134433,0.021771057854711773,0.023677777723733126,0.024626856306878626,0.026516493518391825,0.028361380433206632,0.02926298294955544,0.031058094250590938,148.1271542013728,228.4005955972811,268.35707041727767,347.9113284552035,426.98971385815247,466.35134361063945,544.721251385315,622.6223707330779,661.3980126753427,738.601201780601,815.3425831454888,853.5409589777433,929.5947996599658,1005.1937065462084,1042.8234107549329,1117.7450131932962,1192.218455362397,1229.287954361777,1303.0941747038155,1376.4589060156452
