,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20
0,0,12491142.0,1546.0068057191518,0.0006468276829705369,1.02859788460991e-06,2.7559177825207e-06,4.47290535143786e-06,5.32754374092538e-06,7.02914849386842e-06,8.72057470161652e-06,9.56248985774077e-06,1.123876223090024e-05,1.290500760369001e-05,1.373438891398566e-05,1.538570615218826e-05,1.702714560731371e-05,1.784417963623144e-05,1.947091312120424e-05,2.108791594314603e-05,2.189278653259196e-05,2.349530230136583e-05,2.5088232311924e-05,2.588112050439451e-05,2.745977914733351e-05,0.005098197910140256,0.007747898914455181,0.009066799667296526,0.011692761382408452,0.014303015325598648,0.01560228128678404,0.018189149495954418,0.020760543730826444,0.022040467119480097,0.024588823737510743,0.027121936759859,0.028382805520829568,0.030893223939180463,0.03338862586397543,0.03463072345413012,0.037103768600034455,0.039562020614089824,0.0407856267517806,0.04322185488266074,0.045643509996098654
1,1,12552266.0,1290.8286438223492,0.0007746961649679857,1.1957290821334e-06,3.08570965852015e-06,4.96438479076104e-06,5.8995039855659e-06,7.7613477125724e-06,9.61205440873914e-06,1.053325221001668e-05,1.236737806747917e-05,1.419053270603151e-05,1.509801635753539e-05,1.690483703030459e-05,1.870084981191213e-05,1.959482342986073e-05,2.137474536085187e-05,2.314402023585554e-05,2.402468506897533e-05,2.577810867210581e-05,2.752104391584489e-05,2.838859788313733e-05,3.011591778104813e-05,0.004568693975609337,0.006990349089047249,0.008195739133234748,0.010595698152942175,0.012981301405525704,0.01416874636805394,0.016532976550365338,0.018883064622346724,0.020052831707041856,0.022381864849966248,0.024696966192655864,0.025849318721935556,0.028143678641649527,0.030424314525672725,0.03155951154539362,0.033819714662438924,0.03606639792522633,0.03718469484570618,0.039411249633128365,0.04162448566343906
2,2,12553716.0,1213.2315128695298,0.0008242449931380405,1.56207459908225e-06,3.50961057295937e-06,5.4454970126266e-06,6.40909335264659e-06,8.32763589194776e-06,1.023470207531e-05,1.118395312849184e-05,1.307393370487858e-05,1.495260883711948e-05,1.588772803192434e-05,1.774957175893084e-05,1.960027845509758e-05,2.052147625637511e-05,2.235560211383761e-05,2.417875675238995e-05,2.508624040389382e-05,2.689306107666303e-05,2.868907385827057e-05,2.958304747621917e-05,3.136296940721031e-05,0.004032976549692526,0.006383064621673915,0.007552831706369046,0.009881864849293438,0.012196966191983055,0.013349318721262748,0.015643678640976717,0.017924314524999915,0.019059511544720808,0.02131971466176611,0.023566397924553523,0.02468469484503337,0.02691124963245556,0.02912448566276625,0.03022613426697026,0.03241954159447904,0.034599828550404076,0.03568507648712841,0.20832646036308342,0.549905127809409
3,3,12577004.0,1213.2315128695298,0.0008242449931380405,1.56207459908225e-06,3.50961057295937e-06,5.4454970126266e-06,6.40909335264659e-06,8.32763589194776e-06,1.023470207531e-05,1.118395312849184e-05,1.307393370487858e-05,1.495260883711948e-05,1.588772803192434e-05,1.774957175893084e-05,1.960027845509758e-05,2.052147625637511e-05,2.235560211383761e-05,2.417875675238995e-05,2.508624040389382e-05,2.689306107666303e-05,2.868907385827057e-05,2.958304747621917e-05,3.136296940721031e-05,0.004032976549692526,0.006383064621673915,0.007552831706369046,0.009881864849293438,0.012196966191983055,0.013349318721262748,0.015643678640976717,0.017924314524999915,0.019059511544720808,0.02131971466176611,0.023566397924553523,0.02468469484503337,0.02691124963245556,0.02912448566276625,0.03022613426697026,0.03241954159447904,0.034599828550404076,0.03568507648712841,0.039550636161121304,0.045092772893340995
4,4,12603603.0,1213.2315128695298,0.0008242449931380405,0.012575685068793925,0.028254577153726906,0.04383968314578835,0.05159724101956301,0.06704271768214409,0.07473172606356958,0.07473267531462276,0.07473456529519915,0.07473644397033138,0.0747373790895262,0.0747392409332532,0.07474109163994937,0.07474201283775064,0.07474384696360811,0.07474567011824666,0.07474657760189816,0.07474838442257094,0.07475018043535255,0.07475107440897048,0.07475285433090148,32.46800313414086,51.38769332981435,60.80505564375885,79.55524038999852,98.1932653633971,98.19441771592638,98.1967120758461,98.19899271173011,98.20012790874983,98.20238811186688,98.20463479512968,98.20575309205016,98.20797964683757,98.21019288286789,98.21129453147209,98.2134879387996,98.21566822575552,98.21675347369225,98.22061903336625,98.22616117009846
5,5,12606756.0,1533.6887052631635,0.0006520227974349015,1.33163207794864e-06,3.06414138484698e-06,4.78628735778572e-06,5.64349351206902e-06,7.3502104398583e-06,9.04671821967514e-06,9.89116286224768e-06,1.157247134829866e-05,1.324372273512381e-05,1.407559576432117e-05,1.573187413929288e-05,1.737824507074949e-05,1.819773376794487e-05,1.982935450718622e-05,2.145121538275768e-05,2.22585041037772e-05,2.38658344274034e-05,2.546355012377823e-05,2.625882047255517e-05,2.784222194862529e-05,0.004622420223120012,0.0072641842329087955,0.008579134423606942,0.011197230504902941,0.01379966585239631,0.015095039929986107,0.01767415967679595,0.020237851685092366,0.021513941089548877,0.024054664596444886,0.02658019008644184,0.027837282097814293,0.03034018084549476,0.03282810801974239,0.03406648523994502,0.03653212278983129,0.038983011317392874,2.4952216574967285,7.385649136417442,12.24682335112337
6,6,12608135.0,1533.6887052631635,0.0006520227974349015,0.006136261011949485,0.014119794518544709,0.022055573000923232,0.026005643587864037,0.029944733799570734,0.02994643030735055,0.029947274751993123,0.029948956060479176,0.029950627311866,0.029951459184895196,0.029953115463270168,0.029954761834201624,0.02995558132289882,0.02995721294363806,0.029958834804513633,0.029959642093234654,0.029961249423558278,0.029962847139254654,0.02996364240960343,0.0299652258110795,21.300460889822634,33.473908619476624,39.53329823726548,51.59768236801037,63.58990065667099,63.59119603074858,63.59377515049539,63.596338842503684,63.59761493190814,63.60015565541504,63.60268118090504,63.60393827291641,63.60644117166409,63.60892909883834,63.610167476058535,63.612633113608425,63.61508400213599,66.07132264831532,70.96175012723603,75.82292434194196
7,7,12609622.0,1570.1553717379559,0.0006368796477084502,0.006367722240650736,0.014256030960759936,0.01425773256551288,0.014258579547078055,0.014260265906876752,0.014261942179249911,0.014262776551593503,0.014264437805932997,0.0142660891231712,0.014266911073929129,0.014268547596655242,0.014270174330140216,0.014270984044241137,0.014272596203551603,0.014274198719320376,0.014274996378982158,0.014276584537523406,0.014278163196166344,0.014278948980746378,0.01428051349594917,21.079098999318514,33.3995012942624,39.53203783109882,51.742059829929204,63.87904355371055,69.92028350031016,81.94853046741515,87.93694134719365,87.93823284132523,87.94080423556011,87.94336024835322,87.94463251556678,87.94716562858913,87.94968358936147,87.95093691576845,87.95343231769326,87.95591279250361,87.95714746042931,87.95960571244336,90.41706796476039
8,8,12610576.0,1583.7162581374173,0.0006314262386723766,0.004627982248896152,0.00856707246060285,0.008568768968382667,0.008569613413025238,0.00857129472151129,0.008572965972898115,0.008573797845927312,0.008575454124302283,0.00857710049523374,0.008577919983930935,0.008579551604670176,0.008581173465545749,0.008581980754266768,0.008583588084590393,0.00858518580028677,0.008585981070635545,0.008587564472111616,0.00858913840205099,0.008589921833011488,0.00859148166183275,23.864122780314826,36.221540287990365,42.37250129474536,54.61920620675066,66.79265393640465,72.85204355419351,84.9164276849384,96.90864597359902,96.90994134767661,96.91252046742342,96.91508415943171,96.91636024883617,96.91890097234307,96.92142649783307,96.92268358984444,96.92518648859212,96.92767441576636,96.92891279298657,96.93137843053645,96.93382931906402
9,9,12611705.0,1591.3359879186673,0.0006284028059391249,0.005426277752074896,0.005427979356827838,0.005429670783035586,0.00543051269819171,0.00543218897056487,0.00543385521593766,0.0054346845972479555,0.005436335914486158,0.0054379773539412835,0.005438794387970201,0.005440421121455174,0.005442038124277116,0.005442842994866562,0.005444445510635336,0.005446038440645894,0.005446831328838365,0.005448409987481304,0.005449979203021837,0.00545076028726413,0.005452315443892085,22.642556133193466,35.03709900006978,41.20654028825867,53.49003783185009,65.70005983068047,71.77765393667296,83.87828350106142,95.90653046816642,101.89364597386732,101.8962328420765,101.89880423631136,101.90008415970003,101.90263251631805,101.9051656293404,101.90642649810137,101.90893691651972,101.91143231844453,101.91267441603468,101.91514746118058,101.91760571319463
