,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10,USDT-slippagemap_11,USDT-slippagemap_12,USDT-slippagemap_13,USDT-slippagemap_14,USDT-slippagemap_15,USDT-slippagemap_16,USDT-slippagemap_17,USDT-slippagemap_18,USDT-slippagemap_19,USDT-slippagemap_20
0,0,16269858.0,1216.8823881363844,0.0008217721036553642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16683792.0,1216.8823881363844,0.0008217721036553642,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.00011110834524246304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,16818954.0,1217.1257767828358,0.0008216077738845093,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,9.271793509063651e-05,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949,0.03590800140580949
3,3,16837778.0,1217.247489360514,0.0008215256213223772,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,8.450352047179433e-05,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391,0.04590700140633391
4,4,16838920.0,1217.3692141094498,0.00082144347697468,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,0.0010452601876516706,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602,1.2644299046995602
5,5,16848149.0,1217.3692141094498,0.00082144347697468,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,0.0010145259387763633,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278,1.3018459047018278
6,6,16852212.0,1218.0998182676467,0.0008209507833456349,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,0.0004534654617218409,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098,1.9850847644714098
7,7,16860392.0,1218.0998182676467,0.0008209507833456349,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,0.0004442341836781265,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539,1.9963294726613539
8,8,16861796.0,1218.4652847573398,0.0008207045473594698,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,0.00011617159184662913,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657,2.38248551320657
