,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,13804437.0,1.0002026543627869,0.9997973866976828,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,1158693.5329923448,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074,174679.8752438074
1,1,13805067.0,1.0002026543627869,0.9997973866976828,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,1166024.3354443782,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488,167347.56832626488
2,2,13805650.0,1.000302674628223,0.9996974169559872,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,901902.0057985156,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334,431544.4515689334
3,3,13806193.0,1.0002026543627869,0.9997973866976828,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,1132413.232442554,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752,200965.83417099752
4,4,13807111.0,1.0002026543627869,0.9997973866976828,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,1156911.7989797024,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407,176461.97978407
5,5,13808030.0,1.0002026543627869,0.9997973866976828,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,1074794.9211280835,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331,258598.001500331
6,6,13809034.0,1.0002026543627869,0.9997973866976828,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,1100352.8012312779,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075,233033.72942055075
7,7,13809781.0,1.0002026543627869,0.9997973866976828,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,1164645.7038706846,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014,168726.48036815014
8,8,13810316.0,1.0002026543627869,0.9997973866976828,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,1164865.3890304274,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752,168506.7504393752
9,9,13811442.0,1.0002026543627869,0.9997973866976828,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,1080496.814343204,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626,252894.64828510626
