,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,YFI-slippagemap_12,YFI-slippagemap_13,YFI-slippagemap_14,YFI-slippagemap_15,YFI-slippagemap_16,YFI-slippagemap_17,YFI-slippagemap_18,YFI-slippagemap_19,YFI-slippagemap_20,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20
0,0,12464035.0,1.598201220700333,0.6257034389961229,0.05385096185994794,0.11786917436383375,0.18150444751602446,0.2131791956631546,0.2762443497172626,0.338932263905523,0.37013545938910863,0.43226174152480545,0.4940164010014882,0.5247550653544495,0.5859564528442368,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.6467917516716394,0.17072030372728345,0.2725342013157578,0.32321253483972134,0.4241142646299336,0.5244124269749206,0.5743362981973994,0.6737358705585383,0.7725408624010864,0.8217215010932349,0.9196412792990175,1.0169753313342174,1.0654237999908953,1.1618858186251426,1.2577708253761537,1.305498027152675,1.40052397978156,1.4949815168916716,1.5419981874262565,1.635609462792819,1.7286607779432472
1,1,12464548.0,1.5119217663246867,0.6614098839458397,0.06367556877820546,0.12944573030386927,0.1948224716861527,0.2273640454901807,0.29215506730494617,0.35655852306810903,0.38861564110253527,0.45244209471862795,0.5158867568713157,0.5474666299353115,0.6103428815210911,0.6728430205972696,0.703952754503053,0.7658929456998108,0.8274626265626105,0.8581092201607126,0.9191272862322964,0.9494993128798004,0.9494993128798004,0.9494993128798004,0.15353666452926107,0.25263849880252803,0.301966895847249,0.4001808635968932,0.49780733798385596,0.54640136478038,0.6431531877741598,0.7393262654449184,0.7871968588223163,0.8825083023983321,0.9772496193985287,1.024407550337834,1.1183000665249598,1.2116309396312508,1.2580868113894097,1.3505815187712533,1.442522943651091,1.4882872149000392,1.579404921565248,1.6699775852256713
2,2,12465054.0,1.3586436408873472,0.7360281753844499,0.060722435068711354,0.13014164109241913,0.1991456006100894,0.233492636612797,0.30187837796148365,0.36985505075230896,0.4036907528135569,0.471058412329315,0.5380230950457618,0.571355073994152,0.637719809163098,0.7036875677252619,0.7365233212408143,0.8019000626230978,0.866885738129178,0.8992326582418912,0.9636361140050541,1.02765432650894,1.059519685655573,1.1229643478082607,0.15427372504501233,0.24816624123213804,0.2949016709461598,0.38795298609658807,0.48044769347843164,0.5264873604619116,0.6181533896072176,0.7092710962724261,0.754625353083612,0.844926721485459,0.9346879330816589,0.9793669856824071,1.0683240110216703,1.1567489162542273,1.2007628204031602,1.2883955114912822,1.375504006511697,1.4188626648222755,1.505190735018843,1.5910024192567864
3,3,12465562.0,1.3529495881740463,0.7391258393815024,0.05017145780337079,0.11979922226366732,0.18901049198131284,0.22346072295160954,0.2920519146584552,0.3602328139434972,0.39417017309382907,0.46174022884955224,0.5289060964470258,0.562338217387282,0.6289023352043935,0.6950682820566707,0.728002690066782,0.793575844075013,0.8587567587686459,0.8912008604706981,0.9557978086138201,1.0200083543810006,1.05196944885046,1.1156047220026508,0.16832147590016558,0.26193275126672805,0.3085281946589972,0.401300784028373,0.4935184407824798,0.5394201986788373,0.6308116553630899,0.7216564334041802,0.7668748402534178,0.856905725111126,0.9463980660029754,0.9909432969392516,1.079633861436462,1.1677939007237284,1.2116759673275805,1.2990461652092653,1.3858937451428437,1.429122523978862,1.515192013008184,1.6007466592500614
4,4,12466342.0,1.3509217864116994,0.7402353045591091,0.0594771529471931,0.12910491740748964,0.19831618712513513,0.23276641809543186,0.3013576098022775,0.3695385090873195,0.40347586823765136,0.4710459239933746,0.5382117915908482,0.5716439125311042,0.6382080303482159,0.704373977200493,0.7373083852106043,0.8028815392188353,0.8680624539124683,0.9005065556145205,0.9651035037576425,1.0293140495248227,1.0612751439942822,1.124910417146473,0.1557401256006599,0.2493514009672224,0.29594684435949153,0.3887194337288673,0.4809370904829741,0.5268388483793316,0.6182303050635842,0.7090750831046745,0.7542934899539122,0.8443243748116204,0.9338167157034697,0.978361946639746,1.0670525111369562,1.1552125504242228,1.1990946170280747,1.2864648149097595,1.3733123948433381,1.4165411736793563,1.5026106627086784,1.5881653089505556
5,5,12467215.0,1.2189530125427668,0.8203761668499221,0.06739415240740819,0.14066485667881537,0.21349727394829734,0.24974994311848006,0.32192984668219254,0.39367798222907124,0.42939094947943884,0.5004962856326529,0.5711762870432353,0.6063575825893187,0.6764043472521523,0.7460321117124489,0.7806896528827207,0.8496936124003911,0.9182848041072367,0.9524263897517853,1.0204030625426106,1.0879731182983339,1.1216064241196166,1.1885711068360636,0.14213721947964728,0.2310942448189104,0.2753730149131339,0.3635330542004004,0.45116574528852227,0.49478531868593717,0.5816328986195157,0.667960968816083,0.710931166484856,0.7964858127267334,0.8815286961876229,0.9238591832174577,1.0081401473545686,1.0919169719805544,1.1336172698353564,1.2166435167355598,1.2991731237677118,1.340252617633284,1.4220428285507432,1.5033437921347514
6,6,12468075.0,1.2391076505570668,0.8070323829817603,0.03990555826549074,0.11273797553497272,0.18513472737324455,0.22117054826886792,0.29291868381574665,0.36423764310504253,0.3997369872193283,0.4704169886299107,0.540674199179673,0.5756450488388277,0.6452728132991242,0.7144840830167697,0.7489343139870664,0.8175255056939121,0.8857064049789541,0.919643764129286,0.9872138198850091,1.0543796874824827,1.0878118084227388,1.1543759262398505,0.17648197336305826,0.26597431425490764,0.31051954519118385,0.39921010968839415,0.4873701489756607,0.5312522155795127,0.6186224134611975,0.7054699933947761,0.7486987722307943,0.8347682612601163,0.9203229075019936,0.9629081260820191,1.0476962779927181,1.1319772421298289,1.1739284846298736,1.2574543646106167,1.34048061151082,1.3818073122481482,1.4640897124085444,1.5458799233260034
7,7,12468628.0,1.205257056169741,0.8296985235481302,0.06361684411020792,0.13732847200888174,0.2105991762802889,0.24707000422905712,0.3196842627199536,0.3918641662836661,0.42779204152457484,0.4993252690809124,0.5704306052341265,0.6058236111229816,0.6762919021907923,0.7463386668536258,0.7812047664604865,0.8506239724841943,0.9196279320018647,0.9539749680045723,1.022360709353259,1.090337382144084,1.1241730842053321,1.19154074372109,0.14632672895519852,0.23475163418775558,0.2787655383366885,0.36639822942481043,0.4535067244452252,0.4968653827558039,0.5831934529523712,0.6690051371903146,0.7117182968630215,0.796761180323911,0.8812953537902712,0.9233726314908566,1.0071494561168426,1.0904251449199909,1.1318760008718478,1.214405607904,1.2964415460537269,1.3372753126870314,1.4185762762710397,1.4993909182224536
8,8,12469247.0,1.2156664426005732,0.822594064421803,0.047215822868305585,0.12070665664512606,0.1937578881704932,0.23011947749120698,0.3025162293294788,0.37447992546601094,0.4103001857719809,0.4816191450612768,0.5525114950644177,0.587798490586145,0.6580557011359072,0.7278926504019226,0.7626543152553584,0.831865584973004,0.9006628519460083,0.9349070076501463,1.0030879069351883,1.0708609681467682,1.1045953218412434,1.171761189438717,0.16644755455567364,0.25513811905288397,0.29928425419121757,0.38718022494400256,0.47455042282568727,0.5180393444486872,0.604626781595284,0.690696270624606,0.7335377571937766,0.8188361354465089,0.9036242873572079,0.9458279737937332,1.0298564939943635,1.1133823739751063,1.1549577649234528,1.237735321612638,1.3200177217730342,1.3609741660571888,1.4425193870969,1.5235768253540167
9,9,12469778.0,1.2664154050831007,0.7896303187613082,0.052778578506981755,0.12474227464351391,0.19627550219985143,0.23188149423877977,0.3027738442419206,0.3732421353097313,0.4083180503134102,0.4781549995794256,0.5475742056031334,0.582127934150507,0.6509252011235113,0.719310942472198,0.7533502561126914,0.8211233173242711,0.8884909768400292,0.92202353861622,0.9887876385048663,1.0551523736738122,1.0881857242258648,1.1539558857515286,0.16168757102152773,0.2522602346819512,0.2973431962345606,0.3871044078307604,0.47632869136778494,0.5207404857707718,0.6091653910033289,0.6970613617561139,0.7408119862403837,0.8279204812607985,0.9145079184073954,0.9576072097679444,1.043418894005888,1.1287172722586203,1.1711749371394844,1.2557091106058444,1.3397376308064748,1.3815632129324158,1.464838901735564,1.5476164584247494
