,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20
0,0,12459127.0,70.86557417825354,0.014111224125336575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12575928.0,70.86557417825354,0.014111224125336575,0.014161119858787704,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,0.021209882694042666,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942,1.5030505405114942
2,2,12577053.0,71.68519106585609,0.01394988260659465,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,0.0075547520057169856,1.9768285540103452,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246,2.4763431741278246
3,3,12578902.0,71.71386944368064,0.013944304048261325,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,0.007050978624153013,2.0129519040549506,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243,2.51246652417243
4,4,12608770.0,71.71386944368064,0.013944304048261325,0.012605736132351058,0.02366190993864066,0.034651948497825845,0.040122290885041705,0.05101386793471775,0.061840294346966786,0.06722919797092897,0.07795862848611773,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,0.08329925202735394,3.598754428599399,4.884125070706846,5.275288528950616,6.054103925590933,6.828260655601674,7.213600731922849,7.980821660672875,8.743453269176314,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006,9.123056671387006
5,5,12622335.0,79.74059960318127,0.012540663162509062,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,0.006942245404741283,1.543171850747626,2.7881011425231113,3.6145130144559516,5.259917984759026,6.077026286248199,6.483745712035423,7.293533397929379,8.09847714863702,8.49914160030388,9.802418326736852,11.601929490279367,12.497644474846211,13.783015116953658,14.564170356325963,14.952993971837746,15.727150701848487,16.496676630725293,16.879711706919686,17.642343315423126,18.02194671763382
6,6,12627881.0,79.89224317615219,0.01251685971309039,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,0.0052697854048313,1.6766748810113516,2.5074978925942335,2.921043874936567,3.7444234002130874,3.7444234002130874,3.7444234002130874,3.7444234002130874,3.7444234002130874,3.7444234002130874,4.24996800389826,5.256518880010923,5.757534222804429,6.257048842921908,6.257048842921908,6.257048842921908,6.257048842921908,6.257048842921908,6.257048842921908,6.257048842921908,6.257048842921908
7,7,12628415.0,79.89224317615219,0.01251685971309039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527e-17,5.282e-17,8.777e-17,1.2251e-16,1.3981e-16,0.505544603685173,1.5120954797978352,2.013110822591342,2.512625442708821,2.512625442708821,2.512625442708821,2.512625442708821,2.5126254427088215,2.5126254427088215,2.5126254427088215,2.5126254427088215
8,8,12994561.0,79.89224317615219,0.01251685971309039,0.11964448766655182,0.35785926062205153,0.5946490980311134,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,0.7125123292716926,38.066997365408234,47.51258996456267,47.51258996456267,47.51258996456267,47.51258996456267,47.51258996456267,47.51258996456267,47.51258996456267,47.51258996456267,48.018134568247845,49.02468544436051,49.525700787154015,50.025215407271496,50.025215407271496,50.025215407271496,50.025215407271496,50.025215407271496,50.025215407271496,50.025215407271496,50.025215407271496
9,9,13002719.0,82.32520072892086,0.012146948821816838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527e-17,5.282e-17,8.777e-17,1.2251e-16,1.3981e-16,0.505544603685173,1.5120954797978352,2.013110822591342,2.512625442708821,2.512625442708821,2.512625442708821,2.512625442708821,2.5126254427088215
10,10,14597401.0,99.75006098510256,0.010025056527527814,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,0.06381140348480203,25.349127381767186,37.91008138972618,44.16235401662498,56.61077221348128,68.98472716198826,75.14392033845063,87.40701485939394,99.59675479264534,105.66425398512204,117.74478391706023,129.75305126359538,135.73022172805736,147.63090497153334,159.46040131128132,165.34858774432922,177.07210161195198,188.72548851497405,194.52601550410364,206.07499773286622,217.55489684505682
11,11,15146844.0,99.75006098510256,0.010025056527527814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,15322601.0,200.06311053945083,0.004998422734224199,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,0.008258975525155213,6.579820911647909,9.84028801276926,11.46320068333331,14.694456731887442,17.906384332640528,19.50513609906134,22.688287565465277,25.85239811875664,27.427348754013387,30.563111468972206,33.68011700890624,35.23162078679142,38.32070044472309,41.39130206068134,42.919708154666466,45.96279968638277,48.98768822460999,50.49334041096539,53.49112858951788,56.47098455498894
13,13,15335409.0,200.06311053945083,0.004998422734224199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,15677596.0,224.1526257637369,0.004461245977345935,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,0.026628563953743568,22.088508509139928,33.20176964475487,38.73344647665809,49.7471420551599,60.69495667429619,66.14428145500032,76.99401243644482,87.7788434663736,93.14704265522583,103.8352498106576,114.4595235027563,119.74780442254142,130.27689350773514,140.74300002256913,145.952552501481,156.32489143052987,166.63518567665128,171.76718207522057,181.985104576089,192.14190641603537
