,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
10,10,12550835.0,0.9989033006416206,1.001097903428365,15386958.178580772,16644948.21399808,16645185.9942689,16645371.426142767,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,16645550.26272313,22034363.9831072,23836964.67739045,23837145.022970602,23837324.469008945,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925,23837503.02030925
11,11,12551342.0,0.999203001599911,1.000797634113201,14183488.848977454,15441478.884394763,15441716.664665584,15441902.09653945,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,15442080.933119813,24779557.070727177,26582157.765010428,26582338.11059058,26582517.556628924,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923,26582696.10792923
12,12,12551891.0,0.9995027924774801,1.0004974548608188,19201367.21800697,20319121.291440997,20319358.95283063,20319538.59586289,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,20319699.508615494,27060199.523408588,29211586.88089227,29213867.71670384,29215511.29474533,29215689.93516916,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862,29215707.75029862
13,13,12552394.0,0.9993029219000711,1.0006975643567653,15069451.844664872,16326790.35177407,16327028.13204489,16327213.563918758,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,16327392.40049912,23877223.46038373,24857654.956343357,24859934.652481,24861368.6790738,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105,24861547.230374105
14,14,12552928.0,0.9995027924774801,1.0004974548608188,15599073.072690794,16716289.765592579,16716527.426982213,16716707.070014475,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,16716867.982767073,27562716.66788505,28683496.64759039,28685777.48340196,28687421.06144345,28687599.701867282,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674,28687617.51699674
15,15,12553389.0,0.9998026733013067,1.0001973656442043,12807566.273617743,13924782.966519527,13925020.627909161,13925200.270941423,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,13925361.183694022,28659328.3578211,29780108.33752644,29782389.17333801,29784032.7513795,29784211.39180333,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279,29784229.20693279
16,16,12553899.0,1.001403557901868,0.9985984093118175,3472759.8930492,4310153.533949959,4310379.568440425,4310559.032111186,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,4310684.123813305,30233619.244568072,31652445.31797649,31654734.16192903,31656797.160249256,31656975.979454894,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775,31657029.451203775
17,17,12554520.0,0.9993029219000711,1.0006975643567653,17437513.812872518,17438176.28133256,17438414.061603382,17438599.493477248,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,17438778.33005761,25055164.81855709,25059253.729698755,25061533.4258364,25062967.452429198,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504,25063146.003729504
18,18,12555022.0,0.999402852192261,1.0005975046063047,16701214.787484208,16701665.336402131,16701902.997791765,16702082.640824027,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,16702243.553576626,25963007.876184,25967688.23632181,25969969.072133385,25971612.650174875,25971791.290598705,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816,25971809.10572816
19,19,12555535.0,1.0002026543627869,0.9997973866976828,10280577.023830188,10281027.572748113,10281265.234137746,10281444.877170008,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,10281605.789922608,33888236.95979427,33892917.31993207,33895198.15574364,33896841.73378514,33897020.374208964,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842,33897038.18933842
20,20,12556046.0,1.0020045502671724,0.9979994599159875,3015501.7411633185,3015740.3548907777,3015966.3893812434,3016145.8530520042,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,3016270.9447541237,31990092.05679138,32208183.08386677,32210471.92781931,32212534.926139537,32212713.745345175,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056,32212767.217094056
21,21,12556551.0,1.0007028557202362,0.9992976379389561,7042296.182160851,7042534.915205902,7042766.76169047,7042946.315022616,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,7043089.312753911,31598389.311275065,31610920.693970077,31613202.67007465,31615055.906976234,31615234.636764448,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075,31615270.275752075
22,22,12557060.0,1.0005027451661754,0.9994975074595204,7686133.60494711,7686372.337992161,7686604.1844767295,7686783.737808875,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,7686926.735540169,17895470.131431032,17908001.514126044,17910283.490230612,17912136.7271322,17912315.45692041,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042,17912351.095908042
23,23,12557563.0,0.999602742756728,1.0003974151193067,13835272.043254515,13835722.592172438,13835960.25356207,13836139.896594333,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,13836300.809346933,16207080.39589431,16211760.756032117,16214041.591843689,16215685.169885179,16215863.81030901,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469,16215881.625438469
24,24,12558241.0,0.9993029219000711,1.0006975643567653,13364089.946470957,13364752.414930997,13364990.19520182,13365175.627075685,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,13365354.463656047,12649841.258838084,12653930.169979751,12656209.866117395,12657643.892710194,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498,12657822.444010498
