,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
23,23,15335524.0,1067.5845994927793,0.0009366939167866514,16.973892001114642,46.72047249065256,76.28911806756633,91.00704686001588,120.31078184545851,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,134.89685097787603,61399.41179999782,92900.22360132827,108579.89781686172,139798.48906785576,170830.34020612593,186276.58530138328,217030.41511861395,247600.28380029075,262816.5768228184,293112.5645971889,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626,323227.3298907626
24,24,15336181.0,1066.1977105298677,0.0009379123497676905,20.382420658170528,50.12900114770844,79.69764672462222,94.41557551707176,123.71931050251439,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,138.3053796349319,57762.69499330728,89263.50679463774,104943.18101017117,136161.77226116523,167193.6233994354,182639.86849469275,213393.69831192342,243963.56699360022,259179.86001612782,289475.8477904984,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721,319590.6130840721
25,25,15336691.0,1069.7217983200676,0.0009348224945686239,27.02471252036491,56.68219202968913,86.16226805775374,100.83611412612962,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,130.0520721756139,50755.66707671648,82351.11844415097,98077.90017827017,129390.28233006968,160515.36383775607,176008.0167830678,206854.2409960765,237515.95236244606,252777.96037723267,283164.96804483427,313370.2088282755,328405.0064677045,328405.0064677045,328405.0064677045,328405.0064677045,328405.0064677045,328405.0064677045,328405.0064677045,328405.0064677045,328405.0064677045
26,26,15337434.0,1067.6913579527288,0.0009366002567609751,16.707169249747047,46.453749739284966,76.02239531619874,90.74032410864828,120.04405909409091,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,134.63012822650842,61684.20024997653,93185.01205130699,108864.68626684042,140083.27751783447,171115.12865610464,186561.373751362,217315.20356859267,247885.07225026947,263101.36527279706,293397.35304716765,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413,323512.1183407413
27,27,15338297.0,1081.336821232022,0.0009247812340845373,14.909621662112064,44.47826723902585,73.87004209985126,88.49993101691801,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,103.08600014933552,63890.59756875606,95580.97383480002,111355.00390201127,142761.4598516639,173980.05110265795,189519.24929561638,220458.14733618547,251211.97715341614,266519.83782030636,296998.13885762054,327294.1266319911,342374.0942861358,357408.8919255648,357408.8919255648,357408.8919255648,357408.8919255648,357408.8919255648,357408.8919255648,357408.8919255648,357408.8919255648
28,28,15339082.0,1086.4308110960299,0.0009204451767997675,18.212187726801744,47.69226375486634,76.99599874030898,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,91.58206787272648,60443.47456208708,92229.06011881687,108050.4814190401,139551.29322037054,170863.67537217008,186449.55868689803,217481.4098251682,248327.63403817688,263681.48473765625,294251.35341933306,324638.3610869347,339763.6342162312,369878.39950980485,369878.39950980485,369878.39950980485,369878.39950980485,369878.39950980485,369878.39950980485,369878.39950980485,369878.39950980485
29,29,15339713.0,1069.2940165515288,0.0009351964796595404,27.98618776274883,57.64366727207305,87.12374330013765,101.79758936851353,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,131.01354741799778,49727.32599295619,81322.77736039068,97049.55909450987,128361.94124630939,159487.02275399579,174979.67569930753,205825.8999123162,236487.61127868577,251749.61929347235,282136.626961074,312341.86774451524,327376.6653839442,327376.6653839442,327376.6653839442,327376.6653839442,327376.6653839442,327376.6653839442,327376.6653839442,327376.6653839442,327376.6653839442
30,30,15340599.0,1041.747860965219,0.0009599251771666342,18.586216484986668,48.69188975982513,78.61747941750814,93.51307873902054,123.17055824834476,152.65063427640936,167.32448034478523,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,196.5404383942695,59200.42876191755,90325.51026960394,105818.1632149157,136664.38742792438,167326.0987942939,182588.10680908052,212975.11447668215,243180.35526012338,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237,258215.15289955237
31,31,15341525.0,1025.828632513636,0.0009748216888328152,27.354459344885985,57.641299455459404,87.74697273029786,102.73221052073075,132.56816170949327,162.2256412188175,176.98778845443255,206.37956331525797,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,235.59552136474224,49950.99644752712,80889.89448809622,96289.87360584755,126951.5849722171,157429.8860095313,172600.60065460534,202805.84143804657,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553,217840.63907747553
32,32,15342105.0,1029.2192889772314,0.0009716102396348717,18.914855287979154,49.20169539855257,79.30736867339104,94.29260646382392,124.12855765258645,153.78603716191066,168.54818439752574,197.93995925835114,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,227.1559173078354,58623.16380199391,89562.06184256302,104962.04096031435,135623.7523266839,166102.0533639981,181272.76800907214,211478.00879251337,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233,226512.80643194233
33,33,15342746.0,1020.5084341334153,0.000979903709320315,25.25127899206141,55.62911151716907,85.82523272229874,100.85549109193305,130.78108074961605,160.52766123915396,175.33415958045268,204.81423560851727,234.1179705939599,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,248.7040397263774,52030.78051132331,82877.004724332,98230.85542381133,128800.72410548815,159187.7317730898,174313.0049023863,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998,204427.77019595998
34,34,15343294.0,1024.8033678612612,0.0009757969493084071,29.844854016633956,60.131694127207375,90.23736740204583,105.22260519247872,135.05855638124126,164.71603589056548,179.47818312618054,208.86995798700596,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,238.0859160364902,47397.46779924,78336.3658398091,93736.34495756043,124398.05632392998,154876.35736124418,170047.07200631822,200252.31278975945,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884,215287.1104291884
35,35,15344062.0,1037.7969281632734,0.0009635796492188818,28.18404102282742,58.28971429766588,88.21530395534889,103.1109032768613,132.76838278618553,162.2484588142501,176.922304882626,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,206.13826293211025,49220.60325317237,80345.68476085876,95838.33770617051,126684.56191917919,157346.27328554873,172608.28130033534,202995.28896793697,233200.52975137823,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072,248235.3273908072
36,36,15344611.0,1004.7128184486701,0.0009953092880252618,19.290276550220362,49.94273049983131,80.4118290373687,95.57796284801663,125.77408405314628,155.78958021321347,170.72993208046358,200.47651257000152,230.0451581469153,244.76308693936483,274.06682192480747,288.65289105722496,288.65289105722496,288.65289105722496,288.65289105722496,288.65289105722496,288.65289105722496,288.65289105722496,288.65289105722496,288.65289105722496,57776.1273894458,88345.99607112262,103562.28909365021,133858.27686802077,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444,163973.04216159444
37,37,15345166.0,999.4021916295441,0.0010005981659590732,17.622532649552014,48.36707843100824,78.92771661856666,94.1394153330264,124.42625544359983,154.53192871843828,169.51716650887118,199.3531176976337,229.01059720695793,243.77274444257299,273.1645193033984,302.3804773528827,302.3804773528827,302.3804773528827,302.3804773528827,302.3804773528827,302.3804773528827,302.3804773528827,302.3804773528827,302.3804773528827,59327.250205051845,89805.55124236604,104976.26588744008,135181.50667088132,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028,150216.30431031028
38,38,15345790.0,1013.1875263397152,0.0009869841209086366,28.553660152316716,59.022758689854115,89.30959880042754,104.38501370563169,134.4005098656989,164.23646105446142,179.0874422224869,208.6560877994007,238.04786266022612,252.67775157729287,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,267.2638207097104,48603.738124016985,79357.56794124765,94665.42860813787,125143.72964545205,155439.7174198226,170519.68507396732,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628,185554.48271339628
39,39,15346591.0,1000.0019828748399,0.000999998017129092,16.095657530097515,46.840203311553736,77.40084149911216,92.6125402135719,122.89938032414533,153.00505359898378,167.99029138941668,197.8262425781792,227.48372208750342,242.24586932311848,271.6376441839439,300.85360223342815,300.85360223342815,300.85360223342815,300.85360223342815,300.85360223342815,300.85360223342815,300.85360223342815,300.85360223342815,300.85360223342815,60853.746901318475,91332.04793863268,106502.7625837067,136708.00336714796,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692,151742.80100657692
