,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20
0,0,12413646.0,0.994913236605591,1.005112770850013,142.5648842389671,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,227.54295273705117,169.3364285748218,309.97875513691145,449.91966064633135,589.1626421990097,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687,672.3748761350687
1,1,12428743.0,1.0062189478758485,0.9938194884036154,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,66.99905194365452,160.27845005275296,301.76712383579064,442.5501556515583,582.6310638004654,722.0133512136697,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388
2,2,12484666.0,1.0062189478758485,0.9938194884036154,66.99905194365452,68075.64771529425,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,90699.89629590423,160.27845005275296,301.76712383579064,442.5501556515583,582.6310638004654,722.0133512136697,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388,833.0185157782388
3,3,12485509.0,1.0281885967632092,0.9725842157246751,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,12761.346171483985,91387.52430660334,91444.63136142494,91586.90032497834,91728.459757167,91869.31319516579,92009.46415788116,92148.91615041271,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181,92273.82820445181
4,4,12487596.0,1.0277774241228035,0.9729733077699082,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,17336.977948819112,86683.52609694007,86740.63315176166,86882.90211531507,87024.46154750373,87165.31498550251,87305.46594821788,87444.91794074944,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854,87569.82999478854
5,5,12488101.0,1.0278802018652158,0.9728760201678914,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,16920.437218277857,87111.67391325398,87168.78096807557,87311.04993162898,87452.60936381764,87593.46280181642,87733.6137645318,87873.06575706335,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245,87997.97781110245
6,6,12495362.0,1.0278802018652158,0.9728760201678914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.3540868e-13,-1.33807303e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12,-1.82785193e-12
7,7,12565932.0,1.0278802018652158,0.9728760201678914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343,39968.63851361343
8,8,12566766.0,1.0027035129267554,0.9973037763487392,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,21629.00207602146,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686,24917.985609195686
9,9,12568551.0,1.00430904235335,0.9957094458263037,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,11231.407413381661,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165,35352.298111872165
