,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20
20,20,13678537.0,0.9997000599900016,1.0003000300009999,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,6532376.3761043325,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313,4464947.709096313
21,21,13679430.0,0.9997000599900016,1.0003000300009999,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,6608436.491045624,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944,4388903.891144944
22,22,13680335.0,0.9997000599900016,1.0003000300009999,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,6681279.585679139,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144,4316077.48848144
23,23,13680868.0,0.9997000599900016,1.0003000300009999,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,6591313.37999891,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439,4406023.232431439
24,24,13681498.0,0.9997000599900016,1.0003000300009999,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,6507961.734916546,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388,4489357.36431388
25,25,13685017.0,0.9998000299960005,1.00020001,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,6494440.473568712,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725,4503016.1245794725
26,26,13686296.0,0.9997000599900016,1.0003000300009999,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,6573324.312652474,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466,4424008.402513466
27,27,13687578.0,0.9997000599900016,1.0003000300009999,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,6565328.96780846,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093,4432002.035964093
28,28,13688692.0,0.9998000299960005,1.00020001,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,6453363.201978513,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757,4544085.3872757
29,29,13689201.0,0.9997000599900016,1.0003000300009999,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,6567657.130940498,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448,4429674.369853448
30,30,13690267.0,0.9998000299960005,1.00020001,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,6408227.74324736,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992,4589212.434778992
31,31,13698377.0,0.9998000299960005,1.00020001,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,6434849.460418102,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145,4562595.6294458145
32,32,13699567.0,0.9998000299960005,1.00020001,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,6453642.423514163,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774,4543806.219041774
33,33,13700287.0,0.9999000099990001,1.0001,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5685340.194854901,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958,5312020.760624958
34,34,13700893.0,0.9999000099990001,1.0001,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5719457.873078725,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562,5277904.472513562
35,35,13703495.0,0.9999000099990001,1.0001,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5666248.4500420075,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246,5331111.829101246
