,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,YFI-slippagemap_12,YFI-slippagemap_13,YFI-slippagemap_14,YFI-slippagemap_15,YFI-slippagemap_16,YFI-slippagemap_17,YFI-slippagemap_18,YFI-slippagemap_19,YFI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,15213709.0,6423.152167788713,0.00015568679892325642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16457992.0,6423.152167788713,0.00015568679892325642,6.2229479080879e-07,1.81997264550956e-06,3.01048630108501e-06,3.60306995623404e-06,4.78291758663109e-06,5.95570767903571e-06,6.53946935201704e-06,7.70175221440874e-06,8.85708260396591e-06,9.43215363398585e-06,1.057713320917661e-05,1.171526382443852e-05,1.228177357954635e-05,1.340970748588882e-05,1.453089438355972e-05,1.508897033860272e-05,1.620011232113336e-05,1.730460775627671e-05,1.785437544127499e-05,1.894897550325896e-05,0.015257075530560296,0.022883308227833216,0.02667930073867689,0.03423720870772907,0.041749907277790405,0.045489387615517504,0.05293477849357351,0.06033563310128649,0.06401944259044703,0.07135399167501938,0.07864466733776103,0.08227363477082389,0.0894989920780985,0.09668112914008158,0.10025607093222208,0.10737386197783633,0.11444907622425475,0.11797079676631815,0.12498262289145687,0.1319525061554793
2,2,16793216.0,6423.152167788713,0.00015568679892325642,6.2229479080879e-07,1.81997264550956e-06,3.01048630108501e-06,3.60306995623404e-06,4.78291758663109e-06,5.95570767903571e-06,6.53946935201704e-06,7.70175221440874e-06,8.85708260396591e-06,9.43215363398585e-06,1.057713320917661e-05,1.171526382443852e-05,1.228177357954635e-05,1.340970748588882e-05,29.95508415968903,29.955084717764983,29.955085828906967,29.955086933402402,29.955087483170086,29.955088577770148,0.015257075530560296,0.022883308227833216,0.02667930073867689,0.03423720870772907,0.041749907277790405,0.045489387615517504,0.05293477849357351,0.06033563310128649,0.06401944259044703,0.07135399167501938,0.07864466733776103,0.08227363477082389,0.0894989920780985,0.09668112914008158,0.10025607093222208,0.10737386197783633,0.11444907622425475,0.11797079676631815,0.12498262289145687,0.1319525061554793
3,3,16793312.0,7419.426622166517,0.00013478130466475238,5.615553586605e-07,1.67603561453456e-06,2.78384934431415e-06,3.33526873137749e-06,4.43315735562022e-06,5.52447869818076e-06,6.06768892380695e-06,7.14923292937959e-06,8.22430743305389e-06,8.75943070772144e-06,9.82487341883652e-06,1.088394293525593e-05,1.141109966651389e-05,1.246068079122911e-05,1.350398359302335e-05,1.402329237373706e-05,1.505724804830333e-05,1.608501887124278e-05,1.659659653132309e-05,1.76151593709412e-05,0.016525960456032045,0.024721502716545635,0.028800871615536225,0.03692298858001493,0.04499652116191597,0.049015159212099674,0.05701635960680061,0.06496969890966495,0.06892851025534585,0.07681059412442405,0.08464552953088124,0.08854540477037415,0.09631014560201064,0.10402843979091987,0.10787025630776183,0.11551940096669827,0.1231227904106173,0.12690741250187212,0.13444268183278474,0.1419328772874579
