,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12417690.0,1.3099467675113572,0.7633897993426134,0.21305415005690975,0.4058301665663392,0.5976447531513769,0.7960535816316772,1.0047709271502856,1.2124473167413379,1.4190879839585389,1.6246980773743311,1.8292827341472946,2.0328470771395497,2.2353961846280894,2.4369351306683265,2.63746894152952,2.837270083150299,3.036141462212801,3.2340209993697377,3.430683205839803,3.626266058160039,3.8208734955326995,4.0145103641647415,0.2793926377727665,0.5319189706829012,0.7831858832330046,1.0331996533961227,1.2819665217242568,1.529492748927081,1.7757844738481225,2.020847890954958,2.2646890874754657,2.5073142026617408,2.7487292837564556,2.98894034406909,3.227953422841297,3.4463210232525165,3.488955492144234,3.5313773313462593,3.573587599044196,3.6155873563286716,3.657377643887376,3.6989595160683097
1,1,12422095.0,1.3444502601473582,0.7437984354217725,0.21031711160376534,0.41945226603735103,0.6275444293325924,0.8345987628580666,1.0406204644795032,1.2456146762757876,1.4495865412547069,1.6525411301075494,1.8544835248942322,2.0554187875848045,2.2554857890125546,2.454755292576788,2.6530309694952434,2.8502189312766233,3.046193319895438,3.2411903359759417,3.435214851312201,3.628271716049167,3.8203657567430507,4.011501762978365,0.2830286512774448,0.5388590717874288,0.7934135999470973,1.0466986036203076,1.2987204196525821,1.5494853119290548,1.798999567319889,2.047269454720382,2.2943011226326164,2.5401007963208917,2.7846745956855523,3.0280286329402473,3.270169010870217,3.5111017592983993,3.750832893772204,3.9893684552601756,4.129544298488607,4.1720935863707584,4.2144306671488225,4.256556606303048
2,2,12423193.0,1.3202037898420143,0.7574588163541537,0.19596660512173908,0.3880691324117953,0.5811027131398048,0.7901333335356601,0.9981214788541983,1.2050723172821423,1.410991038166709,1.6158827895603556,1.8197526915604525,2.0226058346327322,2.2244472917432274,2.425282115954983,2.625282605308797,2.824452489072295,3.022629071872488,3.2196854916141215,3.415561921157098,3.6104614739417253,3.8043890120779627,3.9973493643335187,0.3019404957903517,0.5553521599889247,0.8075000065246496,1.0583903166223003,1.3080293552552305,1.5564233891133878,1.8035786047994298,2.049501206064705,2.294197311338424,2.537673051861684,2.779934509048027,3.020987752829197,3.260838798475418,3.4994936244690837,3.6592027630855557,3.7017733319025496,3.7441315883757302,3.786278590439618,3.828215398852884,3.869943053853737
3,3,12426987.0,1.2776056634829263,0.7827141257920417,0.2151239113872869,0.4103246282872901,0.6045518289716829,0.7978103674032215,0.9901050708911595,1.181440752590544,1.3887904207198398,1.5969866420413221,1.804144538286554,2.010269270958533,2.2153660055323603,2.419439865063679,2.6224959573743085,2.824539345051719,3.0255750990673924,3.225708646404207,3.425077791955158,3.6234526354020646,3.8207721870960505,4.016844589512761,0.27670149025486523,0.526091052909187,0.774236826889881,1.0211450221049585,1.2668218254141197,1.5112733781920886,1.754505773622713,1.9965251154100048,2.237337434124316,2.4769487459156228,2.7153650714264166,2.836017391478644,2.8785454117927864,2.920861334447138,2.962966213418721,3.0048611053782723,3.046547054043789,3.0880251089942106,3.129296294347284,3.1703616548976714
4,4,12435831.0,1.2495567154045515,0.8002838027854093,0.036341202656346126,0.07191723063249625,0.10731583233810978,0.14253789188135946,0.1775842893308797,0.21245590299369285,0.24715359857583638,0.28167824982640255,0.3273513588688693,0.3803249321794498,0.4330343132301243,0.4854808196574145,0.5376657590531365,0.5895904359566085,0.6412561546822003,0.6926641974048501,0.7438158592919643,0.7947124092890391,0.8456892709277075,0.8964118953056622,0.05286304674744162,0.09728176815508784,0.14147895786068435,0.18545572668187918,0.22921316938629974,0.27275238249523415,0.3160744529026269,0.35918046482540494,0.40207149570798256,0.44474861577810043,0.4872128951752688,0.5294653960576345,0.5715071683019813,0.6133392681686055,0.6549627388575898,0.6963786215750739,0.7375879552192273,0.778591764280745,0.8193910779474064,0.8599869141004904
5,5,12437091.0,1.2460630247324125,0.802527625129352,0.039199625953242785,0.07481124905124742,0.11024526476225836,0.14550256246262652,0.18058402196044235,0.21549052144088485,0.2502229317673228,0.284782121486557,0.3267198228882876,0.3797463974341165,0.4325085074863292,0.4850074826777121,0.5372446310507748,0.5892212577482293,0.6409386642806401,0.6923981408313064,0.7436009765109963,0.7945484482899634,0.8455092790419491,0.8962826505746736,0.0492921834517953,0.09366650659040716,0.13781952579410722,0.18175233779733477,0.2254660487077207,0.26896174805557915,0.3122405192574888,0.35530345040222205,0.39815161155131795,0.4407860804430356,0.48320791964506055,0.5254181873429974,0.5674179446274727,0.6092082321861777,0.6507901043671114,0.6921645942397134,0.7333327401673018,0.7742955699583819,0.8150541042889715,0.8556093681720792
6,6,12442895.0,1.2429519132332278,0.8045363536218796,0.0375801220440865,0.07324519782735289,0.10873240279245763,0.14404262433774986,0.17917674324128624,0.2141356387875892,0.24892018303557806,0.28353125096506615,0.3198588347806675,0.37296499971027774,0.42580631419220644,0.4783840912521526,0.530699649291835,0.5827542962216561,0.6345493328497696,0.6860860524561374,0.7373657438747606,0.7883896908831017,0.8393264486295643,0.8901760306766392,0.051303951820129645,0.09561177003502014,0.13969861075066672,0.1835655786313604,0.22721376936397297,0.2706442765667034,0.3138581840093975,0.3568565688338459,0.399640512401413,0.44221108121840663,0.48456933769158717,0.526716339755475,0.5686531481687415,0.6103808031695944,0.6519003508339221,0.6932128273714603,0.734319270362465,0.7752207027863104,0.8159181521709153,0.8564126265952778
7,7,12445889.0,1.287995772998837,0.7764000635434563,0.03809408565707804,0.07312296628148474,0.10797714669283476,0.14265750182503753,0.17716489625524398,0.22470430804273842,0.27765140210994693,0.33033443532998497,0.382754723269061,0.4349135787951335,0.48681230412556686,0.5384521942023381,0.5898345432683633,0.6409606370995147,0.6918652388466632,0.7428166168237883,0.7935138874030863,0.843958320459024,0.8938221648668515,0.9434373269610586,0.050709956557276996,0.09582249381248802,0.1407100423877154,0.18537372564549373,0.2298146595062687,0.274033951977548,0.31803271364952657,0.3618120390936695,0.4053730246579942,0.4487167645204417,0.4918443316934552,0.5347568147307558,0.5774552763728086,0.6199407943046669,0.6622144231804097,0.7042772205635563,0.7461302390402644,0.787774525826902,0.829211122369046,0.8704410639317911
8,8,12447865.0,1.2851654383222708,0.7781099383636225,0.035413113627893164,0.070494573125709,0.1054010726061515,0.14013348293258948,0.17469267265182364,0.2166303740535543,0.26965694859938316,0.3224190586515958,0.3749180338429787,0.42715518221604143,0.479131808913496,0.5308492154459067,0.582308691996573,0.633511527676263,0.68445899945523,0.7354198302072157,0.7861932017399402,0.83671334851096,0.8867510681924125,0.9364407031035663,0.054151770322330164,0.0991966934917039,0.14401696264574096,0.18861370577505587,0.23298802891366777,0.2771410481173678,0.32107386012059536,0.36478757103098125,0.4082832703788397,0.45156204158074936,0.49462497272548267,0.5374731338745785,0.5801076027662961,0.6225294419683212,0.664739709666258,0.7067394669507333,0.7485297545094384,0.7901116266903719,0.831486116562974,0.8726542624905623
9,9,12448916.0,1.342300967086926,0.7449894058932323,0.03628076890475998,0.08568555055717758,0.1386061795932494,0.1912628785829538,0.2436569684487064,0.2957897487721122,0.3476625343341867,0.3992766141242221,0.4506332801718655,0.5017338160889667,0.5526464624786145,0.6035723727559055,0.6542443015265041,0.7046305451667253,0.7544694667829059,0.8040598273705369,0.8534028664120539,0.9024998209992279,0.9513519161053807,0.9999603704910739,0.05315658952654721,0.09920343402852846,0.14502062757548895,0.19060931844435794,0.23597064573118665,0.2811057423970986,0.32601574199533323,0.3707017603866795,0.415164916732664,0.45940632601835946,0.5034270913505015,0.5472283107281811,0.5908110803293442,0.6341764941872226,0.677325632666602,0.7202595730929812,0.7629793931712767,0.8054861555737503,0.8477809225153093,0.8898647592983415
