,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
0,0,12403709.0,51.50623756684036,0.019415124210971264,0.0992250718298163,0.19735988881886615,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,0.2852626959366272,6.062610873138957,11.11261928469256,16.137441979695165,21.13720444231856,26.112031718589588,31.06204827165578,35.98737773052095,40.8881431466862,45.76446715544979,50.61647162217477,55.44427780109883,60.24800639426991,65.02777750701601,66.93300462201556,66.93300462201556,66.93300462201556,66.93300462201556,66.93300462201556,66.93300462201556,66.93300462201556
1,1,12484779.0,45.00662326869485,0.022218951953579855,0.11589681462074412,0.22083158141403872,0.3252430078087098,0.42913370708508164,0.5325062740575021,0.6353632952616333,0.737707339228734,0.8395409663422883,0.9408667214226502,1.0416871390741747,1.1420047346302458,1.2418220213782432,1.341141491503844,1.439965629136065,1.5382969016367383,1.6361377719568126,1.6653947685964932,1.6653947685964932,1.6653947685964932,1.6653947685964932,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046,0.48220620423386046
2,2,12846348.0,45.00662326869485,0.022218951953579855,0.5515176328884104,0.656452399681705,0.760863826076376,0.8647545253527479,0.9681270923251684,1.0709841135292995,1.1733281574964003,1.2751617846099546,1.3764875396903165,1.4773079573418408,1.577625552897912,1.6774428396459096,1.7767623097715102,1.8755864474037314,1.9739177199044047,2.0717585902244786,2.1010155868641593,2.1010155868641593,2.1010155868641593,2.1010155868641593,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577,20.347524831568577
3,3,12853919.0,44.97063416706497,0.022236733337693677,0.7102778837607867,0.8152651290079101,0.9197287705919638,1.0236714267489262,1.12709569057854,1.230004149327608,1.3323993765928022,1.434283931446103,1.5356603596899385,1.6365311950014043,1.7368989619645352,1.8367661670462236,1.9361353058341033,2.0350088658314562,2.1333893139782245,2.2312791148503726,2.2702981995468754,2.2702981995468754,2.2702981995468754,2.2702981995468754,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454,12.25557004685454
4,4,12865726.0,44.96164138917072,0.02224118090672855,0.7579320929448463,0.8629193381919698,0.9673829797760234,1.0713256359329857,1.1747498997625996,1.2776583585116674,1.3800535857768617,1.4819381406301626,1.583314568873998,1.6841854041854638,1.784553171148595,1.8844203762302831,1.983789515018163,2.0826630750155157,2.1810435231622844,2.278933324034432,2.317952408730935,2.317952408730935,2.317952408730935,2.317952408730935,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319,10.112672239489319
5,5,13645046.0,44.96164138917072,0.02224118090672855,0.7634334604447415,0.868420705691865,0.9728843472759185,1.0768270034328808,1.180251267262495,1.2831597260115628,1.3855549532767568,1.4874395081300578,1.5888159363738932,1.689686771685359,1.79005453864849,1.8899217437301783,1.9892908825180582,2.088164442515411,2.1865448906621796,2.284434691534327,2.32345377623083,2.32345377623083,2.32345377623083,2.32345377623083,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501,9.865318626796501
6,6,16013151.0,44.96164138917072,0.02224118090672855,0.7918413571806,0.8968286024277236,1.001292244011777,1.1052349001687396,1.2086591639983535,1.3115676227474213,1.4139628500126153,1.5158474048659163,1.617223833109752,1.7180946684212177,1.8184624353843486,1.918329640466037,2.0176987792539167,2.1165723392512694,2.214952787398038,2.3128425882701857,2.3518616729666886,2.3518616729666886,2.3518616729666886,2.3518616729666886,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741,11.142584387633741
7,7,16016329.0,44.925688256856375,0.022258980080230247,0.7923901121282088,0.8974298605020589,1.0019457453270382,1.1059403829897423,1.209416369370612,1.3123762923636109,1.4148227284627173,1.516758235457116,1.6181853622227262,1.7191066434717623,1.8195246029378433,1.9194417503785544,2.01886058464665,2.117783590763027,2.2162132410008715,2.3141519940215414,2.3629380506573336,2.3629380506573336,2.3629380506573336,2.3629380506573336,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545,0.7794485178868545
8,8,16484085.0,44.92119613724266,0.022261205978238267,0.7933896121281551,0.8984293605020052,1.0029452453269843,1.1069398829896886,1.210415869370558,1.3133757923635572,1.4158222284626636,1.5177577354570624,1.6191848622226723,1.7201061434717084,1.8205241029377894,1.9204412503785007,2.019860084646596,2.118783090762973,2.217212741000818,2.3151514940214875,2.3639375506572797,2.3639375506572797,2.3639375506572797,2.3639375506572797,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687,0.7345459398822687
9,9,16515551.0,44.91670446679598,0.022263432098836092,0.7953886121280475,0.9004283605018976,1.0049442453268767,1.108938882989581,1.2124148693704504,1.3153747923634496,1.417821228462556,1.5197567354569548,1.6211838622225647,1.722105143471601,1.8225231029376818,1.922440250378393,2.0218590846464886,2.120782090762866,2.21921174100071,2.31715049402138,2.3659365506571723,2.3659365506571723,2.3659365506571723,2.3659365506571723,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719,0.6447502530533719
