,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12657794.0,0.9997027030310036,1.0002973853807686,530734.012107664,1028240.59976359,1523265.8969194198,2015822.0183182983,2505921.948048726,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,2554797.0532903774,569204.5679415117,1066414.1730869808,1561143.7861763565,2053405.5847466725,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515,2543212.6937629515
1,1,12660086.0,0.9999026535686368,1.0000973559086135,524297.924206131,1021804.511862057,1516829.8090178866,2009385.9304167654,2499485.8601471935,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,2548360.9653888447,575639.7148128195,1072849.3199582885,1567578.9330476644,2059840.7316179804,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259,2549647.840634259
2,2,12662595.0,1.0000026438339937,0.9999973561729961,516975.0980434847,1014481.6856994107,1509506.9828552403,2002063.1042541189,2492163.033984547,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,2541038.139226198,582962.4749534085,1080172.0800988774,1574901.6931882533,2067163.4917585694,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848,2556970.600774848
3,3,12663502.0,0.9993029219000711,1.0006975643567653,501415.0591547541,999170.4086511609,1494443.3236268044,1987245.968764375,2477590.9116127207,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,2575365.637804056,598477.5598405432,1095438.1058211618,1589920.5154782166,2081936.5070493354,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498,2522652.653309498
4,4,12666065.0,0.9993029219000711,1.0006975643567653,501995.2188645845,999750.5683609913,1495023.4833366347,1987826.1284742053,2478171.071322551,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,2575945.7975138864,597897.7633954402,1094858.3093760586,1589340.7190331137,2081356.7106042323,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395,2522072.856864395
5,5,12666927.0,0.9993029219000711,1.0006975643567653,502048.19236475887,999803.5418611658,1495076.4568368092,1987879.1019743797,2478224.0448227255,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,2575998.771014061,597844.8233985716,1094805.36937919,1589287.779036245,2081303.7706073637,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262,2522019.9168675262
6,6,12668701.0,0.999602742756728,1.0003974151193067,539435.6244405018,1036942.2120964278,1531967.5092522574,2024523.6306511362,2514623.5603815643,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,2563498.665623215,560505.5410469155,1057715.1461923844,1552444.7592817603,2044706.5578520764,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355,2534513.666868355
7,7,12669655.0,1.0002026543627869,0.9997973866976828,508983.45122512884,1006490.0388810548,1501515.3360368845,1994071.457435763,2484171.3871661914,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,2533046.492407842,590955.2703623817,1088164.8755078507,1582894.4885972263,2075156.2871675424,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214,2564963.3961838214
8,8,12675450.0,1.000102644098377,0.9998973664363527,511152.66175522865,1008659.2494111547,1503684.5465669844,1996240.667965863,2486340.597696291,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,2535215.702937942,588785.6220814111,1085995.2272268801,1580724.8403162558,2072986.6388865719,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506,2562793.7479028506
9,9,12677440.0,1.0002026543627869,0.9997973866976828,506863.3618939833,1004369.9495499093,1499395.246705739,1991951.3681046176,2482051.2978350455,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,2530926.4030766967,593075.8782492394,1090285.4833947085,1585015.0964840841,2077276.8950544002,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679,2567084.004070679
