,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12765127.0,18.723064481669212,0.053410060141546194,0.6843464472301276,6.305589550113833,11.870903220224971,17.380843974881223,22.835962451699324,28.236804380179745,33.58390974447304,38.87781305644321,44.11904381444184,49.308126071229346,54.44557862549476,300.56247073084495,402.95465447689634,504.328071647197,604.6928550317787,704.0590415850958,802.4365664026484,899.8352689490831,996.26488743325,1091.7350593996107,1186.2553385362737
1,1,12767724.0,18.337666047865962,0.054532566870273795,0.9340977156270955,6.6118325747731985,12.233075677656904,17.798389347768044,23.308330102424293,28.763448579242393,34.16429050772282,39.51139587201611,44.805299183986286,50.046529941984915,55.235612198772415,293.11621132941843,394.4896284997191,494.85441188430076,594.2205984376179,692.5981232551704,789.9968258016052,886.426444285772,981.8966162521327,1076.4168953887959,1169.9967245656408
2,2,12772320.0,19.627934845461407,0.05094779496026457,4.205743669437397,9.660862146255496,15.06170407473592,20.408809439029213,25.702712750999385,30.943943508998014,36.13302576578552,41.270478320050934,46.356814977957136,51.39254423742067,56.37816963121686,239.75116359390373,345.2614969393639,449.7220372737516,553.1432276028827,655.5354113489341,756.9088285192347,857.2736119038163,956.6397984571336,1055.017323274686,1152.416025821121
3,3,12778027.0,20.433011196465415,0.04894041266776108,4.0617040753280085,9.408809439621303,14.702712751591474,19.943943509590103,25.133025766377607,30.270478320643022,35.356814978549224,40.39254423801276,45.37816963180895,50.314189709418784,55.20109791869687,245.83572583080334,353.4774002519756,460.04807373422693,565.5584070796871,670.0189474140748,773.4401377432058,875.8323214892573,977.2057386595579,1077.5705220441396,1176.9367085974568
4,4,12783685.0,20.286429173315362,0.04929403747976473,0.6235371467418473,6.024379075222269,11.371484439515562,16.665387751485735,21.906618509484364,27.095700766271865,32.23315332053728,37.319489978443485,42.35521923790702,47.34084463170321,52.276864709313045,313.517262889836,420.0879363720873,525.5982697175475,630.0588100519352,733.4800003810662,835.8721841271176,937.2456012974184,1037.610384682,1136.9765712353171,1235.3540960528696
5,5,12784699.0,19.57892874176446,0.051075317408294504,4.898647198100252,10.353765674918353,15.754607603398775,21.10171296769207,26.39561627966224,31.63684703766087,36.82592929444837,41.96338184871379,47.04971850661999,52.085447766083526,57.07107315987972,226.1677174831157,331.67805082857586,436.13859116296356,539.5597814920947,641.951965238146,743.3253824084468,843.6901657930283,943.0563523463455,1041.433877163898,1138.8325797103328
6,6,12786639.0,18.816909529021103,0.053143689640305254,4.895668005693254,10.460981675804392,15.970922430460645,21.426040907278743,26.826882835759168,32.17398820005246,37.46789151202263,42.70912227002126,47.89820452680876,53.03565708107418,58.12199373898038,223.60737932526436,327.0285696543954,429.4207534004468,530.7941705707475,631.1589539553291,730.5251405086462,828.9026653261989,926.3013678726336,1022.7309863568005,1118.201158323161
7,7,12790213.0,17.72824070973987,0.056407176344948955,4.947395059029964,10.682189242744597,16.3599241018907,21.981167204774405,27.546480874885543,33.056421629541795,38.511540106359895,43.91238203484032,49.25948739913361,54.55339071110378,59.79462146910241,218.72486132218134,319.08964470676295,418.4558312600801,516.8333560776326,614.2320586240675,710.6616771082342,806.131849074595,900.6521282112581,994.2319573881031,1086.8807020340303
8,8,12791771.0,17.754851693525993,0.05632263323070354,4.5077282948067925,10.242522478521424,15.920257337667529,21.541500440551236,27.106814110662373,32.616754865318626,38.071873342136726,43.472715270617144,48.81982063491044,54.11372394688061,59.35495470487924,226.52532032260416,326.8901037071858,426.25629026050296,524.6338150780555,622.0325176244902,718.4621361086571,813.9323080750178,908.4525872116808,1002.0324163885259,1094.6811610344532
9,9,12794435.0,18.518249560124488,0.054000784294067884,3.802033273137829,9.423276376021535,14.988590046132673,20.498530800788924,25.953649277607024,31.354491206087445,36.701596570380744,41.99549988235091,47.23673064034954,52.42581289713704,57.56326545140246,242.50521530201218,344.89739904806356,446.27081621836425,546.635599602946,646.001786156263,744.3793109738156,841.7780135202503,938.2076320044172,1033.6778039707779,1128.1980831074409
