,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20
20,20,12541496.0,1.0027035129267554,0.9973037763487392,457578.8169960151,1032188.5041398889,1044884.664586676,1047480.4513829125,1050616.7740248255,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1051163.4428392798,1023202.0177542156,1300395.0181773652,1300431.6758665245,1300504.662165535,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912,1300577.21187912
21,21,12544171.0,1.0027035129267554,0.9973037763487392,456770.4001014651,1030339.0873920548,1042000.4749442503,1044081.1987880784,1046192.0192400188,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1046228.2396833949,1021394.2990247506,1298067.5802263378,1298104.2379154968,1298177.2242145075,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926,1298249.7739280926
22,22,12545031.0,1.0016012005601818,0.9984013591843878,508098.1658634367,1081666.8531540264,1093328.240706222,1095408.96455005,1097519.7850019904,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,1097556.0054453665,969952.9270656797,1246626.2082672669,1246662.865956426,1246735.8522554366,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217,1246808.4019690217
23,23,12547965.0,1.000400060004,0.9996000999800037,569886.7225687123,1143455.4098593022,1155116.7974114974,1157197.5212553255,1159308.341707266,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,1159344.562150642,908098.4376368049,1184771.718838392,1184808.3765275513,1184881.3628265618,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468,1184953.9125401468
24,24,12548515.0,1.000400060004,0.9996000999800037,570037.1478520224,1143761.0901225572,1155349.0521626752,1157393.2281212325,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,1159431.2808926231,908338.1360879975,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138,1184937.7711825138
25,25,12549029.0,1.000400060004,0.9996000999800037,571853.9766398313,1147453.0805242124,1159041.0425643304,1161085.2185228877,1163123.271294278,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,1163123.2712942783,911233.2015779009,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174,1187832.8366724174
26,26,12549771.0,1.0006001500200015,0.9994002099440127,563590.0728882197,1139189.176772601,1150777.1388127187,1152821.3147712762,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,1154859.3675426666,919501.4435417176,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234,1196101.078636234
27,27,12551194.0,1.0006001500200015,0.9994002099440127,549238.2325679479,1109807.5051578702,1113914.299994891,1115958.4759534486,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,1117996.528724839,896086.3080970102,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012,1165182.2992708012
28,28,12554151.0,1.0006001500200015,0.9994002099440127,547065.7326460168,1107635.005235939,1111741.8000729599,1113785.9760315171,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,1115824.0288029078,898260.1783446772,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682,1167356.1695184682
29,29,12555077.0,1.0007002100350033,0.9993002799160212,34016.753568860666,55585.58955938792,59692.38439640875,61736.56035496619,63774.61312635667,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,63774.61312635675,56907.30005058811,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882,56907.3000505882
30,30,12556904.0,1.0007002100350033,0.9993002799160212,31405.09853994208,50195.87305059826,54302.66788761909,56346.84384617653,58384.896617567014,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,58384.896617567094,52538.210682361394,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148,52538.21068236148
31,31,12564591.0,1.0,1.0,33522.85272323622,52313.6272338924,56420.42207091323,58464.59802947067,60502.65080086115,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,60502.650800861236,50419.594336608585,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867,50419.59433660867
32,32,12565351.0,1.000800280056007,0.9992003598800331,31292.397968279343,50083.17247893553,54189.96731595635,56234.14327451379,58272.196045904275,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,58272.19604590436,52651.00191437277,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286,52651.00191437286
33,33,12566150.0,1.0022023115407315,0.9978025279772647,27214.59337952579,46005.36789018197,50112.162727202805,52156.338685760245,54194.39145715073,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,54194.39145715081,56735.13425173263,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714,56735.134251732714
