,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
54,54,13206899.0,10.670514374771173,0.09371619444741573,143.3640881870368,743.2532178486144,1337.1736380572647,1925.1847668825615,2507.345339904814,3083.7136324894573,3654.347243857501,4219.30325898771,4778.638116924109,5332.407801465814,5880.667644253668,17570.937440225676,23812.77792802131,29992.514443382817,36110.764118071245,42168.13958679045,42168.13958679045,42168.13958679045,42168.13958679045,42168.13958679045,42168.13958679045
55,55,13207529.0,10.56645923947639,0.09463908177149737,440.36408817105627,1040.253217832634,1634.173638041284,2222.184766866581,2804.345339888833,3380.713632473477,3951.3472438415206,4516.3032589717295,5075.63811690813,5629.407801449834,6177.667644237688,14417.135691898617,20658.97617969425,26838.712695055758,32956.962369744186,39014.33783846339,39014.33783846339,39014.33783846339,39014.33783846339,39014.33783846339,39014.33783846339
56,56,13208850.0,10.593966401980152,0.09439335203225553,362.72043737128575,962.6095670328634,1556.5299872415135,2144.5411160668104,2726.7016890890627,3303.0699816737065,3873.70359304175,4438.659608171959,4997.994466108359,5551.764150650063,6100.023993437918,15238.641114944017,21480.481602739652,27660.21811810116,33778.46779278959,39835.84326150879,39835.84326150879,39835.84326150879,39835.84326150879,39835.84326150879,39835.84326150879
57,57,13209712.0,10.890417256653054,0.09182384627082044,128.50590012580656,722.4263203344567,1310.4374491597537,1892.598022182006,2468.9663147666497,3039.5999261346933,3604.555941264902,4163.890799201302,4717.660483743007,5265.920326530861,5808.725166410461,17893.778568924765,24198.34752742554,30440.188015221174,36619.92453058268,42738.17420527111,48795.54967399031,48795.54967399031,48795.54967399031,48795.54967399031,48795.54967399031
58,58,13210307.0,11.317852280664738,0.08835598620671045,172.29812045170792,754.4586934739602,1330.826986058604,1901.4605974266474,2466.4166125568563,3025.7514704932564,3579.521155034961,4127.780997822815,4670.585837702415,5207.989936586161,5740.04706111187,17730.382790304902,24162.305952313214,30530.233669036486,36834.80262753726,43076.643115332896,49256.3796306944,55374.629305382834,61432.00477410203,61432.00477410203,61432.00477410203
59,59,13211951.0,11.288465553346098,0.08858599915766076,248.48572965663854,830.6463026788908,1407.0145952635346,1977.6482066315782,2578.1251659690492,3172.6275444731464,3761.2148458584306,4343.945880677511,4920.878935703828,5492.071684503629,6057.58127422877,16869.204461316396,23301.127623324708,29669.055340047977,35973.624298548755,42215.46478634439,48395.20130170589,54513.45097639433,60570.826445113526,60570.826445113526,60570.826445113526
60,60,13212532.0,11.316720608603877,0.08836482180533113,173.8705013439021,756.0310743661545,1332.3993669507981,1903.0329783188417,2503.509937656313,3098.01231616041,3686.5996175456944,4269.330652364775,4846.263707391091,5417.456456190892,5982.966045916034,17712.586956362837,24144.51011837115,30512.437835094417,36817.006793595196,43058.84728139083,49238.58379675233,55356.83347144077,61414.208940159966,61414.208940159966,61414.208940159966
61,61,13213216.0,11.461352195584993,0.08724974007737134,385.4543909543321,961.8226835389759,1532.4562949070194,2132.9332542444904,2727.435632748588,3316.022934133872,3898.7539689529526,4475.687023979269,5046.87977277907,5612.389362504211,6172.272308286873,15436.663852239577,21933.22580697758,28365.148968985894,34733.076685709166,41037.64564420994,47279.48613200557,53459.22264736708,59577.47232205551,65634.84779077471,65634.84779077471
62,62,13213855.0,11.467084017932624,0.08720612829174054,370.62397298444534,946.992265569089,1517.6258769371325,2118.1028362746038,2712.605214778701,3301.192516163985,3883.9235509830655,4460.856606009382,5032.049354809183,5597.558944534325,6157.441890316986,15606.689762664248,22103.25171740225,28535.174879410562,34903.10259613383,41207.67155463461,47449.512042430244,53629.248557791754,59747.49823248018,65804.87370119938,65804.87370119938
63,63,13214444.0,11.65318888995057,0.08581342063908154,480.72864867916786,1051.3622600472113,1651.8392193846826,2246.3415978887797,2834.928899274064,3417.6599340931443,3994.592989119461,4565.785737919261,5131.295327644403,5691.1782734270655,6245.490579790206,14434.868320958245,20996.71841951408,27493.280374252085,33925.20353626039,40293.131252983665,46597.70021148444,52839.54069928008,59019.27721464158,65137.526889330016,71194.90235804922
