,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10
10,10,12671068.0,34271.71651570967,2.9178579355417293e-05,0.04793692729230311,0.13974850497918076,0.23064658685294673,0.32064026341795604,0.40973853266228544,0.49795030280292685,0.5852843955723336,0.6717495423356807,0.7573543901921349,0.8421074967490152,0.8421074967490152,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912,4675.756978063912
11,11,12671898.0,33971.46347369182,2.943647101851882e-05,0.5035835959335515,1.0255904771923587,1.5424035570542252,2.054074520785291,2.560654527638145,3.0621942264599906,3.5587437743787316,4.050352814727148,4.537070511732471,5.018945520804185,5.412116194480415,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683,18701.025151485683
12,12,12672808.0,34371.24376208456,2.909408827105393e-05,0.19650633961640815,0.7185132208752154,1.235326300737082,1.7469972644681475,2.253577271321002,2.7551169701428475,3.251666518061588,3.7432755584100046,4.2299932554153274,4.711868264487042,5.105038938163271,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044,29194.700726772044
13,13,12674474.0,35535.01728680386,2.814125548128989e-05,0.3013429250732429,0.7230202122392996,1.1405019498478253,1.5538298785290294,1.9630453336783635,2.3681892272634326,2.769302076412302,3.166423978927136,3.5595946526033657,3.948853404456991,3.948853404456991,34358.946129553224,49108.376019630574,49108.376019630574,49108.376019630574,49108.376019630574,49108.376019630574,49108.376019630574,49108.376019630574,49108.376019630574,49108.376019630574
14,14,12675082.0,35417.950848836874,2.8234270363860986e-05,0.3718101741143693,0.7934874612804259,1.2109691988889515,1.6242971275701559,2.03351258271949,2.4386564763045593,2.839769325453428,3.236891227968262,3.630061901644492,4.019320653498117,4.019320653498117,31858.946129418662,46608.37601949601,46608.37601949601,46608.37601949601,46608.37601949601,46608.37601949601,46608.37601949601,46608.37601949601,46608.37601949601,46608.37601949601
15,15,12675638.0,34285.42725875603,2.916691084094959e-05,0.21596161251664825,0.6461569160885782,1.0720719140766792,1.4937492012427358,1.9112309388512614,2.3245588675324655,2.7337743226818,3.138918216266869,3.540031065415738,3.937152967930572,4.330323641606802,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298,22205.50856109298
16,16,12676207.0,33947.69295841713,2.9457082730921068e-05,0.4317681234227035,0.8619634269946335,1.2878784249827344,1.7095557121487912,2.127037449757317,2.540365378438521,2.9495808335878553,3.354724727172924,3.7558375763217935,4.152959478836627,4.546130152512857,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888,14842.799488336888
17,17,12680743.0,33944.29852856427,2.946002843919416e-05,1.4988e-16,5.2088e-16,9.6164e-16,1.39803e-15,1.83007e-15,1.97265e-15,2.11381e-15,2.25357e-15,2.39194e-15,2.52893e-15,2.52893e-15,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12,5.08843473e-12
18,18,12689947.0,33944.29852856427,2.946002843919416e-05,0.02106715606910081,0.02106715606910118,0.02106715606910162,0.021067156069102057,0.021067156069102488,0.02106715606910263,0.021067156069102772,0.02106715606910291,0.02106715606910305,0.02106715606910319,0.02106715606910319,1423.3104630556668,2124.3283736056947,2818.37138696316,3505.508899747677,4185.809621273837,4859.3415700710375,5526.172106369154,5526.172106369154,5526.172106369154,5526.172106369154
19,19,12691769.0,33849.39216882921,2.95426279743028e-05,0.002950107003028023,0.02401929178063649,0.024019291780636862,0.024019291780637303,0.02401929178063774,0.02401929178063817,0.024019291780638313,0.024019291780638455,0.024019291780638594,0.024019291780638732,0.02401929178063887,2024.2595129282317,2718.3025262856972,3405.440039070214,4085.740760596374,4759.272709393575,5426.103245691691,5426.103245691691,5426.103245691691,5426.103245691691,5426.103245691691
20,20,12694030.0,33245.58387625578,3.0079182959220238e-05,0.0007521838977839948,0.02203310700200091,0.04310229177960938,0.043102291779609746,0.04310229177961019,0.04310229177961063,0.04310229177961106,0.043102291779611196,0.04310229177961134,0.04310229177961148,0.04310229177961162,2078.105814246272,2765.243327030789,3445.5440485569493,4119.07599735415,4785.906533652266,4785.906533652266,4785.906533652266,4785.906533652266,4785.906533652266,4785.906533652266
21,21,12695953.0,32659.077202376207,3.061935871008756e-05,0.019981700598678247,0.041262623702895164,0.06233180848050363,0.062331808480504,0.062331808480504444,0.062331808480504874,0.06233180848050531,0.06233180848050545,0.062331808480505596,0.062331808480505735,0.062331808480505874,1444.4424447259387,2131.579957510455,2811.8806790366157,3485.4126278338163,4152.243164131933,4152.243164131933,4152.243164131933,4152.243164131933,4152.243164131933,4152.243164131933
22,22,12696608.0,33358.80556825644,2.9977092493730642e-05,0.022887679667053202,0.049019621611076744,0.054032006005773216,0.058994518779987674,0.06390765622300422,0.06877190957325002,0.07358776516816679,0.07835570462363806,0.08307620462201319,0.0877497372452018,0.0923767696893731,1864.5077105362877,2725.3237280116036,3577.5749081677986,4421.346470620101,5256.722778208369,6083.787377288811,6242.427161219037,6399.488534387877,6554.987197589247,6708.9386969373
23,23,12698028.0,34481.40239409732,2.900114063142584e-05,0.005594491792397711,0.010606876187094185,0.015569388961308642,0.020482526404325185,0.025346779754570992,0.030162635349487755,0.03493057480495903,0.03965107480333415,0.044324607426522764,0.048951639870694064,0.053532634904400606,2467.8587741138513,3337.3257009824565,4198.141718457773,5050.392898613967,5894.164461066271,6729.540768654539,7556.60536773498,7715.245151665205,7872.306524834045,8027.805188035416
24,24,12700094.0,34664.62978928303,2.8847848832620776e-05,0.004750427599709579,0.009712940373924036,0.014626077816940577,0.019490331167186386,0.02430618676210315,0.029074126217574423,0.033794626215949544,0.03846815883913816,0.04309519128330946,0.047676186317016,0.05221160192264863,1069.6855160481512,1947.8902839702168,2817.357210838822,3678.173228314138,4530.424408470333,5374.195970922636,6209.572278510904,7036.636877591345,7195.276661521571,7352.338034690411
25,25,12700626.0,34782.6842067337,2.8749937585507176e-05,0.0038950378735678583,0.008857550647782316,0.013770688090798858,0.018634941441044665,0.023450797035961427,0.0282187364914327,0.03293923648980782,0.037612769112996436,0.042239801557167736,0.04682079659087428,0.05135621219650691,1099.3889407443091,1977.5937086663746,2847.06063553498,3707.876653010296,4560.127833166491,5403.899395618794,6239.275703207062,7066.340302287504,7224.980086217729,7382.041459386569
26,26,12701900.0,34706.25023131376,2.881325390484705e-05,0.004458507873537573,0.00942102064775203,0.014334158090768571,0.01919841144101438,0.024014267035931142,0.028782206491402416,0.03350270648977754,0.03817623911296615,0.04280327155713745,0.04738426659084399,0.05191968219647662,1079.8110835546065,1958.015851476672,2827.4827783452774,3688.2987958205936,4540.549975976788,5384.321538429092,6219.69784601736,7046.762445097801,7205.402229028026,7362.463602196866
27,27,12702749.0,34333.45806914042,2.9126107774702122e-05,0.01118287035402243,0.016195254748718902,0.02115776752293336,0.026070904965949902,0.03093515831619571,0.035751013911112475,0.040518953366583746,0.04523945336495887,0.04991298598814749,0.05454001843231878,0.05912101346602532,2275.575728063719,3145.0426549323247,4005.858672407641,4858.109852563835,5701.881415016138,6537.257722604406,7364.322321684847,7522.962105615074,7680.023478783914,7835.522141985284
28,28,12703309.0,33609.924573486554,2.9753116458608705e-05,0.038231852622086865,0.115056285796706,0.17025678777643505,0.2249080624287336,0.27901557529962845,0.33258473631095253,0.38562090141085614,0.4381293745498,0.49011540534610853,0.4947889379692972,0.49941597041346847,6454.314529848067,8984.999113176515,11490.504214104314,13971.080366964099,16426.975587282875,18858.43549023434,20605.50734613,22335.196443741814,24047.67569313363,25743.116300908412
29,29,12704010.0,32858.896411529946,3.0433158420046858e-05,0.048697889341934045,0.12629438261734702,0.20311881579196617,0.2583193177716952,0.3129705924239937,0.3670781052948886,0.4206472663062127,0.4736834314061163,0.5261919045450602,0.5781779353413687,0.5828514679645573,6058.376078905037,8563.881179832837,11044.45733269262,13500.352553011398,15931.812455962861,17678.884311858525,19408.573409470337,21121.05265886215,22816.493266636935,22968.913001568515
