,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
0,0,12383174.0,3.4022276455660783e+38,2.9392507032950625e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12484536.0,3.4022276455660783e+38,2.9392507032950625e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,12486078.0,20.895796725478434,0.04785651454872218,14.465106042884885,35.443341248091606,56.29609111487777,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,66.6756429436783,796.5460795293945,1231.9759986437844,1448.713255290267,1900.5958190237536,2349.775355993387,2573.356542476977,2593.407271602902,2613.3380635172584,2623.2587072453975,2643.010935349795,2662.6450107923783,2672.417961888891,2691.876132408757,2711.2179092404276,2720.8453679658733,2740.0138581702304,2759.067687472985,2768.551819385391,2787.4349425065643,2806.2051108560495
3,3,12487369.0,20.603247934366056,0.04853603680281922,18.285628130831384,39.39010604154333,60.368341246750056,70.81035492440114,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,91.60064294233673,714.7738859941754,1157.7913319274176,1383.3937063741448,1832.5732433437784,2066.194832087256,2076.205158953293,2096.1359508676496,2115.9475219822625,2125.8088227001863,2145.4428981427695,2164.959528164892,2174.674019759148,2194.015796590819,2213.2418763249866,2222.8117455206216,2241.8655748233764,2260.8054294975964,2270.2328298569555,2289.0029982064407,2307.6608890695748
4,4,12488535.0,20.658949081489766,0.04840517279245299,13.55811272696398,34.662590637675926,55.640825842882656,66.08283952053374,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,86.87312753846933,812.3119910783508,1255.329437011593,1480.93181145832,1930.1113484279538,2163.7329371714313,2173.743264037468,2193.674055951825,2213.485627066438,2223.3469277843615,2242.981003226945,2262.4976332490673,2272.2121248433236,2291.553901674994,2310.779981409162,2320.3498506047968,2339.4036799075516,2358.3435345817716,2367.7709349411307,2386.541103290616,2405.1989941537504
5,5,12490392.0,18.967990820353315,0.052720396665679806,0.7836909836022725,1.8218132380749106,2.8537257757912005,14.25726084026139,36.96195852096206,59.530844341577854,70.25861770957789,91.6178615591425,112.8493396629224,123.41740607651346,144.4586684051761,165.37406645649216,175.78480264562722,186.16435447442777,186.16435447442777,186.16435447442777,186.16435447442777,186.16435447442777,186.16435447442777,186.16435447442777,34.52159179807337,54.09685625095636,63.8405351765663,83.24042126686405,102.52426232793886,112.12288333666056,131.23395672870717,150.2307137474561,159.68643650927052,178.51299786167863,197.22694368634566,206.54189608124898,225.08818085799336,243.52352557932375,252.69980384395168,270.96998357279745,289.1308751423349,298.1705432615545,316.16872919803825,334.0592544833223
6,6,12491868.0,13.819335003314801,0.07236238210884482,0.7870443695369792,2.0040649136550646,3.21380550206075,3.815959389031859,5.01486171429465,6.206592551430036,6.799782000326272,7.9808359060934775,9.154824960328215,9.739183464494316,10.902654612245872,12.059166156222997,12.634825127775192,13.78097527257614,14.920269497873145,15.487358409297983,16.616445457696617,17.738778667165217,18.29742515525967,19.409703138610205,31.265986892686374,47.963749644753264,56.27513712552067,72.82330161011922,89.27247831442384,97.46013219478797,113.76193804866479,129.96623144491642,138.0319927969584,154.09110873244046,170.05416234167342,177.99984714883678,193.81988479383,209.54529306009408,217.37268604151257,232.95720718307186,248.44850550511757,256.15937044635257,271.51187937280946,286.77255296401165
7,7,12492591.0,15.278760771191752,0.06545033428925136,0.9026546127841061,2.0591661567612314,3.2087598019722074,3.7809752731143744,4.920269498411379,6.052748729770357,6.6164454582348515,7.738778667703453,8.854398294043406,9.409703139148439,10.515327723732026,11.6143388037305,12.161376654169278,13.250541476963186,14.333191202668209,14.872085109845843,15.945035201209881,17.011567187256883,17.542438369176445,18.599415097602147,30.53549269555772,48.10688582756086,56.853126787039535,74.26709481451167,91.5768965934099,100.19292915210193,117.34764917958827,134.39975498244817,142.88751847447722,159.78685010893383,176.58509511183013,184.94649935886608,201.59424534466444,218.142409829263,226.37933369822164,242.77924041393175,259.0810462678086,267.19534588049225,283.3511010161022,299.41021695158423
8,8,12493914.0,17.187077520169126,0.05818324836357401,1.0669053738704721,2.15607019666438,3.238719922369403,3.7776138295470365,4.850563920911076,5.917095906958078,6.447967088877639,7.504943817303342,8.555597988883168,9.078565964624772,10.119807159563202,11.15481987135985,11.670002251932674,34.44291420458256,57.07960375150238,68.34712081771933,89.77053517165987,111.06580053864646,121.66561613906387,142.77009404977582,28.69272265171056,47.35061351484486,56.63766441112399,75.12839672371007,93.50852127754757,102.65731266702224,120.87276711530407,138.97926069515037,147.9918517184544,165.93612619792322,183.7730631107589,192.6514807857947,210.32861243368438,227.9000055656875,236.6462465251662,254.0602145526383,271.37001633153653,279.9860488902286,297.1407689177149,314.1928747205748
9,9,12496000.0,19.671109665743863,0.05083597300773754,16.423529013083172,39.060218560002994,61.05550899421998,71.75114998016048,93.04641534714708,114.21429736115554,124.75070885827644,145.72894406348317,166.58169393026932,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,176.96124575906984,368.3278216349415,388.2586135492982,398.1792572774373,417.9314853818347,437.5655608244183,447.3385119209308,466.7966824407967,486.13845927246734,495.7659179979133,514.9344082022701,533.9882375050249,543.4723694174305,562.3554925386039,581.1256608880891,590.46859935632,609.0706026475025,627.5613349600886,636.7651812492982,655.0902509034008,673.3057053516826
