,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10,USDT-slippagemap_11,USDT-slippagemap_12,USDT-slippagemap_13,USDT-slippagemap_14,USDT-slippagemap_15,USDT-slippagemap_16,USDT-slippagemap_17,USDT-slippagemap_18,USDT-slippagemap_19,USDT-slippagemap_20
0,0,15192681.0,1.0000026438339937,0.9999973561729961,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,125743.0792900874,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914,41333.297322267914
1,1,15193218.0,1.0000026438339937,0.9999973561729961,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,118886.74139198867,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435,48189.73693683435
2,2,15193803.0,1.0000026438339937,0.9999973561729961,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,91061.17726177695,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166,76016.92330962166
3,3,15194318.0,1.0000026438339937,0.9999973561729961,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,93567.44392569836,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461,73510.43099876461
4,4,15194991.0,1.000102644098377,0.9998973664363527,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,86465.94037196077,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713,80612.61482350713
5,5,15195494.0,1.0000026438339937,0.9999973561729961,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,94552.25086466753,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809,72525.53970359809
6,6,15196006.0,1.0000026438339937,0.9999973561729961,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,121687.59975275224,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253,45388.82278935253
7,7,15196724.0,1.000102644098377,0.9998973664363527,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,85588.07730238192,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277,81490.5707653277
8,8,15197245.0,1.0000026438339937,0.9999973561729961,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,119115.6143557334,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902,47960.85867674902
9,9,15197879.0,1.0000026438339937,0.9999973561729961,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,112784.80104764296,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505,54291.86689833505
