,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20
0,0,12435277.0,0.0007153521164397548,1397.9129676402063,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,95.5910723034025,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647,0.13603514803986647
1,1,12449576.0,0.0007153521164397548,1397.9129676402063,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,95.52603230270928,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126,0.1360816785594126
2,2,12453910.0,0.0007153521164397548,1397.9129676402063,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,95.52538256145914,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365,0.13608214339428365
3,3,12454979.0,0.0007153521164397548,1397.9129676402063,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,95.41891330196196,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422,0.1361583133943422
4,4,12455914.0,0.0007153521164397548,1397.9129676402063,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,95.40891330205558,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983,0.13616546759813983
5,5,12457489.0,0.0007153521164397548,1397.9129676402063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,12459154.0,0.0007153521164397548,1397.9129676402063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.567640814471357,7.679954815446672,12.761686532446314,15.291163787666642,20.327378562194532,25.333412456596907,27.825229518533387,32.786448239205605,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784,35.255908912297784
7,7,12464878.0,0.0006893001082201351,1450.7469070070706,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,4445.487489508287,9.724692542601094,14.791178389796709,17.313056223388408,22.334184847059518,27.325244120663456,29.80956890799377,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785,34.75592351442785
8,8,12465459.0,0.0006543741919085768,1528.1776273654002,7109.355857466292,14697.092305853983,22239.409381798767,25993.608955592623,33468.32046114744,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,37188.90270306335,7.81815956664551,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588,12.764514173079588
9,9,12465975.0,0.0006793099318772473,1472.0821131475848,6066.145044463232,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,13518.434908711846,8.582313775037969,13.618528549565857,16.12532023230078,21.116379505904714,26.07759822657693,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107,28.547058899669107
