,index,blocknum,p0vs1,p1vs0,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10,COMP-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12399696.0,0.20193286055235837,4.952141009960655,0.04163237178673627,0.08320922547739767,0.12437240235395905,0.16512601985759337,0.20547415161371643,0.24542083355018085,0.28497005875036696,0.3241257821764038,0.3628919189549794,0.40127234522050953,0.43927089876659536,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085,0.01694731507849085
1,1,12437790.0,0.19960408879472274,5.009917412205028,0.02424618451632341,0.06624087108541175,0.10781772477607317,0.14898090165263453,0.18973451915626888,0.2300826509123919,0.27002933284885633,0.30957855804904244,0.3487342814750793,0.3875004182536549,0.425880844519185,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953,0.01200650358632953
2,2,12448440.0,0.19960408879472274,5.009917412205028,8.974606356260631,24.518733753228183,39.90820235825012,39.94936553512669,39.99011915263032,40.03046728438645,40.07041396632291,40.10996319152309,40.149118914949135,40.187885051727704,40.22626547799324,7.512248841744517,10.549822586798417,10.549822586798417,10.549822586798417,10.549822586798417,10.549822586798417,10.549822586798417,10.549822586798417,10.549822586798417,10.549822586798417
3,3,12449161.0,0.19243100588361584,5.196667737655593,6.37723309515841,22.192514238688517,37.892854796184125,53.43698219315167,68.82645079817361,68.86761397505018,68.90836759255382,68.94871572430993,68.9886624062464,69.02821163144658,69.06736735487262,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663,4.873460430609663
4,4,12451155.0,0.1924694940091026,5.19562855998731,6.227622073854849,22.042903217384954,37.74324377488056,53.287371171848115,68.67683977687005,68.71800295374662,68.75875657125025,68.79910470300638,68.83905138494283,68.87860061014302,68.91775633356906,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018,4.90225556634018
5,5,12457696.0,0.20258004829542772,4.936320276425614,0.03496998554042258,0.07654683923108399,0.11771001610764535,0.1584636336112797,0.19881176536740275,0.23875844730386717,0.27830767250405325,0.31746339593009015,0.3562295327086657,0.3946099589741958,0.4326085125202817,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619,0.01829489358560619
6,6,12500474.0,0.20258004829542772,4.936320276425614,0.03866511359689355,0.08463521470238632,0.13014792754298862,0.17520780463218372,0.2198193500378749,0.26398702614706293,0.3077152479750849,0.35100838838791815,0.39387077620685873,0.43630669714078507,0.4783203945064517,0.020228036351712907,0.021106262776615856,0.021975751121922963,0.022836588362810228,0.02368886056780145,0.024532652931457566,0.02536804983547649,0.026195134818104447,0.027013990568468958,0.027824698972514158
7,7,12501451.0,0.20258004829542772,4.936320276425614,2.2348547082913126,4.891939799707993,7.52258771760529,10.12706159857447,12.705621779038307,15.258526186251402,15.302254408079424,15.345547548492258,15.388409936311197,15.430845857245124,15.47285955461079,1.169186330380921,1.692036111426204,2.2096836998775373,2.722180876176086,3.229578880990034,3.2304226733536896,3.2312580702577085,3.2320851552403367,3.2329040109907012,3.2337147193947464
8,8,12521723.0,0.16347267205053018,6.117230405892523,0.006888517690802448,0.019126664847830165,0.031243046591843973,0.04323887427481357,0.0551153474588487,0.06687365381913903,2.851083959524637,5.607592228300475,8.33667419480898,11.038602756758284,13.756064658543526,0.004876789575720536,0.006840134077611128,0.008783943889424517,0.010708413524206718,0.012613735257245951,0.014500099680307677,0.016367695419921818,0.018216709183082044,0.020047325810671087,0.021859728477669375
9,9,12525803.0,0.1584196306924658,6.312349016526008,0.0015939563126344284,0.01407931824032016,0.02644045462633364,0.038678601783361355,0.050794983527375166,0.06279081121034477,0.07466728439437989,0.08642559075467021,2.870635896460168,5.627144165236007,8.356226131744512,0.005637379620460813,0.007561849255243014,0.009467170988282246,0.011353535411343972,0.013221131150958115,0.015070144914118337,0.016900761541707384,0.01871316420870567,0.020507534010910582,0.022284050450832767
10,10,12540293.0,0.1584196306924658,6.312349016526008,0.0009552276548681998,0.008437467224315699,0.015845260793012905,0.023179349259602293,0.030440466033683316,0.037629337055416344,0.04474668119952328,0.05179321021712126,2.8313386192802175,5.583228405701682,8.307737842155143,0.003378374220027699,0.004531672212906677,0.005673495233019713,0.006803957498381262,0.007923172049277557,0.00903125077565332,0.010128304449128541,0.01121444284297968,0.012289774484468418,0.013354406946030035
11,11,12543259.0,0.1584196306924658,6.312349016526008,0.1398099392738896,1.2349326092530015,2.3191591428074214,3.3925979800494983,3.3998590968235796,3.4070479678453123,3.4141653119894193,3.4212118410070174,6.200757250070113,8.952647036491578,11.67715647294504,0.49446882336307335,0.49562212135595235,0.49676394437606536,0.4978944066414269,0.49901362119232323,0.500121699918699,0.5012187535921742,0.5023048919860253,0.5033802236275141,0.5044448560890757
12,12,12545160.0,0.161878543556834,6.177470948451606,0.04976136339528199,1.133987896949702,2.207426734191779,2.21468785096586,2.2218767219875932,2.2289940661317,2.236040595149298,5.015586004212394,7.767475790633859,10.49198522708732,13.189386754045474,0.5137794077525552,0.6842758822139284,0.6854291802068074,0.6865710032269206,0.6877014654922821,0.6888206800431783,0.6899287587695541,0.6910258124430293,0.6921119508368805,0.6931872824783692
13,13,12546427.0,0.16163591988572312,6.186743644030372,0.13540150149067254,1.2196280350450925,2.2930668722871697,2.3003279890612505,2.3075168600829836,2.3146342042270907,2.3216807332446883,5.101226142307785,7.85311592872925,10.57762536518271,13.275026892140863,0.49992578521611125,0.6704222596774846,0.6715755576703636,0.6727173806904766,0.6738478429558382,0.6749670575067345,0.6760751362331102,0.6771721899065855,0.6782583283004366,0.6793336599419254
14,14,12547306.0,0.15942077460166526,6.272708199409002,0.8899478929350857,1.9741744264895056,3.047613263731583,3.0548743805056637,3.062063251527397,3.0691805956715035,3.0762271246891015,5.855772533752198,8.607662320173663,11.332171756627123,14.029573283585277,0.378799664156536,0.5492961386179094,0.5504494366107884,0.5515912596309014,0.5527217218962629,0.5538409364471593,0.554949015173535,0.5560460688470102,0.5571322072408613,0.5582075388823501
15,15,12549255.0,0.16123235493029425,6.202229077608716,0.2724598604201046,1.3566863939745246,2.4301252312166017,2.4373863479906825,2.4445752190124157,2.4516925631565227,2.4587390921741203,5.238284501237216,7.990174287658681,10.714683724112142,13.412085251070296,0.4777996641618645,0.6482961386232379,0.6494494366161169,0.6505912596362299,0.6517217219015914,0.6528409364524878,0.6539490151788635,0.6550460688523387,0.6561322072461898,0.6572075388876786
16,16,12550540.0,0.16420991977632565,6.089766083328732,0.3566863940283481,1.4301252312704251,1.4373863480445062,1.4445752190662393,1.4516925632103461,1.4587390922279442,4.23828450129104,6.990174287712505,9.714683724165965,12.41208525112412,15.125065160558847,0.4683125196259666,0.6405224311569633,0.8110189056183367,0.8121722036112157,0.8133140266313287,0.8144444888966902,0.8155637034475866,0.8166717821739623,0.8177688358474375,0.8188549742412886
17,17,12552069.0,0.16420991977632565,6.089766083328732,0.3587552992300412,1.4384204552531283,1.4518459410483253,1.465137847622572,1.478297504143635,1.4913262266080494,4.2767943081776325,7.034547838334233,9.76486267630419,12.468011843078042,15.186682205035853,0.4710288951987201,0.6442376841405587,0.8157230974815447,0.8178554947838846,0.819966675365896,0.8220568504116677,0.8241262289277207,0.8261750177936457,0.8282034218212994,0.8292895602151505
18,18,12553482.0,0.16352171875648897,6.1153956037434165,0.5886854920176655,1.6683506480407526,1.6817761338359496,1.6950680404101963,1.7082276969312595,1.7212564193956739,4.506724500965256,7.2644780311218575,9.994792869091814,12.697942035865665,15.416612397823476,0.4333479434734956,0.6065567324153343,0.7780421457563202,0.7801745430586602,0.7822857236406715,0.7843758986864431,0.7864452772024962,0.7884940660684211,0.7905224700960749,0.791608608489926
19,19,12556717.0,0.16089413914630926,6.215266791605435,0.38488335468312823,1.4753987794109695,2.5550639354340565,2.5684894212292537,2.5817813278035002,2.5949409843245634,2.6079697067889778,5.39343778835856,8.151191318515162,10.881506156485118,13.58465532325897,0.46271748323207457,0.6342028965730605,0.6363352938754006,0.6384464744574119,0.6405366495031835,0.6426060280192365,0.6446548168851615,0.6466832209128152,0.6477693593066663,0.6488446909481551
20,20,12560340.0,0.16079763644158265,6.218996884094731,0.4195778167607492,1.5100932414885904,2.5897583975116776,2.6031838833068743,2.6164757898811213,2.6296354464021845,2.642664168866599,5.428132250436182,8.185885780592782,10.916200618562739,13.61934978533659,0.45713661271039796,0.628622026051384,0.6307544233537239,0.6328656039357352,0.6349557789815068,0.63702515749756,0.6390739463634848,0.6411023503911386,0.6421884887849898,0.6432638204264784
21,21,12561679.0,0.1586732922938744,6.302257837745799,0.054195790330161996,1.155670552865492,2.246185977593333,3.3258511336164203,3.3392766194116175,3.352568525985864,3.365728182506927,3.3787569049713415,6.164224986540924,8.921978516697525,11.652293354667481,0.5110398657161503,0.5131722630184903,0.5152834436005016,0.5173736186462732,0.5194429971623263,0.5214917860282512,0.523520190055905,0.5246063284497561,0.5256816600912448,0.5267462925528065
