,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
10,10,12439722.0,0.010072260635654182,99.28257778200863,597.7107910487947,1255.9402327533205,1910.2875079692428,2305.9806719537555,2716.9931456267523,3237.148864858223,3940.5616440189083,4664.168586718459,5557.692119545633,6377.126714032521,7296.736251291026,13.67819455468854,18.513865946352208,23.219916123022678,27.878170430179658,32.39030439650766,34.92811990856215,37.41879821460766,39.880080178375884,42.316873186174085,44.72122658367638
11,11,12441165.0,0.010072260635654182,99.28257778200863,584.7747220284288,1228.8672669362627,1869.2183034141235,2251.054486438961,2648.34785115025,3154.920962784948,3844.8862761427395,4555.17955138373,5435.521882719049,6241.9064251924,7148.595753576824,13.378982912074305,18.214654303737973,22.920704480408443,27.578958787565423,32.09109275389343,34.62890826594791,37.11958657199343,39.58086853576165,42.017661543559846,44.422014941062145
12,12,12441983.0,0.010072260635654182,99.28257778200863,587.4494954288022,1234.4651072633883,1877.7101269924908,2259.546310017328,2656.8396747286174,3163.4127863633157,3853.3780997211065,4563.671374962097,5444.013706297416,6250.398248770767,7157.087577155191,13.440850496538072,18.27652188820174,22.98257206487221,27.64082637202919,32.15296033835719,34.69077585041168,37.1814541564572,39.642736120225415,42.079529128023616,44.483882525525914
13,13,12442497.0,0.010065212872596341,99.35209643927263,611.1853418503503,1258.037247756806,1901.1201903846957,2282.795908919927,2679.9304057058157,3186.3462301073228,3876.1558211802358,4586.294923527452,5466.484615931107,6272.718038189905,7179.257749949423,13.196873976707327,18.030915821204864,22.73535266417814,27.392009689763828,31.902562266962267,34.44037777901676,36.931056085062274,39.392338048830496,41.82913105662869,44.23348445413099
14,14,12444536.0,0.01003506398733612,99.65058531385182,57.019375509600465,694.5235955450869,1330.7193042510316,1963.2520757767943,2334.4825937964088,2721.275816071086,3217.453258801572,3897.1263362178033,4597.229780248998,5467.483665349474,6263.880138967202,16.61533784583655,21.214757098891862,25.76744142414346,30.17505579618458,32.610957303660506,35.0007356160419,37.36212150803448,39.70001237751907,42.00644767962762,42.75253827266105
15,15,12445761.0,0.010162299331347649,98.40292707333464,292.8527378491286,930.4622508440608,1564.3947597126182,1936.0102366547715,2323.1845876485727,2819.73936697214,3499.7860266254706,4200.259335859974,5070.87940614457,5867.638421500416,6764.797993164156,16.104351277696587,20.83622947079146,25.439519157755814,29.996035407405056,34.407443577419336,36.8471011358524,39.24059812771601,41.60566569954797,43.947201617353564,46.25724570078167
16,16,12446955.0,0.01016433189283691,98.38324943961423,287.9826198301867,925.5921328251189,1559.5246416936764,1931.1401186358296,2318.314469629631,2803.1577643522596,3471.6094642344146,4160.603180149886,5019.857874736636,5805.364596885228,6691.383831453042,16.153851277699253,20.88572947079412,25.489019157758477,30.04553540740772,34.456943577422,36.89660113585506,39.29009812771867,41.65516569955063,43.99670161735623,46.30674570078433
17,17,12447576.0,0.010180607026757597,98.22596996148746,240.50225561431873,884.7983329260182,1525.350876718844,1896.966353660997,2284.1407046547984,2768.983999377427,3437.435699259582,4126.429415175053,4985.6841097618035,5771.190831910396,6657.210066478209,16.773231242446833,21.5051094355417,26.108399122506057,30.6649153721553,35.07632354216958,37.51598110060264,39.90947809246625,42.27454566429821,44.61608158210381,46.92612566553191
18,18,12448411.0,0.010260322261149509,97.46282568399226,633.1076680952068,1273.8555462175648,1645.6644139796203,2033.0302316239247,2518.0630879564883,3186.7024633824576,3875.881987525075,4735.320641617235,5521.009492922676,6407.209044530308,7150.310782972168,13.210989583696824,19.415837538180675,24.149679651537916,28.7549137183912,33.313355002005565,37.726669052511554,40.16821352856534,42.56357866383833,44.930495791664626,47.27386286298326
19,19,12449075.0,0.010260322261149509,97.46282568399226,646.1688083566676,1300.0804245158854,1684.9220556330613,2085.1909653045072,2582.9985314435817,3264.2855131587708,3965.986803614059,4837.8226371697265,5635.785319272754,6534.136581649467,7289.269125483216,13.484803640774674,19.82333183994652,24.68952412401358,29.425791520048012,34.1139623954324,38.655715269684315,41.22442064631242,43.74568147291192,46.23724167117152,48.70401165486406
20,20,12450224.0,0.010248017873754138,97.57984542172464,27.676705933860045,685.4661103370482,1339.377726496266,1724.219357613442,2124.488267284888,2622.2958334239624,3303.5828151391515,4005.28410559444,4877.119939150108,5675.082621253135,6573.4338836298475,19.358236013299447,24.224428297366508,28.96069569340094,33.64886656878533,38.19061944303724,40.759324819665345,43.280585646264846,45.772145844524445,48.23891582821699,50.67294794081371
21,21,12450750.0,0.010179589067850813,98.23579255848361,246.82873230986456,904.6181367130528,1558.5297528722706,1943.3713839894465,2343.6402936608924,2841.447859799967,3522.734841515156,4224.436131970445,5096.271965526112,5894.2346476291395,6792.5859100058515,17.119724589221295,21.985916873288357,26.72218426932279,31.41035514470718,35.95210801895909,38.52081339558719,41.04207422218669,43.53363442044629,46.000404404138834,48.43443651673556
22,22,12451898.0,0.01010151112170373,98.9950897397358,499.86997397825235,1157.6593783814405,1807.6572153042084,2188.6240079469317,2585.056632399056,3079.066083302747,3756.592739588568,4454.571118750651,5322.721082575475,6117.034568379337,7011.772942595999,14.553545452979535,19.419737737046596,24.156005133081027,28.844176008465418,33.38592888271733,35.95463425934543,38.475895085944934,40.96745528420453,43.43422526789708,45.868257380493795
23,23,12452721.0,0.01010151112170373,98.9950897397358,500.5797572131232,1159.2945818742903,1810.2086313895377,2192.0825206234676,2589.4132163805725,3084.3118030264986,3762.718748491158,4461.568658212695,5330.581481196815,6125.749240938917,7021.333389387461,14.574514561305973,19.449918582394968,24.19530606163784,28.892506278480113,33.44319865512487,36.02075458909854,38.55077791290129,41.051013424387,43.52637240475732,45.96890805641164
