,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12438206.0,44.367757422973156,0.022538889907521235,1.2569054472702101,3.2226361788997844,5.17660843349671,6.149207142956849,8.085673410883494,10.010556267018417,11.000165635582244,12.970500560066805,14.929049484292678,15.903926232818858,17.84492813800729,19.774319521115775,20.73468296796326,22.646788574833412,24.547456443656532,25.493522643021944,27.37716212185636,29.24953416346109,30.181515970007506,32.037113092707,150.3381200896439,224.5760597314243,261.5283372261594,335.101166438565,408.2339029153179,444.63606000719335,517.1135865476393,589.157572690739,625.0177982100251,696.4163293759477,767.3877727473274,802.7141349388579,873.0497337848117,942.9646026289519,977.7650501945848,1047.0535409522886,1115.9275643442336,1150.2099267328158,1218.4668958315895,1286.315569965607
1,1,12443228.0,41.713136628888854,0.023973263120842365,1.367120758037531,3.1039487439539544,4.830387501862224,5.689730328933906,7.400701600440361,9.242608532651511,10.229905447226786,12.19563617885636,14.149608433453286,15.122207142913425,17.05867341084007,18.983556266974993,19.97316563553882,21.94350056002338,23.902049484249254,24.876926232775432,26.817928137963865,28.74731952107235,29.707682967919837,31.619788574789986,124.71674551111501,196.76073165421468,232.6209571735008,304.01948833942345,374.99093171080307,410.31729390233363,480.6528927482873,550.5677615924276,585.3682091580604,654.6566999157643,723.5307233077092,757.8130856962915,826.0700547950652,893.9187289290827,927.6907189464748,994.9315255042807,1061.7701139722592,1095.0393297154899,1161.2791005375745,1227.1226424569168
2,2,12444421.0,43.177277858589164,0.023160329914153496,1.5464991350767163,3.252345460203052,5.229905447495563,6.214245025309224,8.174087727836179,10.122207143182202,11.09189253693554,13.022558430417304,14.973165635807595,15.959810789874046,17.92424388172874,19.87692623304421,20.848882854531276,22.78407080123875,24.707682968188614,25.66516976993139,27.57154792576071,29.466522643247295,30.40975505233915,32.28775234505414,118.17684588616135,191.52929923696422,228.04082004400703,300.7360954041194,372.9965273551229,408.9644898194281,480.57752607395935,551.7621944313222,587.1946898760165,657.7416009147928,727.8665186518195,762.7715197576409,832.2681764494725,901.3491220079638,935.7344814729227,1004.1965183870454,1072.249034141915,1106.122487094296,1173.5653080108366,1240.6047048134433
3,3,12447112.0,39.33910396733599,0.025419999419161128,1.1931328952463616,2.982852498172832,4.7618664536768796,5.64737886519041,7.4104543152487805,9.162983531137657,10.035313038806548,11.772141024722972,13.498579782631241,14.357922609702923,16.068893881209377,17.910800813420526,18.898097727995804,20.863828459625378,22.817800714222304,23.79039942368244,25.726865691609085,27.65174854774401,28.641357916307836,30.611692840792397,129.50757155720575,199.42244040134602,234.22288796697885,303.51137872468274,372.3854021166277,406.66776450520996,474.92473360398355,542.7734077380011,576.5453977553932,643.7862043131992,710.6247927811777,743.8940085244083,810.133779346493,875.9773212658351,908.751247267926,908.751247267926,908.751247267926,908.751247267926,908.751247267926,908.751247267926
4,4,12448511.0,39.39815394725081,0.02538189990675387,0.9646483547915263,2.754367957717997,4.533381913222044,5.418894324735574,7.181969774793946,8.934498990682822,9.806828498351713,11.543656484268135,13.270095242176405,14.129438069248087,15.840409340754542,17.682316272965693,18.669613187540968,20.63534391917054,22.589316173767468,23.561914883227605,25.498381151154252,27.423264007289173,28.412873375853,30.38320830033756,138.5031495576871,208.41801840182734,243.2184659674602,312.50695672516406,381.380980117109,415.6633425056913,483.9203116044649,551.7689857384825,585.5409757558746,652.7817823136805,719.620370781659,752.8895865248896,819.1293573469744,884.9728992663165,917.7468252684074,917.7468252684074,917.7468252684074,917.7468252684074,917.7468252684074,917.7468252684074
5,5,12453151.0,34.49193782967971,0.02899228233965786,1.200399270544444,3.1122192357677667,5.012603229944857,5.958528106664659,7.841886210958971,9.713978552045452,10.645821135917911,12.50114106955349,14.345363013515962,15.26333294962774,17.09103214690083,18.907798550011638,19.812102364947116,21.612592012039826,23.402311614966298,24.2931527838447,26.066837981983873,27.829913432042247,28.707492385244077,30.45477215560001,123.79284016472086,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176,156.56676616681176
6,6,12454513.0,37.87612365863539,0.026401856985489316,1.5064080745244348,3.32863266062549,5.139957181816692,6.041552294936395,7.836648877750815,9.621007600714279,10.509180387339923,12.277552772790786,14.035347202113654,14.910297464800701,16.65234351785933,18.383969110527623,19.245893716294283,20.96200534924,22.667851674366332,23.516944519793128,25.207507851490597,26.88795869604382,27.72441082149828,29.389806190932273,116.14161710243343,184.80933895597448,218.989013481515,287.04152923638463,354.68697220615775,388.3578031053062,455.39719990791275,522.0355829751728,555.2051460938659,621.2465047288276,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906,686.8928217186906
7,7,12455889.0,38.2950398888317,0.026113042391467473,1.6498696912172521,3.4611942124084547,5.261683859501166,6.157885908342577,7.94224463130604,9.715929829445214,10.598789803382548,12.356584232705416,14.103864003061352,14.973580548451089,16.705206141119383,18.426473573957725,19.283242379831762,20.989088704958096,22.68473108815321,23.52874488208236,25.20919572663558,26.879594535982747,27.711043221524033,29.3664766535379,110.99847171372512,180.0794172722164,214.46477673717516,282.92681365129795,350.9793294061676,384.8527823585486,452.29560327508915,519.3350000776957,552.7041674017252,619.1429462636488,685.1843048986107,718.0566958863826,750.8306218884735,750.8306218884735,750.8306218884735,750.8306218884735,750.8306218884735,750.8306218884735,750.8306218884735,750.8306218884735
8,8,12457041.0,39.10769814244635,0.025570413179461186,1.1836642045234358,2.978760787337856,4.763119510301319,5.651292296926963,7.419664682377827,9.177459111700696,10.052409374387741,11.794455427446369,13.526081020114663,14.388005625881323,16.10411725882704,17.809963583953376,18.65905642938017,20.349619761077637,22.03007060563086,22.866522731085325,24.531918100519313,26.18735153253318,27.011351144556453,28.71483906358948,129.6301253122863,199.33557398374055,234.03178310993934,303.1127286684306,371.78045052197166,405.9601250475122,474.0126408023818,541.6580837721549,575.3289146713033,642.3683114739099,709.00669454117,742.176257659863,808.2176162948248,873.8639332846877,873.8639332846877,873.8639332846877,873.8639332846877,873.8639332846877,873.8639332846877,873.8639332846877
9,9,12459891.0,41.83845766038955,0.023901454688344006,0.9247388825948306,2.661566868511254,4.388005626419523,5.247348453491205,6.9583197249976605,8.659056429918367,9.505605967686689,11.191105453881148,12.866522731623524,13.700469415516224,15.360876330413214,17.011351145094654,17.86437264845177,19.562758004119964,21.250984086868357,22.091306395884637,23.76440733427382,25.427500258072588,26.25531242034824,27.903505385333037,143.19799449391644,215.2419806370161,251.10220615630223,322.5007373222249,393.4721806936045,428.798542885135,499.13414173108873,569.049010575229,603.8494581408618,673.1379488985657,742.0119722905107,776.2943346790929,844.5513037778666,912.3999779118841,946.1719679292762,1013.4127744870822,1080.2513629550606,1113.5205786982913,1179.760349520376,1245.6038914397182
