,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
37,37,12875824.0,1.011464651132757,0.9886652972796256,6656.408486978755,22192.093467275292,23079.377155057893,23082.34730609816,23082.34730609816,23082.34730609816,23082.34730609816,23082.34730609816,23082.34730609816,23082.34730609816,23082.34730609816,40064.09138302674,40701.109951523205,40701.109951523205,40701.109951523205,40701.109951523205,40701.109951523205,40701.109951523205,40701.109951523205,40701.109951523205,40701.109951523205
38,38,12877144.0,1.0097467077871283,0.9903473735423329,8025.287650145682,23560.97263044222,24448.25631822482,24451.226469265086,24451.226469265086,24451.226469265086,24451.226469265086,24451.226469265086,24451.226469265086,24451.226469265086,24451.226469265086,38680.599940429725,39317.618508926185,39317.618508926185,39317.618508926185,39317.618508926185,39317.618508926185,39317.618508926185,39317.618508926185,39317.618508926185,39317.618508926185
39,39,12878285.0,1.0097467077871283,0.9903473735423329,8027.291359660952,23562.976339957488,24450.26002774009,24453.230178780355,24453.230178780355,24453.230178780355,24453.230178780355,24453.230178780355,24453.230178780355,24453.230178780355,24453.230178780355,38678.57661101271,39315.59517950917,39315.59517950917,39315.59517950917,39315.59517950917,39315.59517950917,39315.59517950917,39315.59517950917,39315.59517950917,39315.59517950917
40,40,12879930.0,1.0100496620928754,0.9900503287412107,7770.092402875365,23305.7773831719,24193.061070954504,24196.03122199477,24196.03122199477,24196.03122199477,24196.03122199477,24196.03122199477,24196.03122199477,24196.03122199477,24196.03122199477,38938.336245033555,39575.35481353002,39575.35481353002,39575.35481353002,39575.35481353002,39575.35481353002,39575.35481353002,39575.35481353002,39575.35481353002,39575.35481353002
41,41,12880973.0,1.016636038116887,0.983636190836101,2672.4692698973727,18208.154250193908,19095.437937976512,19098.408089016775,19098.408089016775,19098.408089016775,19098.408089016775,19098.408089016775,19098.408089016775,19098.408089016775,19098.408089016775,44104.33807876146,44741.356647257926,44741.356647257926,44741.356647257926,44741.356647257926,44741.356647257926,44741.356647257926,44741.356647257926,44741.356647257926,44741.356647257926
42,42,12884215.0,1.0101506670590847,0.9899513336078498,7705.995528468662,23241.680508765196,24128.9641965478,24131.934347588063,24131.934347588063,24131.934347588063,24131.934347588063,24131.934347588063,24131.934347588063,24131.934347588063,24131.934347588063,39003.08452476975,39640.10309326622,39640.10309326622,39640.10309326622,39640.10309326622,39640.10309326622,39640.10309326622,39640.10309326622,39640.10309326622,39640.10309326622
43,43,12884815.0,1.0074270749392231,0.9926276798351175,9810.208670064161,25345.893650360696,26233.177338143298,26236.147489183564,26236.147489183564,26236.147489183564,26236.147489183564,26236.147489183564,26236.147489183564,26236.147489183564,26236.147489183564,36880.246662677186,37517.265231173646,37517.265231173646,37517.265231173646,37517.265231173646,37517.265231173646,37517.265231173646,37517.265231173646,37517.265231173646,37517.265231173646
44,44,12886055.0,1.0077293332855244,0.9923299510789031,9613.693626230752,25149.378606527287,26036.66229430989,26039.632445350155,26039.632445350155,26039.632445350155,26039.632445350155,26039.632445350155,26039.632445350155,26039.632445350155,26039.632445350155,37078.26034291406,37715.278911410525,37715.278911410525,37715.278911410525,37715.278911410525,37715.278911410525,37715.278911410525,37715.278911410525,37715.278911410525,37715.278911410525
45,45,12887322.0,1.0081324854866296,0.9919331183116235,9239.543427824961,24775.228408121497,25662.512095904098,25665.482246944364,25665.482246944364,25665.482246944364,25665.482246944364,25665.482246944364,25665.482246944364,25665.482246944364,25665.482246944364,37455.400816496076,38092.41938499254,38092.41938499254,38092.41938499254,38092.41938499254,38092.41938499254,38092.41938499254,38092.41938499254,38092.41938499254,38092.41938499254
46,46,12890458.0,1.0057159892995422,0.9943164975397047,11189.461587910539,26725.146568207074,27612.430255989675,27615.40040702994,27615.40040702994,27615.40040702994,27615.40040702994,27615.40040702994,27615.40040702994,27615.40040702994,27615.40040702994,35491.86809182931,36128.88666032578,36128.88666032578,36128.88666032578,36128.88666032578,36128.88666032578,36128.88666032578,36128.88666032578,36128.88666032578,36128.88666032578
47,47,12893880.0,1.0064202017276132,0.9936207543165446,10633.717073226726,26169.402053523263,27056.685741305864,27059.65589234613,27059.65589234613,27059.65589234613,27059.65589234613,27059.65589234613,27059.65589234613,27059.65589234613,27059.65589234613,36050.99655944729,36688.015127943756,36688.015127943756,36688.015127943756,36688.015127943756,36688.015127943756,36688.015127943756,36688.015127943756,36688.015127943756,36688.015127943756
48,48,12896530.0,1.0070242048318099,0.9930247904686829,10128.05394487112,25663.738925167654,26551.02261295026,26553.992763990525,26553.992763990525,26553.992763990525,26553.992763990525,26553.992763990525,26553.992763990525,26553.992763990525,26553.992763990525,36560.082306139564,37197.10087463603,37197.10087463603,37197.10087463603,37197.10087463603,37197.10087463603,37197.10087463603,37197.10087463603,37197.10087463603,37197.10087463603
49,49,12897102.0,1.0095447887339337,0.990545452920515,8205.74811228875,23741.433092585285,24628.716780367886,24631.686931408152,24631.686931408152,24631.686931408152,24631.686931408152,24631.686931408152,24631.686931408152,24631.686931408152,24631.686931408152,38498.39316641153,39135.411734908,39135.411734908,39135.411734908,39135.411734908,39135.411734908,39135.411734908,39135.411734908,39135.411734908,39135.411734908
50,50,12897826.0,1.0095447887339337,0.990545452920515,8144.778182877557,23680.463163174092,24567.746850956693,24570.71700199696,24570.71700199696,24570.71700199696,24570.71700199696,24570.71700199696,24570.71700199696,24570.71700199696,24570.71700199696,38559.94841374194,39196.96698223841,39196.96698223841,39196.96698223841,39196.96698223841,39196.96698223841,39196.96698223841,39196.96698223841,39196.96698223841,39196.96698223841
51,51,12899090.0,1.0094438443494989,0.990644507465807,8263.580466493011,23799.265446789545,24686.54913457215,24689.519285612416,24689.519285612416,24689.519285612416,24689.519285612416,24689.519285612416,24689.519285612416,24689.519285612416,24689.519285612416,38440.0100346193,39077.02860311576,39077.02860311576,39077.02860311576,39077.02860311576,39077.02860311576,39077.02860311576,39077.02860311576,39077.02860311576,39077.02860311576
52,52,12900448.0,1.0064202017276132,0.9936207543165446,10585.968705399828,26121.653685696365,27008.937373478966,27011.907524519233,27011.907524519233,27011.907524519233,27011.907524519233,27011.907524519233,27011.907524519233,27011.907524519233,27011.907524519233,36099.05411215146,36736.07268064793,36736.07268064793,36736.07268064793,36736.07268064793,36736.07268064793,36736.07268064793,36736.07268064793,36736.07268064793,36736.07268064793
53,53,12901222.0,1.006520843747786,0.993521402176327,10501.770034420413,26037.455014716947,26924.73870249955,26927.708853539818,26927.708853539818,26927.708853539818,26927.708853539818,26927.708853539818,26927.708853539818,26927.708853539818,26927.708853539818,36183.80510824278,36820.823676739245,36820.823676739245,36820.823676739245,36820.823676739245,36820.823676739245,36820.823676739245,36820.823676739245,36820.823676739245,36820.823676739245
54,54,12902542.0,1.006722157981744,0.9933227276975601,10374.762751030197,25910.44773132673,26797.731419109336,26800.701570149602,26800.701570149602,26800.701570149602,26800.701570149602,26800.701570149602,26800.701570149602,26800.701570149602,26800.701570149602,36311.66271093318,36948.68127942965,36948.68127942965,36948.68127942965,36948.68127942965,36948.68127942965,36948.68127942965,36948.68127942965,36948.68127942965,36948.68127942965
