,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
10,10,12871312.0,0.0005024470959231161,1990.259289214837,10859.902559577044,31231.522323680452,51481.28427912638,61560.696561156525,81629.03728193048,101577.33476430281,111506.69147846226,131276.2683223536,150927.5890364042,160709.1241756528,180184.3850860639,199543.15030998524,209179.06480498804,228364.39107801326,247434.95601190123,256927.41744030864,275827.12583641894,294613.78095297114,303964.9252516116,322583.2673737076,20.163915148218813,30.311931322695674,35.363153304559326,45.420251600450555,55.41719104788749,60.39321368062356,70.30058884516134,80.14870065088999,85.05064371078586,94.81052448412944,104.51202439099718,109.34099056636992,118.95557301319018,128.5126434409979,133.269719271539,142.74116621852573,152.15595741885423,156.84221328034917,166.1726557976694,175.4472859727718
11,11,12872246.0,0.000512442939734819,1951.436779512435,18028.679926313103,38157.313142491854,58165.54219778394,68124.73041148952,87953.70196042524,107664.06224083513,117474.98468359094,137008.7561656111,156425.6816816491,166090.54595717197,185333.5117057318,204461.37129966557,213982.35165908796,232938.84127474553,251781.93828425143,261161.17660015787,279835.45493461465,298398.0287316141,307637.6354079005,326033.9037876564,16.659226300492875,26.929746073938336,32.04194475292152,42.22044919879524,52.338068604583476,57.374160245593565,67.40113400119313,77.36812898064771,82.32924682364346,92.20694579425779,102.02555901081001,106.91281904362752,116.64346553002402,126.31590586639408,131.13040766077344,140.71619087184493,150.24463457156315,154.98746136004604,164.430537983238,173.81712858037332
12,12,12872838.0,0.000503805468141955,1984.8931050471142,16431.24285509452,36741.84241854524,56930.94904042625,66980.16997457485,86988.39902986694,106876.94395773199,116776.55879250824,136486.91907291813,156079.37665492253,165831.61299769412,185248.53851373208,204549.31728425776,214156.3685378148,233284.22813174856,252297.66991957836,261761.69810682852,280604.7951163344,299335.1777308814,308658.3117666977,327220.8855636971,17.396464255466373,27.574968701340087,32.641366125264675,42.72867974813841,52.755653503737975,57.74662585045648,67.6837663261883,77.56146529680264,82.47813545345899,92.26733854617237,101.99798503256886,106.84145919356617,116.48492716331829,126.07071037438979,130.84207824356687,140.34198086259087,149.78505748578286,154.48539222142324,163.84386675064167,173.1463613813816
13,13,12873475.0,0.0005041582377864376,1983.5042354769614,15240.687526479533,35551.28708993025,55740.393711811266,65789.61464595987,85797.84370125196,105686.388629117,115586.00346389326,135296.36374430315,154888.82132630754,164641.0576690791,184057.9831851171,203358.76195564278,212965.8132091998,232093.67280313358,251107.11459096338,260571.14277821354,279414.23978771945,298144.62240226637,307467.75643808267,326030.33023508213,17.99650856995827,28.175013015831983,33.24141043975657,43.32872406263031,53.35569781822988,58.34667016494838,68.2838106406802,78.16150961129453,83.07817976795089,92.86738286066426,102.59802934706077,107.44150350805808,117.08497147781019,126.67075468888169,131.44212255805877,140.94202517708277,150.38510180027475,155.08543653591514,164.44391106513356,173.7464056958735
14,14,12874035.0,0.0005000412488051135,1999.8350183901348,19120.520998509797,39492.140762613206,59741.90271805913,69821.31500008928,89889.65572086323,109837.95320323555,119767.30991739502,139536.88676128635,159188.20747533697,168969.74261458556,188445.00352499666,207803.768748918,217439.6832439208,236625.009516946,255695.57445083398,265188.0358792414,284087.7442753517,302874.3993919039,312225.5436905444,330843.88581264036,16.023269185318323,26.171285359795185,31.222507341658837,41.27960563755006,51.276545084987,56.25256771772307,66.15994288226085,76.00805468798951,80.90999774788537,90.66987852122897,100.37137842809669,105.20034460346943,114.81492705028968,124.3719974780974,129.1290733086385,138.60052025562524,148.01531145595374,152.7015673174487,162.0320098347689,171.3066400098713
15,15,12874754.0,0.000503352269849985,1986.6802235699301,17878.438207232688,38189.03777068341,58378.14439256442,68427.36532671301,88435.5943820051,108324.13930987017,118223.75414464642,137934.1144250563,157526.5720070607,167278.80834983228,186695.73386587025,205996.51263639593,215603.563889953,234731.42348388673,253744.86527171655,263208.8934589667,282051.9904684726,300782.3730830195,310105.5071188358,328668.0809158353,16.667636076114036,26.84614052198775,31.91253794591233,41.99985156878607,52.02682532438564,57.01779767110415,66.95493814683596,76.83263711745029,81.74930727410666,91.53851036682002,101.26915685321653,106.11263101421383,115.75609898396596,125.34188219503746,130.11325006421453,139.61315268323855,149.0562293064305,153.7565640420709,163.11503857128935,172.4175332020293
16,16,12875388.0,0.0005023968562374924,1990.4583151437582,10977.55992879224,31349.179692895646,51598.94164834158,61678.353930371726,81746.69465114568,101694.992133518,111624.34884767747,131393.92569156882,151045.2464056194,160826.781544868,180302.0424552791,199660.80767920046,209296.72217420323,228482.04844722847,247552.61338111642,257045.07480952385,275944.7832056341,294731.43832218635,304082.58262082684,322700.92474292277,20.1047986758221,30.25281485029896,35.30403683216261,45.36113512805384,55.358074575490775,60.334097208226844,70.24147237276463,80.08958417849328,84.99152723838915,94.75140801173274,104.45290791860046,109.28187409397322,118.89645654079345,128.45352696860118,133.2106027991423,142.68204974612902,152.09684094645752,156.78309680795246,166.11353932527268,175.38816950037508
17,17,12876180.0,0.0005104484038678725,1959.0618609493115,14503.457090049495,34692.5637119305,54760.90443270446,64750.013701371194,84638.55862923624,104408.1354731276,114248.53374442238,133840.99132642677,153316.2522368379,163010.15318523633,182310.931955762,201496.25822878725,211045.8428032528,230059.28459108263,248958.9929871929,258366.40978783867,277096.7924023856,295715.13452448155,304982.5002352013,323434.03740413697,18.434534375566358,28.674290481236234,33.77117617655767,43.91919235103453,54.006505973908276,59.02751262878941,69.02445207622635,78.96159255195816,83.9078498735002,93.75596167922886,103.54516477194223,108.41778551246831,118.11928541933604,127.76275338908815,132.56283404152902,142.11990446933675,151.61980708836074,156.3484272468646,165.76321844719308,175.12169297641154
18,18,12876773.0,0.0005032516144945699,1987.0775794814463,18351.76833822443,38662.36790167515,58851.47452355616,68900.69545770476,88908.92451299685,108797.4694408619,118697.08427563815,138407.44455604802,157999.90213805242,167752.138480824,187169.06399686198,206469.84276738766,216076.89402094472,235204.75361487846,254218.19540270828,263682.22358995845,282525.32059946435,301255.7032140113,310578.8372498276,329141.411046827,16.4293943898384,26.607898835712113,31.674296259636694,41.761609882510434,51.788583638110005,56.77955598482851,66.71669646056033,76.59439543117466,81.51106558783103,91.30026868054439,101.0309151669409,105.8743893279382,115.51785729769031,125.10364050876181,129.8750083779389,139.3749109969629,148.81798762015487,153.51832235579525,162.8767968850137,172.17929151575365
19,19,12877289.0,0.0004920062415926115,2032.4945406444963,16120.901838070293,36676.68416564701,57109.5073392872,67280.03928714285,87529.80124258879,107658.43445876753,117677.55424539288,137625.8517277652,157454.82327670092,167324.785285816,186976.10599986662,206509.87748188677,216232.9020495263,235591.66727344765,254834.63302200747,264412.9080414757,283483.47297536366,302439.9625910212,311875.64279988135,330662.29791643354,17.43921811195079,27.496316407842016,32.502283508560446,42.46927848801503,52.37665365255281,57.30809530162511,67.12670851817732,76.88658929152092,81.74461503739134,91.41705537376139,101.03163782058164,105.81734037921225,115.34578407893046,124.81723102591721,129.53168749060532,138.91827808774065,148.24872060506087,152.8929913862041,162.1398407766762,171.33137785996647
20,20,12878144.0,0.0004923015191483441,2031.2754706301694,15120.901838124117,35676.68416570083,56109.50733934102,66280.03928719668,86529.8012426426,106658.43445882136,116677.5542454467,136625.85172781904,156454.82327675473,166324.78528586985,185976.10599992043,205509.8774819406,215232.90204958012,234591.6672735015,253834.63302206132,263412.9080415295,282483.47297541745,301439.96259107505,310875.6427999351,329662.2979164874,17.931386141632917,27.988484437524143,32.99445153824257,42.961446517697155,52.86882168223494,57.80026333130723,67.61887654785946,77.37875732120304,82.23678306707346,91.90922340344352,101.52380585026376,106.30950840889439,115.83795210861258,125.30939905559933,130.02385552028744,139.41044611742277,148.740888634743,153.38515941588622,162.63200880635833,171.8235458896486
21,21,12878813.0,0.0004953631166351287,2018.721149028488,14719.31369379616,35213.52408300313,55585.14384710654,65725.2114627016,85914.31808458261,105982.65880535656,115971.7680740233,135860.31300188837,155629.8898457797,165470.2881170745,185062.7456990789,204538.00660949,214231.90755788845,233532.68632841413,252718.01260143935,262267.5971759049,281281.03896373475,300180.74735984503,309588.1641604908,328318.5467750377,18.16174020086925,28.24905382374299,33.270060478624124,43.26699992606106,53.20414040179288,58.15039772333492,67.99850952906357,77.78771262177695,82.66033336230302,92.36183326917075,102.00530123892287,106.80538189136375,116.36245231917145,125.86235493819545,130.5909750966993,140.0057662970278,149.36424082624626,154.02246467584297,163.29709485094537,172.51624678850612
22,22,12879327.0,0.0004949175126618493,2020.538724971825,16217.252563426684,36711.46295263365,57083.08271673706,67223.15033233212,87412.25695421314,107480.59767498709,117469.70694365383,137358.25187151888,157127.82871541023,166968.226986705,186560.6845687094,206035.9454791205,215729.84642751896,235030.62519804464,254215.9514710699,263765.53604553547,282778.97783336526,301678.68622947554,311086.1030301213,329816.4856446683,17.420020445705976,27.50733406857972,32.52834072346086,42.525280170897794,52.46242064662961,57.408677968171645,67.2567897739003,77.04599286661367,81.91861360713975,91.62011351400749,101.2635814837596,106.06366213620048,115.62073256400818,125.12063518303219,129.84925534153604,139.26404654186453,148.62252107108299,153.2807449206797,162.5553750957821,171.77452703334285
23,23,12880661.0,0.000482360805191823,2073.13693243033,19391.48494654368,40133.09511626978,60750.63466373189,71013.10969554643,91445.93286918661,111756.53243263734,121866.2267724882,141994.85998866695,162003.08904395904,171962.27725766462,191791.24880660034,211501.6090870102,221312.53152976604,240846.3030117862,260263.2285278242,269928.0928033471,289171.0585519069,308298.91814584064,317819.89850526303,336776.38812092063,15.77425185476775,25.74124683422233,30.702364677218075,40.58006364783241,50.398676864384626,55.285936897202134,65.01658338359864,74.68902371996869,79.50352551434807,89.08930872541956,98.61775242513777,103.36057921362065,112.80365583681262,122.19024643394795,126.86246510167145,136.1649597324114,145.4118091228835,150.01447106393132,159.1784762936229,168.28766492664099
24,24,12881234.0,0.000482505527904687,2072.515115718089,18847.631824976917,39589.24199470302,60206.78154216513,70469.25657397967,90902.07974761985,111212.67931107058,121322.37365092144,141451.0068671002,161459.23592239228,171418.42413609786,191247.39568503358,210957.75596544344,220768.67840819928,240302.44989021943,259719.37540625743,269384.23968178034,288627.20543034014,307755.0650242739,317276.04538369627,336232.53499935387,16.03663823915135,26.00363321860593,30.964751061601675,40.84245003221601,50.66106324876823,55.54832328158574,65.27896976798225,74.95141010435229,79.76591189873166,89.35169510980316,98.88013880952137,103.62296559800426,113.06604222119623,122.45263281833155,127.12485148605505,136.42734611679498,145.67419550726711,150.27685744831493,159.4408626780065,168.5500513110246
