,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
10,10,12408620.0,4094.036929405501,0.00024425768923027545,0.837853524538253,1.9600447755116288,3.07107059927219,4.170882764719525,5.240091609648468,6.298633338593162,7.031779054536877,7.757630214786758,8.476259400952323,9.187722228381725,9.892139933400687,19647.569573918616,33273.928165096,44866.42813374608,56415.05780958857,68152.67494281454,79912.12276631364,92557.34317931335,105639.92886731616,117502.30546211022,127810.13967111686
11,11,12409122.0,3933.121999570799,0.0002542509487651603,2.5638799720426095,6.00936629918939,7.151541977274949,8.273733228248323,9.384759052008885,10.48457121745622,11.553780062385163,12.612321791329858,13.345467507273572,14.071318667523453,14.789947853689018,28822.92252659006,40371.552202432555,52109.169335658524,63868.61715915763,76513.83757215732,89596.42326016015,101458.79985495421,111766.63406396085,121586.26174532487,131294.50192562692
12,12,12409790.0,3994.956667553202,0.000250315606204678,3.296166327634608,4.438342005720167,5.560533256693542,6.671559080454104,7.771371245901438,8.840580090830382,9.899121819775075,10.63226753571879,11.358118695968672,12.076747882134237,12.78821070956364,27976.227583839445,39568.72755248952,51117.357228332025,62854.97436155799,74614.42218505709,87259.6425980568,100342.22828605962,112204.60488085367,122512.43908986032,132332.06677122434
13,13,12410442.0,3895.157042096509,0.00025672905846737447,0.6875057154970957,4.233831973451751,7.742434137995599,8.947097671492342,10.131155044629288,11.303431443352036,12.4638847603143,13.533093605243245,14.59163533418794,15.324781050131653,16.050632210381533,32907.00660815713,44886.688795980306,56885.79320376462,69768.28569768809,83085.7826863782,95180.73329268623,105718.82747509624,115766.42412332156,125700.36505187987,134672.1791235369
14,14,12410946.0,3824.527431570443,0.00026147021243599135,0.4301436289956878,3.517153050057738,7.0634793080123925,10.572081472556242,11.776745006052984,12.96080237918993,14.133078777912678,15.293532094874944,16.36274093980389,17.42128266874858,18.154428384692295,34037.0155892429,46036.119997027214,58918.61249095068,72236.10947964079,84331.06008594883,94869.15426835883,104916.75091658415,114850.69184514246,123822.50591679949,132522.3122195325
15,15,12411496.0,3873.793549976199,0.00025814488745951476,1.53223899766716,5.078565255621815,8.587167420165663,9.791830953662405,10.975888326799353,12.1481647255221,13.308618042484365,14.37782688741331,15.436368616358003,16.169514332301716,16.895365492551598,29625.548003691045,41605.23019151422,53604.334599298534,66486.827093222,79804.32408191211,91899.27468822015,102437.36887063016,112484.96551885548,122418.90644741378,131390.7205190708
16,16,12412510.0,3954.812680749863,0.0002528564765829547,1.6410749748675015,5.1496771394113505,6.3543406729080925,7.53839804604504,8.710674444767786,9.871127761730053,10.940336606658997,11.99887833560369,12.732024051547404,13.457875211797285,14.176504397962852,33210.03504315576,45003.16244229773,56982.84463012092,68981.94903790523,81864.44153182869,95181.9385205188,107276.88912682683,117814.98330923685,127862.57995746216,137796.52088602047
17,17,12413101.0,4017.79179711707,0.0002488929368409635,2.3583285811370343,3.562992114633776,4.747049487770723,5.91932588649347,7.079779203455736,8.14898804838468,9.207529777329373,9.940675493273089,10.66652665352297,11.385155839688535,12.096618667117937,32487.94573659494,44327.400550435574,56120.52794957755,68100.21013740073,80099.31454518504,92981.8070391085,106299.30402779861,118394.25463410665,128932.34881651666,138979.945464742
18,18,12413850.0,3950.464995846728,0.00025313475781998766,1.8286112925029876,5.337213457046836,6.541876990543579,7.725934363680525,8.898210762403274,10.058664079365538,11.127872924294483,12.186414653239176,12.919560369182891,13.645411529432772,14.364040715598337,32468.74128930587,44261.868688447845,56241.55087627102,68240.65528405533,81123.14777797881,94440.64476666892,106535.59537297695,117073.68955538695,127121.28620361228,137055.22713217058
19,19,12414744.0,4053.7079380973555,0.00024668772769785655,0.7907896405460505,1.9954531740427925,3.17951054717974,4.351786945902487,5.512240262864752,6.581449107793697,7.639990836738391,8.373136552682105,9.098987712931986,9.817616899097551,10.529079726526954,38814.42502591389,50653.87983975453,62447.007238896505,74426.68942671968,86425.79383450399,99308.28632842746,112625.78331711757,124720.7339234256,135258.82810583562,145306.42475406092
20,20,12415320.0,4056.952039713092,0.0002464904662936859,0.6605671586230029,1.865230692119745,3.049288065256692,4.22156446397944,5.3820177809417045,6.451226625870649,7.509768354815343,8.242914070759056,8.968765231008938,9.687394417174504,10.398857244603906,39342.54495619816,51181.9997700388,62975.12716918077,74954.80935700395,86953.91376478826,99836.40625871174,113153.90324740185,125248.85385370988,135786.9480361199,145834.5446843452
21,21,12416521.0,4150.923408721583,0.00024091025093329386,0.050683740247169116,1.2347411133841162,2.4070175121068633,3.567470829069129,4.636679673998073,5.695221402942767,6.428367118886481,7.154218279136362,7.872847465301928,8.58431029273133,9.288727997750291,23656.05928654572,37531.854532536614,49371.30934637725,61164.436745519226,73144.11893334241,85143.22334112672,98025.71583505018,111343.2128237403,123438.16343004833,133976.25761245834
22,22,12417023.0,4177.990931678884,0.00023934949030589682,0.8468741571598759,2.0191505558826233,3.179603872844889,4.248812717773832,5.307354446718526,6.040500162662241,6.766351322912122,7.484980509077688,8.19644333650709,8.900861041526051,9.581979958996476,11230.087182007368,16094.52390096659,20920.201228252725,23799.58370933656,26721.78863571926,29918.810994575906,33222.640245640985,37496.37268069526,42290.76398050568,45947.41095978104
23,23,12417836.0,4301.780611727074,0.00023246187805903035,0.29860917054511904,1.4590624875073848,2.528271332436329,3.5868130613810227,4.319958777324737,5.045809937574618,5.764439123740184,6.475901951169586,7.180319656188547,7.8614385736589725,8.53578057790213,13618.929647263754,18524.797833620207,23389.23455257943,28214.91187986556,31094.2943609494,34016.499287332095,37213.52164618875,40517.350897253826,44791.0833323081,49585.47463211852
24,24,12418674.0,4301.780611727074,0.00023246187805903035,0.31567469600583675,1.542457068770366,2.67733501696881,3.735876745913504,4.469022461857218,5.1948736221070995,5.913502808272665,6.624965635702067,7.329383340721028,8.010502258191453,8.684844262434611,14397.251994895689,19303.12018125214,24167.556900211363,28993.234227497498,31872.616708581332,34794.82163496403,37991.84399382068,41295.67324488576,45569.405679940035,50363.796979750456
25,25,12419180.0,4296.621828816617,0.0002327409857886938,0.3899343381118129,1.616716710876342,2.751594659074786,3.81013638801948,4.543282103963194,5.2691332642130755,5.987762450378641,6.699225277808043,7.403642982827004,8.08476190029743,8.759103904540588,14077.967465268883,18983.835651625333,23848.272370584556,28673.949697870692,31553.332178954526,34475.53710533722,37672.55946419387,40976.38871525895,45250.12115031323,50044.51245012365
26,26,12420122.0,4270.493514429115,0.0002341649733505523,0.7726326313157379,1.9994150040802672,3.1342929522787113,4.192834681223405,4.925980397167119,5.651831557417,6.370460743582566,7.081923571011968,7.786341276030929,8.467460193501354,9.141802197744513,12438.588768740357,17344.456955096808,22208.89367405603,27034.571001342167,29913.953482426,32836.1584088087,36033.18076766535,39337.01001873043,43610.742453784704,48405.133753595124
27,27,12420629.0,4229.27203574444,0.00023644731091978084,0.1341751355862924,1.373447175108955,2.6002295478734845,3.7351074960719286,4.7936492250166225,5.526794940960336,6.2526461012102175,6.971275287375783,7.682738114805185,8.387155819824146,9.068274737294573,14791.026700279523,19655.463419238746,24481.140746524878,27360.523227608715,30282.728153991415,33479.75051284806,36783.57976391314,41057.31219896742,45851.70349877784,49508.350478053195
28,28,12421191.0,4089.5361896770437,0.0002445265070704684,0.9494433242499075,2.2011696213228853,3.440441660845548,4.667224033610077,5.802101981808521,6.860643710753215,7.593789426696929,8.31964058694681,9.038269773112376,9.749732600541778,10.45415030556074,10811.85845413579,15637.535781421924,18516.918262505762,21439.123188888458,24636.14554774511,27939.974798810184,32213.70723386446,37008.098533674885,40664.74551295024,42848.494529786505
29,29,12422015.0,4082.998490207302,0.00024491804305056897,1.0419517364016642,2.2936780334746416,3.5329500729973042,4.759732445761833,5.894610393960278,6.953152122904972,7.686297838848685,8.412148999098568,9.130778185264132,9.842241012693535,10.546658717712495,10433.823634286655,15259.50096157279,18138.883442656625,21061.088369039324,24258.11072789597,27561.93997896105,31835.672414015327,36630.063713825744,40286.7106931011,42470.45970993737
30,30,12422544.0,4136.421295386475,0.0002417548718055731,0.2635411273261872,1.5152674243991648,2.7545394639218275,3.9813218366863565,5.116199784884801,6.1747415138294945,6.907887229773208,7.6337383900230895,8.352367576188655,9.063830403618057,9.76824810863702,13632.95337511947,18458.630702405604,21338.013183489442,24260.21810987214,27457.24046872879,30761.069719793868,35034.80215484814,39829.19345465856,43485.84043393392,45669.58945077019
31,31,12423083.0,3937.844342696285,0.0002539460458498695,0.8366941063878274,2.055312982756537,3.2599765162532788,4.511702813326257,5.750974852848919,6.977757225613448,8.112635173811892,9.171176902756587,9.9043226187003,10.630173778950182,11.348802965115746,9261.965953081242,12184.170879463942,15381.19323832059,18685.02248938567,22958.754924439945,27753.146224250366,31409.79320352572,33593.54222036199,35369.91652781908,37114.93114325707
32,32,12423585.0,3949.2800933363746,0.0002532107058416295,0.6522697318585317,1.8708886082272411,3.0755521417239833,4.32727843879696,5.566550478319623,6.793332851084153,7.9282107992825965,8.98675252822729,9.719898244171004,10.445749404420885,11.164378590586452,9989.293406818855,12911.498333201553,16108.520692058202,19412.34994312328,23686.082378177558,28480.47367798798,32137.120657263335,34320.8696740996,36097.24398155669,37842.25859699468
33,33,12424173.0,3879.2203875087444,0.00025778375552470354,0.31879121639364905,1.55212061588272,2.7707394922514297,3.9754030257481716,5.227129322821149,6.466401362343812,7.693183735108341,8.828061683306785,9.886603412251478,10.619749128195194,11.345600288445075,7467.864825652167,10664.887184508816,13968.716435573895,18242.44887062817,23036.84017043859,26693.487149713947,28877.236166550214,30653.610474007306,32398.625089445297,33262.989990903036
34,34,12424957.0,3961.9373976669513,0.00025240176702157524,0.4605717507400145,1.6791906271087238,2.8838541606054657,4.135580457678444,5.374852497201106,6.601634869965635,7.73651281816408,8.795054547108773,9.528200263052486,10.254051423302368,10.972680609467934,10747.61465938712,13669.81958576982,16866.841944626467,20170.671195691546,24444.403630745823,29238.794930556243,32895.4419098316,35079.19092666786,36855.56523412496,38600.57984956295
35,35,12425498.0,3763.4485977076065,0.00026571373941685305,2.012869403177848,4.1104625242527675,6.677216839181897,9.215615429857415,11.726927300179469,14.272301220441562,16.792349522444365,19.28716484735236,21.677459232227967,23.978926418678242,25.94263088634146,11704.189586025916,15009.454345230628,19283.186780284905,24077.578080095325,27734.22505937068,29917.97407620695,31694.34838366404,33439.36299910203,34303.727900559774,34976.7513899594
36,36,12426018.0,3739.066727812992,0.0002674464171932303,0.2295171399624863,2.367202218433942,4.4647953395088615,7.031549654437991,9.56994824511351,12.081260115435562,14.626634035697656,17.14668233770046,19.641497662608455,22.03179204748406,24.33325923393434,8873.81323811016,13147.545673164437,17941.936972974858,21598.583952250214,23782.33296908648,25558.707276543573,27303.72189198156,28168.086793439303,28841.110282838927,29505.696901925337
37,37,12426794.0,3852.9324834118306,0.00025954257031633336,1.6074349802555588,4.174189295184688,6.7125878858602075,9.22389975618226,11.769273676444353,14.289321978447157,16.784137303355152,19.174431688230758,21.475898874681036,23.43960334234425,25.383769604581058,17965.279101763186,21163.751395146905,24469.01615435162,28742.748589405895,33537.13988921631,37193.78686849167,39377.53588532794,41153.91019278503,42898.92480822302,43763.28970968076
38,38,12427299.0,3707.791670156275,0.00026970231581480744,2.15961506995195,6.543367105178053,8.640960226252972,11.207714541182101,13.746113131857621,16.257425002179673,18.802798922441767,21.322847224444573,23.817662549352566,26.20795693422817,28.50942412067845,26751.272453934063,31025.004888988336,35819.39618879876,39476.04316807412,41659.79218491038,43436.166492367476,45181.18110780546,46045.546009263206,46718.56949866283,47383.15611774924
39,39,12427978.0,3642.7443765815733,0.00027451830175863746,1.8289471898945606,4.965586396026614,9.349338431252717,11.446931552327637,14.013685867256765,16.552084457932285,19.06339632825434,21.608770248516432,24.128818550519235,26.623633875427227,29.013928260302833,20852.577582244438,25646.968882054858,29303.615861330214,31487.364878166478,33263.73918562357,35008.75380106156,35873.1187025193,36546.14219191892,37210.728811005334,37517.72977367
40,40,12428527.0,3740.188560007077,0.0002673661993121833,0.7922539642141684,5.176005999440271,7.27359912051519,9.84035343544432,12.37875202611984,14.890063896441891,17.435437816703985,19.95548611870679,22.450301443614784,24.84059582849039,27.142063014940668,31843.35979484626,36117.09222990054,40911.48352971096,44568.130508986316,46751.87952582258,48528.253833279676,50273.26844871766,51137.633350175405,51810.65683957503,52475.24345866144
