,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
12,12,15299580.0,11698.715050987987,8.54794732277497e-05,0.13722560364645264,0.7269953203984135,1.3108970151971728,1.8889890863250949,2.4613293337297817,3.0279749899775887,3.5889826820399566,4.144408542124106,4.694308120105298,5.238736348404144,5.777747699506153,18980.721978543603,25707.90942177921,32368.16348340039,38962.150147561086,45490.52913644658,51953.95259180482,58353.06722814434,64688.51276911848,70960.9226866847,77170.92420020193
13,13,15300623.0,11723.306935462962,8.530016364026123e-05,0.07529270347286628,0.6650624202248272,1.2489641150235864,1.8270561861515084,2.3993964335561953,2.9660420898040023,3.5270497818663706,4.08247564195052,4.632375219931712,5.176803448230558,5.715814799332566,19706.06779177341,26433.255235009023,33093.509296630196,39687.4959607909,46215.87494967639,52679.29840503463,59078.41304137415,65413.85858234829,71686.26849991451,77896.27001343174
14,14,15301482.0,11791.496264184567,8.480687926242195e-05,0.4926694087975324,1.0765711035962917,1.6546631747242138,2.2270034221289006,2.7936490783767076,3.3546567704390755,3.910082630523225,4.4599822085044165,5.004410436803263,5.543421787905272,6.077070168446433,14938.301836332228,21733.095161882513,28460.282605118126,35120.5366667393,41714.523330899996,48242.9023197855,54706.32577514373,61105.44041148325,67440.88595245739,73713.29587002362
15,15,15302062.0,11849.413481371716,8.439236267449734e-05,0.3498694748742193,0.9337711696729786,1.5118632408009005,2.0842034882055875,2.6508491444533946,3.2118568365157625,3.7672826965999118,4.3171822745811035,4.86161050287995,5.400621853981959,5.93427023452312,16626.333214423074,23421.126539973357,30148.31398320897,36808.56804483014,43402.55470899084,49930.93369787634,56394.357153234574,62793.4717895741,69128.91733054824,75401.32724811445
16,16,15303532.0,11387.091177807102,8.781874004389745e-05,0.35023190177134583,0.9459285968992668,1.5356983136512277,2.119600008449987,2.6976920795779087,3.2700323269825957,3.8366779832304028,4.397685675292771,4.95311153537692,5.503011113358112,6.0474393416569585,16373.471104344051,23033.725165965225,29627.711830125925,36156.09081901142,42619.514274369656,49018.62891070918,55354.07445168332,61626.48436924954,67836.48588276678,68009.45684969457
17,17,15305062.0,11295.232860500975,8.853292467275855e-05,0.5947225311512183,1.190419226279139,1.7801889430311002,2.3640906378298596,2.9421827089577812,3.5145229563624683,4.081168612610275,4.642176304672644,5.197602164756793,5.747501742737985,6.29192997103683,13600.59701819477,20260.851079815944,26854.837743976645,33383.21673286214,39846.64018822037,46245.754824559895,52581.20036553404,58853.61028310026,65063.61179661749,65236.58276354529
18,18,15305565.0,11342.7702202658,8.816188467023064e-05,0.4660311646465169,1.0617278597744377,1.6514975765263988,2.235399271325158,2.81349134245308,3.385831589857767,3.9524772461055737,4.513484938167942,5.068910798252091,5.618810376233283,6.163238604532129,15057.34035727318,21717.594418894354,28311.581083055054,34839.96007194055,41303.383527298785,47702.49816363831,54037.94370461245,60310.35362217867,66520.3551356959,66693.3261026237
19,19,15307215.0,11330.300656008958,8.825891124695407e-05,0.5008766537319056,1.0965733488598264,1.6863430656117873,2.2702447604105465,2.8483368315384685,3.4206770789431555,3.9873227351909626,4.5483304272533305,5.10375628733748,5.6536558653186715,6.198084093617518,14662.287903249118,21322.541964870292,27916.528629030992,34444.90761791649,40908.33107327472,47307.44570961424,53642.89125058839,59915.301168154605,66125.30268167185,66298.27364859963
20,20,15308303.0,10911.120470820586,9.164961588264762e-05,0.4406152524228218,1.048345210069758,1.6500284584978022,2.245725153625723,2.835494870377684,3.4193965651764433,3.9974886363043654,4.569828883709052,5.136474539956859,5.697482232019227,6.252908092103376,15139.02679191993,21667.405780805428,28130.82923616366,34529.94387250319,40865.38941347733,47137.79933104354,53347.80084456078,53520.77181148857,53692.02177304505,53861.56785472784
21,21,15309455.0,11095.966411147405,9.012283950277321e-05,0.5327940351736652,1.1344772836017094,1.7301739787296304,2.3199436954815913,2.9038453902803507,3.4819374614082723,4.054277708812959,4.620923365060766,5.181931057123134,5.737356917207284,6.287256495188475,14217.953814519393,20811.94047868009,27340.31946756559,33803.74292292382,40202.85755926335,46538.30310023749,52810.713017803704,59020.71453132094,59193.685498248735,59364.935459805216
22,22,15310046.0,11144.893778304426,8.972718985861336e-05,0.39995599527390896,1.0016392437019532,1.597335938829874,2.187105655581835,2.7710073503805943,3.3490994215085164,3.921439668913203,4.48808532516101,5.049093017223378,5.604518877307528,6.154418455288719,15695.21847759888,22289.20514175958,28817.58413064508,35281.00758600331,41680.122222342834,48015.567763316976,54287.977680883196,60497.97919440043,60670.95016132823,60842.20012288471
23,23,15311224.0,11169.438306492613,8.953001686922038e-05,0.3314701106879526,0.9331533591159968,1.5288500542439178,2.1186197709958785,2.702521465794638,3.28061353692256,3.852953784327247,4.419599440575054,4.980607132637422,5.536032992721571,6.085932570702763,16459.35772093476,23053.344385095457,29581.723373980956,36045.14682933919,42444.26146567871,48779.707006652854,55052.11692421907,61262.11843773631,61435.089404664104,61606.339366220585
24,24,15312170.0,11056.094737689196,9.044785014288031e-05,0.03368759645863754,0.6414175541055737,1.2431008025336179,1.8387974976615389,2.4285672144134995,3.012468909212259,3.590560980340181,4.162901227744868,4.729546883992675,5.290554576055043,5.845980436139192,19608.733273230748,26137.112262116247,32600.53571747448,38999.650353814,45335.095894788145,51607.505812354364,57817.5073258716,57990.478292799395,58161.728254355876,58331.27433603866
25,25,15312677.0,11107.067372075186,9.003276621101158e-05,0.5023114543314652,1.1039947027595094,1.6996913978874302,2.289461114639391,2.8733628094381505,3.4514548805660725,4.023795127970759,4.590440784218567,5.151448476280934,5.706874336365083,6.256773914346275,14556.37531399036,21150.36197815106,27678.740967036556,34142.16442239479,40541.27905873431,46876.724599708454,53149.13451727467,59359.13603079191,59532.106997719704,59703.356959276185
26,26,15313224.0,10970.196930481789,9.115606641676596e-05,0.273016268314322,0.8807462259612582,1.4824294743893025,2.0781261695172235,2.6678958862691844,3.2517975810679434,3.8298896521958654,4.402229899600552,4.968875555848359,5.529883247910727,6.085309107994877,16972.75836289757,23501.137351783065,29964.560807141297,36363.675443480824,42699.12098445497,48971.530902021186,55181.532415538415,55354.50338246621,55525.75334402269,55695.29942570548
27,27,15313826.0,11148.237580795876,8.970027708439002e-05,0.3884962263537523,0.9901794747817965,1.5858761699097175,2.175645886661678,2.7595475814604375,3.3376396525883596,3.9099798999930466,4.476625556240854,5.037633248303222,5.59305910838737,6.142958686368562,15822.962379029914,22416.949043190612,28945.328032076108,35408.75148743434,41807.86612377386,48143.31166474801,54415.721582314225,60625.72309583146,60798.694062759256,60969.94402431574
28,28,15314339.0,11334.833456134722,8.822361650658154e-05,0.48880947511024636,1.0845061702381673,1.6742758869901282,2.2581775817888876,2.836269652916809,3.4086099003214962,3.9752555565693033,4.536263248631672,5.091689108715821,5.641588686697013,6.186016914995859,14799.045045712082,21459.299107333256,28053.285771493956,34581.664760379455,41045.088215737684,47444.20285207721,53779.64839305135,60052.05831061757,66262.0598241348,66435.0307910626
29,29,15314842.0,11631.062268986505,8.597666978934822e-05,0.3102507392673122,0.900020456019273,1.4839221508180325,2.0620142219459545,2.634354469350641,3.201000125598448,3.7620078176608165,4.317433677744965,4.867333255726157,5.4117614840250035,5.950772835127013,16962.27664410696,23689.464087342574,30349.718148963748,36943.70481312445,43472.08380200995,49935.507257368175,56334.62189370771,62670.06743468185,68942.47735224807,75152.4788657653
30,30,15315471.0,11529.163030103582,8.673656512523231e-05,0.5727987392531841,1.162568456005145,1.7464701508039044,2.3245622219318265,2.896902469336513,3.46354812558432,4.0245558176466885,4.579981677730838,5.1298812557120295,5.674309484010876,6.213320835112884,13921.782551824945,20648.969995060557,27309.22405668173,33903.21072084243,40431.58970972792,46895.01316508616,53294.12780142568,59629.573342399824,65901.98325996604,72111.98477348327
