,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
20,20,13803167.0,0.9998026733013067,1.0001973656442043,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,8554637.058705661,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054,7928077.602312054
21,21,13803914.0,0.9998026733013067,1.0001973656442043,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8455433.837195354,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655,8027267.6823305655
22,22,13804435.0,0.9998026733013067,1.0001973656442043,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8342343.992732378,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351,8140344.147144351
23,23,13805622.0,0.9997027030310036,1.0002973853807686,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,9139322.90641192,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029,7343495.878493029
24,24,13806495.0,0.9998026733013067,1.0001973656442043,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,8894499.606666345,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967,7588270.029216967
25,25,13807540.0,0.9998026733013067,1.0001973656442043,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,8881468.216159152,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042,7601299.027744042
26,26,13811811.0,0.9998026733013067,1.0001973656442043,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,8768608.747217724,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545,7714138.728371545
27,27,13818833.0,0.9998026733013067,1.0001973656442043,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,8587172.897589443,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545,7895546.3593631545
28,28,13821389.0,0.9998026733013067,1.0001973656442043,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,8626021.839983016,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532,7856703.089654532
29,29,13822105.0,0.9998026733013067,1.0001973656442043,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,8605872.254550643,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233,7876849.707732233
30,30,13823215.0,0.9998026733013067,1.0001973656442043,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,8589582.58377567,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179,7893137.019180179
31,31,13826126.0,0.9998026733013067,1.0001973656442043,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,8654579.57581383,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599,7828149.652193599
32,32,13826731.0,0.9998026733013067,1.0001973656442043,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,8713274.116147937,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918,7769464.287857918
33,33,13828611.0,0.9998026733013067,1.0001973656442043,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,8669873.5711814,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502,7812858.003536502
34,34,13833137.0,0.9999026535686368,1.0000973559086135,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,7615914.225823902,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696,8866728.651492696
