block,reserve USDC,reserve DAI,price,volume for slippage 5%
10810138,1,1,0.9341127656062109,1.086029052734375
10859793,2.17901,2.196003517560266,0.9944779367877356,2.14166259765625
10868622,56765.080715,17028.377552449416,0.9764684924002635,12344.5
10869196,141552.531371,52555.72482493065,0.9813394082823415,40010
10870008,204190.151907,73937.15443597556,0.9821090908782246,57062
10872633,186584.05464,89827.0607018885,0.989209589892555,75462
10873753,115546.883572,48820.25715833541,0.9816888482461391,36779
10874520,183588.270145,80049.7249249407,0.9869146558354225,65370
10874879,705607.960747,302124.5441581125,0.9868158205796879,246824
10875232,1074147.481686,455702.91561205796,0.9861422980463765,368496
10875575,1434894.545868,641534.3062787994,0.9868546036584904,521712
10875895,1514791.54963,649516.772241662,0.9858465423432451,521968
10876132,2446611.844912,1147268.4706891645,0.9869922320902677,929056
10876207,3410967.273725,1664943.2243919808,0.9894092842941122,1401280
10876293,5383199.683416,2292594.6066888454,0.9870869125932947,1882688
10876404,5688583.648744,2398370.717627278,0.9862248441990055,1943488
10876507,7237832.061538,2893702.1454185178,0.985150036776156,2317376
10876584,7189308.078278,2883012.075901525,0.9845344954552984,2285504
10876759,8602567.719328,3303371.1703849463,0.983112965071103,2573184
10877242,18531664.988545,6983966.972731394,0.9827515420944597,5420800
10877389,23084408.667681,8831703.477888444,0.9834727975399454,6920448
10877747,24984678.878594,10005242.99124023,0.9844463044045616,7921920
10878129,25819958.997861,10156155.127967807,0.983281617979072,7911680
10878951,28648150.380353,10734998.5458656,0.9829159066953113,8357632
10879418,36249345.900405,13477709.832998604,0.9823434235807277,10411520
10879861,35174931.326204,12746089.510143358,0.9811871541327127,9704704
10880052,33776338.109117,13417194.024361337,0.9840488401913894,10566144
10880247,33386862.20613,15724990.35624923,0.9885153896645517,13080064
10880617,33334439.497144,15981598.247658193,0.9887978195048835,13330944
10881145,38062390.323342,16703032.531400792,0.9871686195493418,13688320
10881723,38174858.953846,16110795.170311753,0.9860129802045472,13007360
10882135,36531171.909616,15342113.359638976,0.985240054365682,12237312
10882434,37090612.312158,15285929.50968083,0.98484716282359,12142080
10882712,37147946.772205,15119100.683571666,0.9843340608869519,11928064
10882963,37200993.813181,14739622.79975754,0.9834611187361532,11505152
10883250,37569256.955803,15007281.853895428,0.9838656249041322,11777536
10883484,37399175.743147,15411973.418400247,0.9846963528862066,12212736
10883761,38183545.460911,15405642.214638183,0.9840107924223349,12104192
10884216,38472711.040332,15289565.446520071,0.9836091472712778,11957760
10884410,39550638.42335,15187144.965697635,0.9825680999203845,11733504
10884571,39617309.381489,15186900.5092739,0.9824319611817535,11710976
10885008,39918234.707165,14720705.046071766,0.980996330838235,11158016
10885359,40871047.64001,14414091.992066165,0.9787704277401639,10632704
10885653,41268672.526365,14488239.611637514,0.9787338448789312,10686976
10886041,39089721.48292,13706900.642558295,0.9787621841610047,10115840
10886264,38974761.310499,14002218.430518255,0.9796914630044269,10444288
10886555,38998129.605945,14532750.984364849,0.9811353892011307,11025920
10886673,46227979.776299,16980370.984377887,0.97984672594902,12664320
10886935,46546197.649554,17570496.050312527,0.9812459665158909,13334016
10887402,47784692.913075,18324695.694829103,0.982674007899946,14181888
10888182,47372830.811571,19053939.637610536,0.9843343030016801,15052288
10888686,47487532.012284,19335690.959996514,0.9848554400771444,15382016
10889068,47856913.838313,19176835.597750816,0.9843990437984195,15171072
10889220,61226207.879598,23330589.530193742,0.9825110626427092,18023936
10889362,61550740.218828,23665608.80704839,0.9826791377280742,18311680
10889568,63068875.455756,24481015.543649875,0.9834450901972267,19146240
10889695,63186409.896003,24709422.77788517,0.9834933716838486,19324416
10889928,64028939.608444,25408130.323142014,0.9840087461786307,19999232
10890090,67041801.413743,26906690.314603675,0.9841815302317432,21210112
10890228,60491580.690393,24322714.315861747,0.9839865148320558,19110400
10890365,59933955.071223,24912437.361245025,0.98481692513729,19758592
10890465,61829757.621158,25626028.65258486,0.9850772655369309,20418048
10890566,67094050.058238,26696219.493112344,0.9841372119726736,21048320
10890679,84653269.030907,31607628.51972193,0.982168816240348,24343552
10890940,84391503.173988,33674319.321961984,0.9844463340058561,26672128
10891115,83478034.873614,35319464.18232332,0.9860201689434136,28511232
10891406,78393125.346286,41566315.155610554,0.9910653746269387,35701760
10891519,79487019.354819,41764508.849626094,0.9910108341527992,35884032
10891849,82472647.119911,42987323.648285955,0.9905762472824233,36654080
10892022,84266229.119404,42939231.81837971,0.9900367494631104,36348928
10892266,83990345.423148,42580809.23286696,0.9900332071483522,36070400
10892397,84065668.978595,43035077.437978655,0.9902708117894679,36572160
10892624,84123782.519749,44030021.53987566,0.9908367833812262,37716992
10893087,86201194.24826,41997790.284464374,0.9894173093566526,35361792
10893326,86016436.014679,43062460.25911397,0.9899098982131066,36459520
10893570,84729861.439577,42444872.49161236,0.9896734493537962,35767296
10893684,83715157.301981,45820561.620197356,0.9916463532421584,39631872
10894013,86223888.845165,45268868.02862458,0.9910303883153995,38915072
10894433,85743814.620474,46081415.0204548,0.9914688130174679,39828480
10894533,83810048.789111,49209860.28211709,0.9930677349685126,43399168
10894693,83109468.72747,44643501.85505127,0.9914028576932472,38534144
10894803,83595801.764355,44781831.92505127,0.9914217568871386,38687744
10895111,83736829.388701,45229796.83743286,0.9916192756674912,39185408
10895313,90073045.288306,47508404.536054686,0.9913334405465467,41068544
10895479,90012710.387706,47513440.29160045,0.9913300807057862,41064448
10895722,90069161.986443,47544991.11705706,0.9913374795417663,41097216
10895943,90673504.804122,47006023.76065503,0.9910093227339971,40469504
