block,reserve USDT,reserve USDC,price,volume for slippage 5%
16854225,40936692.002511,188910328.681472,1.0025554044024778,197877760
16854311,41915463.484615,187914129.755784,1.0024301647214635,196845568
16854380,42289070.438166,187208329.159012,1.0023834994655685,196108288
16854456,41951871.030797,188438198.235969,1.0024274233131472,197402624
16854606,41885585.645493,189260300.302464,1.002443533132004,198254592
16854689,40771771.41623,190370274.975627,1.0025872088215761,199401472
16854762,40976789.788952,190106408.568024,1.0025590791738934,199122944
16854982,39897244.418847,191464185.65502,1.0027099185211967,200531968
16855075,39762742.666102,191372763.840644,1.002725604151044,200417280
16855199,40049209.997891,191356914.035609,1.002688725473759,200417280
16855318,39470056.866785,192037506.57732,1.002772925822478,201121792
16855350,40093481.808979,191385652.541467,1.0026827577834756,200450048
16855425,39001179.595462,192453454.76966,1.0028430239334745,201531392
16855559,37707190.379763,193717879.794401,1.0030509680340463,202825728
16855644,37653226.885026,193769176.864933,1.0030600796114468,202874880
16855717,36822004.213596,194626984.577991,1.003206464722464,203743232
16855801,39389901.208967,192087411.466222,1.0027866827291396,201170944
16855881,39818841.497185,191608219.246528,1.0027236524750003,200679424
16856057,39778137.805834,191371080.640473,1.0027257072732003,200417280
16856123,39430405.1325,191469749.118851,1.0027729065485065,200515584
16856170,42547359.847944,188375942.67397,1.0023605846381751,197353472
16856206,40414046.213184,190528336.929326,1.0026330470938307,199548928
16856389,40031915.026385,191084084.890219,1.0026899112402117,200122368
16856483,39068713.357572,192049419.137556,1.0028316280061178,201121792
16856569,36743149.815883,194629063.922217,1.0032209443779478,203743232
16856592,35050980.489299,196579139.653042,1.00355505243679,205725696
16856660,36375935.177248,195228714.051678,1.0032902080164594,204365824
16856764,35629662.233106,195631777.872122,1.0034326073261612,204759040
16856956,35975086.111972,195048723.388885,1.003361825586067,204152832
16857044,35652426.607641,194318377.219249,1.003418430976737,203382784
16857134,36021460.33286,193665918.554849,1.0033427742419843,202711040
16857349,36094397.440956,193680605.278536,1.0033298211131518,202727424
16857532,35966239.940544,193642985.820416,1.0033516976087007,202678272
16857598,36078385.661202,193555981.183652,1.0033316870882927,202596352
16857771,36989817.406087,192637526.239694,1.0031636890152795,201662464
16857979,37382071.614105,192180869.038315,1.0030935378189776,201203712
16858196,37753268.734419,192341997.621936,1.0030389407417049,201383936
16858344,38571094.861725,192244233.696315,1.0029201555104401,201302016
16858538,38776778.652628,193130362.767957,1.0029018479198963,202235904
16858655,39154684.438281,193092193.42733,1.002848621692976,202203136
16858752,39162258.686393,193837483.410742,1.0028617674179485,202989568
16858843,39036301.393052,193565717.404875,1.0028684764823694,202694656
16858957,39024675.575231,193911146.580494,1.002871243031713,203055104
16859074,39698374.317998,193228199.458657,1.0027693552065746,202366976
16859304,39431965.622452,193396653.909049,1.0028085108975386,202530816
16859421,39565129.976711,193365475.940145,1.0027902271017473,202498048
16859557,39576959.081893,193362096.287592,1.0027887434288152,202498048
16859736,39814046.358522,193045864.833864,1.0027524851027603,202170368
16859883,39345548.123847,193572659.810648,1.002822572261291,202711040
16860003,39965138.740534,192964285.090486,1.0027314382800823,202088448
16860218,39266377.282249,194334825.256773,1.0028490286674416,203513856
16860345,38940735.107718,194511316.432249,1.0028993344062385,203677696
16860552,38882569.84507,194547879.361981,1.0029081006140605,203726848
16860668,38791803.338502,194502328.980482,1.0029213185936854,203661312
16860816,39292577.299877,194338606.826549,1.0028429335108788,203513856
16860995,38789528.465815,194851117.472648,1.002921399294512,204038144
16861126,38228977.68226,194997512.609894,1.0030102354760586,204169216
16861383,38628731.351515,195090674.941045,1.0029532525334293,204283904
16861607,38691415.250492,195127672.669753,1.0029448300176187,204316672
16861854,38458327.052982,194839407.596837,1.0029758568430451,204005376
16862007,38079690.231024,194144978.887531,1.003034268845539,203268096
16862263,38320922.394025,193957864.938114,1.0029952697929185,203087872
16862339,38205324.951887,194071636.842498,1.0030150614433102,203202560
16862485,38138008.775612,194127290.400881,1.0030268796634674,203251712
16862588,38439686.767538,194174541.705666,1.0029785129806,203317248
16862775,38336208.667246,194091480.652191,1.0029933463226517,203218944
16862877,39089776.888976,193721537.341489,1.0028754401873934,202858496
16863037,39389177.390862,194154576.824573,1.0028329881562854,203317248
16863108,38750220.727669,193484173.790822,1.002906059265802,202596352
16863184,40691280.271152,191372341.137651,1.00262029956094,200450048
16863272,38625455.926076,193401124.512385,1.002923526579085,202514432
16863356,40024999.520799,191693396.469533,1.002713124480383,200761344
16863417,40016886.902625,191657152.788919,1.002713707791582,200728576
16863467,40114689.139593,191518620.945261,1.0026994845074513,200581120
16863509,40228811.973234,191889989.133783,1.0026905948393978,200974336
16863584,39918224.71312,192029352.171287,1.002733506799311,201105408
16863730,39757302.240195,192192873.052268,1.0027569106458343,201269248
16863798,39406490.571466,192522035.507927,1.0028082928634445,201613312
16863940,38836694.072815,192753463.847357,1.002893939954506,201842688
16864007,38629812.376607,192620778.934649,1.0029228340856757,201695232
16864131,38532592.719289,192719610.496497,1.002938358741295,201793536
16864199,37162974.859228,193847899.670642,1.003165523083933,202940416
16864248,36792216.883722,193821159.010368,1.0032269260497952,202891264
16864323,37493469.09975,192899333.99056,1.0031006180259803,201957376
16864487,37827650.939001,192486918.833593,1.0030425602353592,201531392
16864581,37283200.921964,192847927.661105,1.0031333039398498,201891840
16864743,38112225.457018,192073540.800993,1.002993177527697,201105408
16865012,38303655.794202,191537674.383829,1.0029540462945306,200548352
16865187,38472120.501821,191055304.47476,1.0029253742342061,200040448
16865309,38127725.592526,191424466.124125,1.0029812542069425,200417280
16865426,37644008.344292,187558321.96431,1.0029417411796877,196386816
16865576,38031237.115335,187184384.10473,1.002879208608361,196009984
16865820,37992366.378521,187835036.919396,1.0028952583110193,196681728
16865970,37895093.522103,188129179.047015,1.0029141168463147,196993024
16866145,37542003.200991,188025382.145716,1.002966754609215,196861952
16866243,37763519.403677,187774996.924134,1.0029298747223523,196616192
16866333,35546954.818482,189998788.945636,1.0033252129962604,198877184
16866486,35515401.61278,189884962.868274,1.0033287672261757,198746112
16866609,34670289.576696,190654219.27084,1.003498459379323,199532544
16866749,35287068.085063,190137789.357012,1.0033749290357286,199008256
16866829,35300594.228219,190170254.990645,1.003372728725759,199041024
16866961,36284925.428444,189376194.162877,1.0031881240770275,198238208
16867052,36169837.02354,188957415.397138,1.0032068265954497,197795840
