block,reserve WBTC,reserve DAI,price,volume for slippage 5%
10092360,0.00005829,0.5735883445930637,9840.25295235999,0.000003067894736842101
10092378,0.00003813,0.3751922463203493,9839.817632319677,0.00000200684210526316
10092621,0.01589675,156.42112094657784,9839.817632319677,0.0008366710526315803
10102678,0.01593544,156.04247929508585,9792.166347153632,0.0008387073684210516
10104447,0.01595214,155.87961087519216,9771.705293157667,0.0008395863157894742
10112535,0.01620772,153.42879910462503,9466.402375202992,0.0008530378947368446
10115174,0.01622987,153.2200317867688,9440.619782337677,0.0008542036842105263
10115187,0.01625202,153.01183267873205,9414.942430462925,0.0008553694736842081
10115218,0.01625423,152.99109088910024,9412.386245863398,0.0008554857894736839
10115676,0.01625719,152.96340360556377,9408.969422487144,0.0008556415789473665
10118107,0.11625719,1093.8603458542782,9408.969422487144,0.006118799473684211
10122224,0.11655736,1091.0517582455998,9360.642333059017,0.006134597894736846
10122228,0.11685751,1088.2577635461216,9312.689989253764,0.006150395263157901
10122282,0.11778631,1079.7018852827775,9166.61609725933,0.006199279473684191
10130416,0.11804508,1077.342124881161,9126.531363112812,0.006212898947368428
10130450,0.11826626,1075.3333270676058,9092.47766072594,0.006224540000000001
10131388,0.11877897,1070.7055106632902,9014.268356286388,0.0062515247368421095
10131631,0.12095052,1051.5386773930152,8693.957474453315,0.006365816842105271
10133883,0.1209482,1051.5589170466562,8694.291581409696,0.00636569473684212
10136490,0.11989444,1060.8289882282343,8848.02488112238,0.006310233684210506
10141298,0.128629,1138.1125924338905,8848.02488112238,0.006769947368421042
10144093,0.18530834,1639.6128029994854,8848.02488112238,0.009753070526315799
10145002,0.29868727,2642.792396634518,8848.02488112238,0.015720382631578933
10147549,0.29588727,2667.8765611728336,9016.530387308767,0.015573014210526315
10149526,0.29182492,2705.1265793752536,9269.69012576189,0.015359206315789464
10149564,0.54545066,5056.158597092306,9269.69012576189,0.02870792947368417
10150072,0.54590708,5051.943933889671,9254.219479787056,0.028731951578947368
10150986,0.55140708,5001.70307819445,9070.799522912273,0.029021425263157874
10151464,0.54698801,5042.233094368665,9218.178464951481,0.02878884263157888
10151477,0.54898801,5023.918809734509,9151.235943631098,0.028894105789473712
10152726,0.54903298,5023.508546752973,9149.739140903655,0.028896472631578907
10153915,0.57141958,5228.340097004727,9149.739140903654,0.03007471473684209
10154449,0.56625178,5276.199305778323,9317.761978211041,0.02980272526315786
10155415,0.56556264,5282.6477800350995,9340.517577390012,0.02976645473684214
10156060,0.55601146,5373.666372464501,9664.668372958538,0.02926376105263162
10156476,0.55647774,5369.177203614166,9648.503107445349,0.02928830210526323
10156937,0.55896833,5345.325261929711,9562.84099660836,0.029419385789473673
10161172,0.5600335,5335.189026402079,9526.553369400366,0.029475447368421004
10162192,0.56140452,5322.1988204523705,9480.149572811368,0.029547606315789454
10162362,0.56231733,5313.585169110232,9449.44230886541,0.029595648947368325
10162821,0.56416673,5296.218742821812,9387.683571524703,0.029692985789473547
10163111,0.46403305,4356.195393360984,9387.683470737664,0.024422792105263103
10163193,0.46461163,4350.786885408089,9364.352083498403,0.024453243684210535
10166443,0.45934856,4400.786885408089,9580.495659784126,0.02417624000000007
10169513,0.46252392,4370.664232838435,9449.596104864015,0.024343364210526353
10169925,0.45618785,4431.551831463392,9714.313591349248,0.0240098868421052
10172108,0.45814824,4412.646120130964,9631.48111216353,0.024113065263157873
10174512,0.46559844,4342.2463045432105,9326.161626622312,0.024505181052631497
10174957,0.45979844,4397.185183847257,9563.288609346428,0.0241999178947368
10175667,0.46088575,4386.8425834062,9518.286437378894,0.024257144736842096
10176322,0.46164208,4379.676938524063,9487.170100533433,0.0242969515789474
10176815,0.46221578,4374.257192522365,9463.669095248899,0.024327146315789583
10179706,0.47531655,4498.2385446953285,9463.6690952489,0.025016660526315737
10179803,0.4741029,4509.788236204289,9512.256170979526,0.024952784210526324
10179907,0.31004987,2949.2737448813004,9512.256027978017,0.016318414210526266
10180850,0.31105042,2939.8152411794813,9451.249868685216,0.01637107473684213
10181661,0.30855832,2963.6304118662133,9604.765840915303,0.01623991157894744
10183078,0.30064362,3041.8852775410437,10117.910626345716,0.015823348421052652
10187223,0.31636486,2891.1547226719836,9138.67211001874,0.016650782105263162
10187304,0.31358319,2916.8782226719836,9301.768448340561,0.016504378421052623
10187800,0.31225054,2929.364651905001,9381.455839612003,0.016434238947368396
10191530,0.31100499,2941.131895847504,9456.864006739905,0.016368683684210517
10194442,0.33615406,3178.9632307334864,9456.864006739905,0.017692318947368446
10194485,0.43714321,4134.003888439744,9456.864006739905,0.023007537368421038
10195975,0.43044162,4198.560303646158,9754.076066450447,0.022654822105263095
10198162,0.43143199,4188.9511823263065,9709.412559616421,0.022706946842105336
10199090,0.43443287,4160.101873745014,9575.93718390833,0.022864887894736785
10199373,0.5076814,4861.525195838639,9575.937183908332,0.026720073684210477
10199628,0.50457705,4891.525195838639,9694.30772929256,0.026556686842105326
10199651,0.50151049,4921.525195838639,9813.404293574475,0.026395288947368423
10204439,0.57801049,5672.250624297086,9813.404293574473,0.03042160473684208
10206497,0.58225513,5631.023066726804,9671.057886131128,0.03064500684210525
10207446,0.58126652,5640.629136592256,9704.032388777967,0.030592974736842082
10208144,0.58006652,5652.333177588975,9744.284461701003,0.030529816842105206
10208516,0.58206652,5632.969637254521,9677.535889290662,0.030635080000000037
10209010,0.58062927,5647.029954057294,9725.706652813584,0.030559435263157853
10212328,0.58262927,5627.703266799523,9659.149576881922,0.030664698421052683
10213385,0.58421983,5612.427477547222,9606.704855511703,0.030748412105263245
